r,R  2/ 1,R  3/ 1,R  4/ 1,R  5/ 1,I  2/ 1,I  3/ 1,I  4/ 1,I  5/ 1
0.272,-0.0011911193,-0.0667485887,0.084448567,0.0375643852,-0.00102406325,0.00276180687,-0.0376180938,0.0141302115
0.273,-0.00119533479,-0.0657215866,0.0828157844,0.0369439629,-0.00101914769,0.00294307334,-0.0368799379,0.013837361
0.274,-0.00119942487,-0.0647118921,0.0812185466,0.0363347568,-0.00101423093,0.0031187432,-0.0361574901,0.0135504606
0.275,-0.00120339837,-0.0637198307,0.0796566381,0.0357368319,-0.00100932701,0.00328900308,-0.0354506728,0.0132695036
0.276,-0.00120726226,-0.0627456082,0.0781297168,0.0351501989,-0.00100444694,0.00345402901,-0.0347593606,0.012994458
0.277,-0.00121101569,-0.061789002,0.0766369312,0.0345746364,-0.000999594778,0.0036139669,-0.0340832005,0.0127252054
0.278,-0.00121465653,-0.0608497202,0.0751773739,0.0340098919,-0.000994773495,0.00376894991,-0.0334218132,0.0124616157
0.279,-0.00121818252,-0.0599274723,0.0737501678,0.0334557194,-0.000989985882,0.0039191043,-0.0327748338,0.0122035613
0.28,-0.00122159078,-0.0590219715,0.0723544695,0.0329118803,-0.000985234334,0.00406455284,-0.0321419149,0.0119509172
0.281,-0.00122487779,-0.0581329402,0.0709894849,0.0323781462,-0.000980520271,0.00420541771,-0.0315227242,0.0117035636
0.282,-0.00122804027,-0.0572601152,0.0696544879,0.0318543051,-0.000975843878,0.00434182082,-0.0309169366,0.0114613932
0.283,-0.00123107836,-0.0564034503,0.0683490472,0.0313402699,-0.000971208449,0.00447390086,-0.0303243544,0.0112243422
0.284,-0.0012340027,-0.0555634109,0.0670733647,0.0308362427,-0.000966625517,0.00460183845,-0.0297450647,0.0109924484
0.285,-0.00123682116,-0.0547403056,0.0658274568,0.0303423425,-0.000962103325,0.00472580414,-0.0291790703,0.0107657208
0.286,-0.00123953,-0.0539339133,0.0646107129,0.0298584007,-0.000957640787,0.00484592433,-0.0286260979,0.0105440632
0.287,-0.00124212375,-0.0531439313,0.0634224432,0.0293842087,-0.00095323577,0.0049623146,-0.0280858389,0.0103273645
0.288,-0.00124459737,-0.0523700556,0.0622619763,0.0289195638,-0.000948886061,0.00507508532,-0.0275579912,0.0101155159
0.289,-0.00124694664,-0.0516119787,0.0611286565,0.0284642692,-0.000944589046,0.00518433978,-0.027042255,0.00990841196
0.29,-0.00124916895,-0.0508693865,0.0600218352,0.028018133,-0.000940341809,0.00529017081,-0.0265383283,0.00970595037
0.291,-0.00125126311,-0.0501419341,0.0589408228,0.0275809536,-0.000936141615,0.0053926565,-0.0260459017,0.0095080253
0.292,-0.0012532165,-0.0494287796,0.0578843189,0.0271522559,-0.000931978481,0.00549181196,-0.0255644351,0.00931442761
0.293,-0.00125500547,-0.0487285782,0.0568504461,0.0267312924,-0.000927834664,0.00558757972,-0.0250931361,0.00912485769
0.294,-0.00125661935,-0.0480404629,0.0558379182,0.0263175832,-0.000923701757,0.00567993967,-0.0246314611,0.00893911361
0.295,-0.00125806194,-0.0473641106,0.054846107,0.0259109512,-0.000919580625,0.00576892827,-0.0241791516,0.00875710025
0.296,-0.00125933796,-0.0466992319,0.0538744397,0.0255112403,-0.000915471834,0.00585458538,-0.0237359711,0.00857873178
0.297,-0.00126045211,-0.0460455444,0.0529223632,0.0251182983,-0.000911375734,0.00593695199,-0.0233016902,0.00840392496
0.298,-0.00126140897,-0.0454027738,0.0519893431,0.0247319768,-0.000907292714,0.00601607109,-0.022876088,0.00823259869
0.299,-0.00126221266,-0.0447706554,0.0510748639,0.0243521301,-0.000903223317,0.00609198931,-0.022458954,0.00806467382
0.3,-0.00126286507,-0.0441489026,0.0501783956,0.0239785973,-0.000899167284,0.00616475502,-0.0220500747,0.00790006674
0.301,-0.00126336273,-0.0435371124,0.0492993042,0.0236111526,-0.000895120539,0.00623440541,-0.0216491816,0.00773867539
0.302,-0.00126370209,-0.0429349173,0.0484370475,0.0232495942,-0.000891077066,0.00630098349,-0.021256014,0.00758041582
0.303,-0.00126388214,-0.0423421077,0.0475912849,0.0228938053,-0.000887032791,0.00636455842,-0.0208703942,0.00742523349
0.304,-0.00126390169,-0.0417585163,0.0467617264,0.022543689,-0.000882984402,0.00642520818,-0.020492174,0.00727307982
0.305,-0.00126375919,-0.0411839796,0.0459480857,0.0221991498,-0.000878928881,0.00648301136,-0.0201212119,0.00712390605
0.306,-0.00126345313,-0.0406183365,0.0451500789,0.0218600935,-0.00087486343,0.00653804538,-0.0197573702,0.00697766355
0.307,-0.0012629822,-0.0400614271,0.0443674259,0.0215264272,-0.000870785528,0.00659038585,-0.0194005134,0.00683430393
0.308,-0.00126234738,-0.0395131614,0.0435999265,0.0211980968,-0.000866694761,0.00664011792,-0.0190505398,0.00669379005
0.309,-0.00126156717,-0.0389739881,0.042847974,0.0208753383,-0.000862602679,0.00668741662,-0.0187076055,0.00655617528
0.31,-0.0012606665,-0.0384445155,0.0421121272,0.0205584761,-0.000858523911,0.00673248837,-0.0183719381,0.00642153916
0.311,-0.00125965345,-0.0379247923,0.0413923142,0.0202475349,-0.000854461338,0.00677544535,-0.0180434938,0.00628986495
0.312,-0.00125852789,-0.0374146041,0.0406881575,0.0199423961,-0.000850413868,0.00681635262,-0.0177221087,0.00616108563
0.313,-0.00125729056,-0.0369137338,0.0399992735,0.0196429395,-0.000846381294,0.00685527047,-0.0174076174,0.00603513386
0.314,-0.00125594295,-0.0364219676,0.0393252859,0.0193490481,-0.000842363503,0.00689225583,-0.0170998547,0.00591194447
0.315,-0.00125448679,-0.0359390957,0.038665829,0.0190606074,-0.000838360362,0.00692736367,-0.0167986576,0.00579145422
0.316,-0.00125292379,-0.0354649146,0.0380205479,0.0187775063,-0.000834371839,0.00696064814,-0.0165038672,0.00567360151
0.317,-0.00125125546,-0.0349992307,0.0373891028,0.0184996387,-0.000830397844,0.00699216358,-0.0162153313,0.0055583268
0.318,-0.00124948341,-0.0345418575,0.0367711654,0.0182269017,-0.00082643823,0.0070219632,-0.0159329001,0.00544557343
0.319,-0.00124760939,-0.0340926086,0.0361664127,0.0179591924,-0.000822492716,0.00705009829,-0.0156564245,0.00533528548
0.32,-0.00124563547,-0.0336512992,0.0355745273,0.0176964092,-0.000818560881,0.00707661861,-0.0153857584,0.00522740778
0.321,-0.00124356407,-0.0332177473,0.0349951968,0.0174384523,-0.00081464236,0.00710157251,-0.0151207586,0.005121886
0.322,-0.00124139777,-0.0327917727,0.0344281092,0.0171852216,-0.000810736983,0.00712500733,-0.0148612866,0.00501866526
0.323,-0.00123913947,-0.0323731982,0.0338729574,0.0169366192,-0.000806844451,0.00714696903,-0.0146072066,0.00491769178
0.324,-0.00123678811,-0.0319617379,0.0333293249,0.0166924907,-0.000802961135,0.00716747727,-0.0143583366,0.00481889701
0.325,-0.00123432365,-0.0315566179,0.0327962941,0.0164524273,-0.000799071026,0.00718643769,-0.0141142788,0.00472214036
0.326,-0.0012317253,-0.0311570646,0.0322729617,0.0162160204,-0.000795158626,0.00720374644,-0.0138746393,0.0046272838
0.327,-0.00122899161,-0.0307628171,0.0317589643,0.0159831281,-0.000791221322,0.00721941,-0.0136392578,0.00453426787
0.328,-0.00122612635,-0.0303737574,0.0312540889,0.0157536832,-0.000787259655,0.00723346563,-0.0134080403,0.00444305556
0.329,-0.00122313285,-0.0299897717,0.0307581276,0.0155276195,-0.00078327414,0.0072459505,-0.0131808968,0.00435361069
0.33,-0.00122001372,-0.0296107514,0.03027088,0.0153048725,-0.000779265423,0.00725690241,-0.0129577422,0.00426589758
0.331,-0.0012167708,-0.0292365963,0.0297921614,0.0150853813,-0.000775234003,0.00726636006,-0.0127384958,0.00417988228
0.332,-0.00121340764,-0.0288672691,0.0293218648,0.0148691188,-0.000771181175,0.0072743748,-0.0125231008,0.00409554349
0.333,-0.00120993042,-0.0285028167,0.0288599733,0.0146561011,-0.000767109941,0.00728101871,-0.0123115379,0.00401287203
0.334,-0.00120634297,-0.0281432391,0.0284064217,0.0144463192,-0.000763021944,0.00728635264,-0.0121037691,0.00393185137
0.335,-0.00120264575,-0.0277884565,0.0279610636,0.0142397229,-0.000758916777,0.00729041659,-0.0118997238,0.00385245326
0.336,-0.00119883908,-0.027438384,0.0275237475,0.0140362592,-0.000754793956,0.00729324792,-0.01169933,0.00377464859
0.337,-0.0011949236,-0.0270929381,0.0270943242,0.013835876,-0.000750653022,0.00729488286,-0.0115025171,0.00369840858
0.338,-0.00119090024,-0.0267520367,0.0266726473,0.0136385225,-0.000746493667,0.00729535652,-0.0113092157,0.00362370471
0.339,-0.0011867739,-0.0264156815,0.0262586548,0.0134441906,-0.000742318361,0.0072947256,-0.0111193912,0.00355051929
0.34,-0.00118257069,-0.0260843383,0.025852744,0.0132531088,-0.000738142741,0.00729317542,-0.010933202,0.00347889641
0.341,-0.00117832027,-0.025758534,0.0254553621,0.0130655364,-0.000733983963,0.00729091373,-0.0107508294,0.00340888712
0.342,-0.00117403095,-0.0254383162,0.02506647,0.0128814866,-0.000729846138,0.00728801862,-0.0105722544,0.00334047522
0.343,-0.00116970363,-0.025123568,0.024685865,0.012700888,-0.000725729361,0.00728452057,-0.0103973882,0.00327362226
0.344,-0.00116533926,-0.0248141745,0.0243133494,0.0125236702,-0.000721633914,0.00728044802,-0.0102261417,0.00320829094
0.345,-0.00116093862,-0.0245100234,0.0239487317,0.012349764,-0.000717559952,0.00727582794,-0.0100584273,0.00314444522
0.346,-0.00115650152,-0.0242109898,0.0235918117,0.0121790939,-0.000713506804,0.00727068137,-0.00989415337,0.0030820486
0.347,-0.00115201642,-0.0239167162,0.0232421662,0.0120114674,-0.000709466502,0.0072649567,-0.00973313541,0.0030210363
0.348,-0.00114746388,-0.0236266874,0.0228992242,0.0118466127,-0.000705426508,0.00725854912,-0.009575127,0.00296132484
0.349,-0.00114283592,-0.0233406309,0.022562655,0.0116843811,-0.000701381774,0.00725142284,-0.00941998334,0.00290286223
0.35,-0.00113813377,-0.0230584641,0.0222323116,0.01152472,-0.000697332811,0.00724359848,-0.00926763882,0.00284562077
0.351,-0.00113335914,-0.0227801122,0.0219080547,0.0113675818,-0.000693280175,0.00723509827,-0.00911803251,0.00278957389
0.352,-0.00112851393,-0.0225055036,0.0215897478,0.0112129214,-0.00068922439,0.00722594442,-0.00897110545,0.00273469563
0.353,-0.00112359998,-0.0222345641,0.0212772523,0.0110606933,-0.00068516578,0.00721615752,-0.0088267992,0.00268095986
0.354,-0.00111861183,-0.0219670757,0.0209702919,0.0109107815,-0.000681100234,0.00720571024,-0.00868499996,0.00262832317
0.355,-0.001113536,-0.0217026656,0.0206684461,0.0107629931,-0.000677019076,0.00719452084,-0.008545534,0.0025767243
0.356,-0.00110836623,-0.0214411066,0.0203714388,0.0106172077,-0.000672918054,0.0071825507,-0.00840828654,0.00252612085
0.357,-0.00110310475,-0.0211823409,0.0200791598,0.0104733884,-0.000668797677,0.00716981472,-0.00827321137,0.0024764917
0.358,-0.00109775398,-0.0209263203,0.019791511,0.0103315027,-0.000664658369,0.00715632965,-0.00814026708,0.00242781766
0.359,-0.00109231609,-0.0206729971,0.0195083977,0.0101915176,-0.000660500465,0.00714211126,-0.00800941322,0.00238008021
0.36,-0.00108679311,-0.0204223295,0.0192297342,0.0100534025,-0.000656324561,0.0071271764,-0.00788061245,0.00233326172
0.361,-0.00108119493,-0.0201744326,0.0189555866,0.00991720332,-0.000652136161,0.00711159589,-0.00775388823,0.00228736274
0.362,-0.00107554019,-0.0199295915,0.0186861843,0.00978305,-0.000647945656,0.00709550077,-0.00762932749,0.00224240435
0.363,-0.00106983914,-0.0196879404,0.0184216145,0.00965099821,-0.000643758354,0.00707897089,-0.00750695824,0.00219839038
0.364,-0.00106409211,-0.0194494354,0.018161797,0.00952101611,-0.000639574129,0.0070620234,-0.00738674069,0.00215530388
0.365,-0.0010582989,-0.0192140243,0.0179066438,0.00939306773,-0.000635392866,0.00704467176,-0.00726863231,0.00211312671
0.366,-0.00105245936,-0.0189816564,0.0176560681,0.00926711793,-0.000631214614,0.00702692904,-0.00715259155,0.00207184096
0.367,-0.00104657388,-0.0187522911,0.017409993,0.0091431367,-0.000627039932,0.00700881125,-0.00703858076,0.00203142982
0.368,-0.00104065096,-0.0185260335,0.0171684763,0.00902116507,-0.000622874311,0.00699038833,-0.00692661645,0.00199189218
0.369,-0.00103470506,-0.0183030929,0.016931671,0.00890129538,-0.000618726514,0.00697177121,-0.00681675388,0.00195323789
0.37,-0.00102874287,-0.0180835331,0.0166995935,0.00878354936,-0.000614600232,0.00695301759,-0.00670899293,0.00191546092
0.371,-0.00102276478,-0.017867299,0.0164721485,0.00866789091,-0.00061049542,0.00693414047,-0.00660328865,0.00187854232
0.372,-0.00101677136,-0.0176543304,0.0162492319,0.00855428079,-0.000606412338,0.00691515207,-0.00649959602,0.00184246129
0.373,-0.00101076357,-0.017444567,0.0160307386,0.00844267994,-0.000602351255,0.00689606435,-0.00639787034,0.00180719723
0.374,-0.00100474036,-0.0172379086,0.0158165279,0.00833303086,-0.000598310701,0.00687687261,-0.00629805282,0.00177272625
0.375,-0.000998685338,-0.0170339907,0.0156062191,0.00822514876,-0.000594279901,0.00685746452,-0.00619998926,0.00173899807
0.376,-0.00099257863,-0.0168323927,0.015399384,0.00811882186,-0.00059024636,0.00683769987,-0.00610350655,0.00170595747
0.377,-0.000986416154,-0.0166329675,0.0151958486,0.00801397064,-0.000586207088,0.00681754462,-0.00600853296,0.00167357819
0.378,-0.000980200073,-0.0164356777,0.0149955406,0.0079105685,-0.00058216259,0.00679700766,-0.00591503775,0.00164184593
0.379,-0.000973932304,-0.016240487,0.0147983897,0.00780858937,-0.000578113238,0.00677609768,-0.00582299143,0.00161074697
0.38,-0.000967614424,-0.0160473601,0.0146043278,0.00770800742,-0.000574059359,0.00675482308,-0.00573236571,0.00158026789
0.381,-0.00096124661,-0.015856246,0.014413275,0.00760878937,-0.000570000495,0.00673318458,-0.00564312758,0.00155039413
0.382,-0.000954826611,-0.0156670599,0.0142251245,0.00751088614,-0.000565934619,0.00671116611,-0.00555523143,0.00152110893
0.383,-0.000948352906,-0.0154797323,0.0140397855,0.00741425617,-0.000561860144,0.00668875626,-0.00546863701,0.00149239772
0.384,-0.00094182624,-0.0152942321,0.013857203,0.00731887666,-0.000557776862,0.00666595959,-0.00538331898,0.00146424951
0.385,-0.000935247766,-0.0151105335,0.0136773266,0.00722472765,-0.00055368475,0.0066427828,-0.0052992548,0.0014366538
0.386,-0.000928618823,-0.0149286108,0.0135001065,0.00713178964,-0.000549583863,0.00661923267,-0.00521642255,0.00140960017
0.387,-0.000921942115,-0.0147484585,0.0133255113,0.00704005275,-0.000545475237,0.00659532475,-0.00513480731,0.00138307983
0.388,-0.00091523273,-0.0145702687,0.0131536883,0.00694960183,-0.000541367391,0.00657116398,-0.00505446289,0.00135710226
0.389,-0.000908511342,-0.0143943233,0.0129848645,0.00686056467,-0.000537271996,0.00654689877,-0.00497547361,0.00133168517
0.39,-0.000901785805,-0.0142207023,0.0128190849,0.00677297286,-0.000533193132,0.00652258916,-0.00489785331,0.0013068274
0.391,-0.00089505643,-0.0140493705,0.0126562912,0.00668680267,-0.000529130741,0.00649824278,-0.00482157549,0.00128251702
0.392,-0.00088832327,-0.0138802923,0.0124964265,0.00660203011,-0.000525084841,0.00647386617,-0.00474661335,0.00125874236
0.393,-0.000881586216,-0.0137134329,0.0123394361,0.0065186315,-0.000521055433,0.00644946535,-0.00467294048,0.00123549217
0.394,-0.000874844202,-0.0135487449,0.0121852542,0.00643657703,-0.00051704195,0.00642503955,-0.00460052629,0.00121275448
0.395,-0.000868094732,-0.0133861598,0.0120337968,0.00635582677,-0.000513042961,0.00640057714,-0.00452933352,0.00119051563
0.396,-0.000861336163,-0.0132256216,0.0118849916,0.00627634705,-0.000509057534,0.00637607187,-0.00445933016,0.00116876302
0.397,-0.00085456851,-0.0130670977,0.0117387876,0.00619811557,-0.000505085625,0.00635152804,-0.00439049225,0.00114748633
0.398,-0.000847792114,-0.0129105582,0.0115951361,0.00612111165,-0.000501127214,0.00632695091,-0.00432279694,0.00112667568
0.399,-0.000841007514,-0.0127559737,0.0114539893,0.00604531528,-0.000497182171,0.00630234568,-0.00425622178,0.00110632136
0.4,-0.000834213276,-0.0126032811,0.0113152691,0.00597069096,-0.00049324889,0.00627770067,-0.00419073347,0.00108641101
0.401,-0.000827399437,-0.0124522834,0.0111787763,0.00589713982,-0.00048932064,0.00625293685,-0.00412625475,0.00106692074
0.402,-0.000820556567,-0.0123027875,0.0110443141,0.0058245643,-0.00048539124,0.00622797575,-0.00406271093,0.00104782668
0.403,-0.000813684435,-0.0121547375,0.0109118084,0.00575293153,-0.000481459886,0.00620280624,-0.00400007328,0.001029117
0.404,-0.000806785017,-0.0120081117,0.0107812165,0.00568222487,-0.000477526899,0.00617743383,-0.00393832455,0.00101078324
0.405,-0.000799860138,-0.011862889,0.0106524964,0.00561242793,-0.000473592506,0.00615186383,-0.00387744775,0.000992817192
0.406,-0.000792911706,-0.0117190527,0.0105256112,0.0055435264,-0.000469657076,0.0061261035,-0.00381742759,0.000975211186
0.407,-0.000785943424,-0.0115766161,0.0104005513,0.00547551989,-0.000465722069,0.00610017523,-0.00375825869,0.000957960063
0.408,-0.000778959528,-0.0114356005,0.010277315,0.00540841207,-0.000461789194,0.00607410572,-0.00369993795,0.000941059855
