r,R  4/ 2,R  5/ 2,R  6/ 2,R  7/ 2,R  8/ 2,R  9/ 2,R 10/ 2,I  4/ 2,I  5/ 2,I  6/ 2,I  7/ 2,I  8/ 2,I  9/ 2,I 10/ 2
0.087,-0.144106805,-0.276680858,-0.0811950062,0.0647023659,0.00571739811,-0.00063247517,0.000124758794,-0.0149635553,-0.0553368378,0.2452256,-0.0541304091,0.00523162839,0.00121946694,2.84532947e-05
0.088,-0.150364728,-0.292358714,-0.0870466593,0.0700365793,0.00609437509,-0.000664671607,0.000132657483,-0.0163189396,-0.0586752701,0.261914315,-0.0585202065,0.00566173304,0.00135503598,3.66190521e-05
0.089,-0.156777454,-0.30867702,-0.093252572,0.075742345,0.00648415149,-0.000696392197,0.000140093235,-0.0177515712,-0.0621974661,0.279500044,-0.0632065261,0.00612483348,0.00150168197,4.6603687e-05
0.09,-0.163342926,-0.32564645,-0.0998313634,0.0818401868,0.00688588674,-0.000727429711,0.000146711287,-0.019262918,-0.0659122293,0.298016196,-0.0682051144,0.00662380654,0.00165970207,5.87665749e-05
0.091,-0.170058844,-0.343277063,-0.106802588,0.0883512407,0.00729864522,-0.000757564428,0.000152168848,-0.0208544416,-0.069828635,0.317496552,-0.0735323384,0.00716180385,0.00182931763,7.35080101e-05
0.092,-0.176922423,-0.361578243,-0.114186575,0.095297213,0.00772150568,-0.000786642608,0.000156245065,-0.0225277952,-0.073955956,0.33797511,-0.0792051111,0.00774222395,0.002010638,9.11398743e-05
0.093,-0.183930745,-0.38055871,-0.122004735,0.102700295,0.00815333739,-0.000814518186,0.000158543386,-0.0242847044,-0.0783036923,0.359486027,-0.0852409473,0.00836872792,0.00220368068,0.000111998068
0.094,-0.191080896,-0.400226477,-0.130279735,0.110583174,0.00859264892,-0.000841080539,0.000158460006,-0.0261271251,-0.0828814921,0.382063605,-0.0916578961,0.00904537208,0.00240832919,0.00013645166
0.095,-0.19837028,-0.420588951,-0.139035782,0.118968855,0.00903744194,-0.000866250535,0.000155006821,-0.0280572439,-0.0876991906,0.405742204,-0.0984746458,0.00977658648,0.00262431168,0.000164934908
0.096,-0.205796745,-0.441652907,-0.148298708,0.127880708,0.00948519717,-0.000889953375,0.000146980571,-0.0300777779,-0.0927667299,0.430556083,-0.105710413,0.0105672169,0.00285120591,0.000197886851
0.097,-0.213359194,-0.463424646,-0.1580966,0.13734219,0.00993240097,-0.000912192143,0.00013245941,-0.0321920146,-0.098094199,0.456539371,-0.113385092,0.0114225716,0.00308836594,0.000235814132
0.098,-0.221057833,-0.485909995,-0.168459884,0.14737695,0.0103746824,-0.00093290651,0.000109293953,-0.0344042876,-0.103691777,0.483725718,-0.121519104,0.0123483143,0.00333499924,0.000279126164
0.099,-0.228895302,-0.50911452,-0.179422587,0.158008443,0.0108056929,-0.000952175412,7.39324162e-05,-0.0367200891,-0.109569767,0.512148354,-0.130133584,0.0133506537,0.00359002814,0.000328293605
