r,dnnbi,dne,dni,tbn,ti,te,vfova,cureq,feq,pressure,iota,q,1/D,curvature,shear,eta
0.694,0.418582,0.8110994,0.8244417,0.7972916,0.3046573,0.2812112,0.3507606,-0.03383489,0.994581,0.2668745,0.2744489,3.643665,0.8700012,-0.3601259,-1.097338,7.207215
0.695,0.4166982,0.8104985,0.8239393,0.7972505,0.3038306,0.2802418,0.3507516,-0.03389327,0.9945719,0.2658218,0.2740148,3.649438,0.8696407,-0.3609553,-1.101474,7.245598
0.696,0.414808,0.8098965,0.8234377,0.797208,0.3030031,0.2792734,0.3507422,-0.03395153,0.9945629,0.2647681,0.2735804,3.655233,0.8692793,-0.3617851,-1.10561,7.284293
0.697,0.4129105,0.8092933,0.8229369,0.7971649,0.3021747,0.2783061,0.3507327,-0.03400966,0.9945541,0.2637134,0.2731456,3.661051,0.8689171,-0.3626153,-1.109745,7.323304
0.698,0.4110047,0.8086891,0.8224372,0.7971215,0.3013454,0.2773398,0.3507232,-0.03406767,0.9945456,0.2626578,0.2727106,3.666891,0.8685541,-0.3634458,-1.11388,7.362636
0.699,0.4090895,0.8080837,0.8219386,0.7970784,0.3005151,0.2763746,0.3507137,-0.03412557,0.9945372,0.2616011,0.2722752,3.672754,0.8681902,-0.3642765,-1.118013,7.402294
0.7,0.407164,0.8074772,0.8214412,0.7970362,0.2996839,0.2754105,0.3507044,-0.03418334,0.9945287,0.2605435,0.2718396,3.67864,0.8678255,-0.3651074,-1.122147,7.442281
0.701,0.4052274,0.8068695,0.8209451,0.7969953,0.2988518,0.2744474,0.3506954,-0.03424099,0.9945201,0.2594849,0.2714037,3.684548,0.86746,-0.3659384,-1.126283,7.482602
0.702,0.4032799,0.8062607,0.8204502,0.7969555,0.2980186,0.2734854,0.3506867,-0.03429852,0.9945114,0.2584252,0.2709675,3.69048,0.8670936,-0.3667694,-1.130423,7.523261
0.703,0.4013222,0.8056508,0.8199566,0.7969165,0.2971845,0.2725244,0.3506781,-0.03435593,0.9945028,0.2573646,0.270531,3.696434,0.8667265,-0.3676005,-1.134569,7.564261
0.704,0.3993548,0.8050397,0.8194642,0.796878,0.2963493,0.2715645,0.3506696,-0.03441322,0.9944943,0.2563028,0.2700943,3.702411,0.8663584,-0.3684314,-1.138719,7.605605
0.705,0.3973784,0.8044275,0.8189729,0.7968397,0.2955131,0.2706056,0.3506612,-0.03447039,0.9944859,0.2552401,0.2696572,3.708411,0.8659896,-0.3692622,-1.142875,7.647297
0.706,0.3953934,0.8038142,0.8184827,0.7968014,0.2946758,0.2696478,0.3506528,-0.03452744,0.9944777,0.2541762,0.26922,3.714435,0.8656199,-0.3700927,-1.147036,7.68934
0.707,0.3934004,0.8031997,0.8179936,0.7967627,0.2938375,0.268691,0.3506443,-0.03458437,0.9944694,0.2531113,0.2687824,3.720481,0.8652494,-0.3709229,-1.151201,7.731739
0.708,0.3914001,0.8025841,0.8175054,0.7967233,0.2929981,0.2677353,0.3506356,-0.03464118,0.9944612,0.2520453,0.2683447,3.726551,0.8648781,-0.3717527,-1.155371,7.774495
0.709,0.3893929,0.8019673,0.8170181,0.7966829,0.2921576,0.2667806,0.3506267,-0.03469787,0.9944529,0.2509782,0.2679066,3.732644,0.8645059,-0.372582,-1.159546,7.817613
0.71,0.3873795,0.8013494,0.8165317,0.7966413,0.291316,0.265827,0.3506176,-0.03475445,0.9944447,0.2499101,0.2674684,3.73876,0.8641329,-0.3734108,-1.163723,7.861098
0.711,0.3853603,0.8007303,0.8160462,0.7965982,0.2904732,0.2648743,0.3506081,-0.0348109,0.9944365,0.2488409,0.2670298,3.7449,0.8637591,-0.374239,-1.167885,7.904951
0.712,0.3833351,0.8001102,0.8155615,0.7965537,0.2896293,0.2639228,0.3505983,-0.03486724,0.9944286,0.2477707,0.2665911,3.751063,0.8633844,-0.3750665,-1.172017,7.949178
0.713,0.3813038,0.7994888,0.8150777,0.796508,0.2887842,0.2629722,0.3505882,-0.03492346,0.9944207,0.2466994,0.2661522,3.757249,0.8630089,-0.3758933,-1.176115,7.993783
0.714,0.379266,0.7988664,0.8145948,0.7964612,0.287938,0.2620227,0.3505779,-0.03497957,0.994413,0.2456272,0.2657131,3.763458,0.8626326,-0.3767193,-1.18018,8.03877
0.715,0.3772215,0.7982429,0.8141128,0.7964137,0.2870905,0.2610743,0.3505675,-0.03503555,0.9944054,0.244554,0.2652738,3.76969,0.8622555,-0.3775444,-1.184211,8.084143
0.716,0.3751701,0.7976182,0.8136318,0.7963654,0.2862417,0.2601268,0.3505568,-0.03509142,0.9943979,0.2434799,0.2648344,3.775945,0.8618776,-0.3783686,-1.188209,8.129908
0.717,0.3731115,0.7969925,0.8131517,0.7963167,0.2853917,0.2591805,0.3505461,-0.03514717,0.9943903,0.242405,0.2643948,3.782223,0.8614988,-0.3791918,-1.192173,8.176067
0.718,0.3710454,0.7963657,0.8126725,0.7962678,0.2845405,0.2582351,0.3505353,-0.03520281,0.9943828,0.2413291,0.2639551,3.788523,0.8611192,-0.3800139,-1.196104,8.222627
0.719,0.3689716,0.7957377,0.8121944,0.7962187,0.2836879,0.2572908,0.3505245,-0.03525832,0.9943753,0.2402523,0.2635154,3.794845,0.8607387,-0.3808349,-1.200002,8.269592
0.72,0.3668898,0.7951088,0.8117172,0.7961697,0.2828341,0.2563476,0.3505138,-0.03531372,0.9943677,0.2391746,0.2630755,3.80119,0.8603575,-0.3816546,-1.20387,8.316966
0.721,0.3647999,0.7944787,0.8112411,0.7961209,0.2819788,0.2554054,0.350503,-0.03536901,0.9943604,0.238096,0.2626356,3.807557,0.8599754,-0.3824731,-1.207727,8.364754
0.722,0.3627018,0.7938476,0.8107661,0.7960724,0.2811223,0.2544642,0.3504923,-0.03542418,0.9943531,0.2370163,0.2621956,3.813946,0.8595926,-0.3832902,-1.211591,8.412961
0.723,0.3605958,0.7932154,0.8102921,0.7960243,0.2802644,0.2535241,0.3504817,-0.03547923,0.9943461,0.2359356,0.2617556,3.820357,0.8592089,-0.3841059,-1.215465,8.461593
0.724,0.3584819,0.7925821,0.8098192,0.7959764,0.2794051,0.252585,0.3504712,-0.03553417,0.994339,0.2348539,0.2613155,3.826791,0.8588243,-0.3849202,-1.219349,8.510654
0.725,0.3563603,0.7919477,0.8093474,0.795929,0.2785444,0.251647,0.3504608,-0.03558899,0.9943319,0.2337713,0.2608754,3.833247,0.858439,-0.3857328,-1.223244,8.56015
0.726,0.3542311,0.7913121,0.8088767,0.7958819,0.2776823,0.25071,0.3504504,-0.0356437,0.9943247,0.2326878,0.2604352,3.839726,0.8580529,-0.3865438,-1.227149,8.610087
0.727,0.3520944,0.7906754,0.8084071,0.7958352,0.2768188,0.249774,0.3504401,-0.0356983,0.9943176,0.2316036,0.259995,3.846228,0.8576659,-0.3873531,-1.231064,8.66047
0.728,0.3499503,0.7900376,0.8079387,0.795789,0.2759538,0.2488391,0.35043,-0.03575278,0.9943105,0.2305186,0.2595547,3.852752,0.8572782,-0.3881607,-1.23499,8.711304
0.729,0.3477989,0.7893985,0.8074714,0.7957433,0.2750874,0.2479052,0.3504199,-0.03580714,0.9943038,0.2294329,0.2591144,3.8593,0.8568896,-0.3889664,-1.238925,8.762596
0.73,0.3456404,0.7887583,0.8070053,0.795698,0.2742196,0.2469724,0.3504099,-0.03586139,0.9942971,0.2283467,0.258674,3.86587,0.8565002,-0.3897702,-1.242869,8.81435
0.731,0.343475,0.788117,0.8065403,0.7956533,0.2733502,0.2460406,0.3504001,-0.03591553,0.9942905,0.2272598,0.2582336,3.872463,0.8561101,-0.390572,-1.246817,8.866573
0.732,0.3413029,0.7874744,0.8060766,0.7956088,0.2724794,0.2451098,0.3503903,-0.03596955,0.9942837,0.2261723,0.2577931,3.87908,0.8557191,-0.3913717,-1.250764,8.91927
0.733,0.3391245,0.7868306,0.8056139,0.7955645,0.271607,0.2441801,0.3503805,-0.03602346,0.9942769,0.2250841,0.2573526,3.88572,0.8553273,-0.3921693,-1.254707,8.972446
0.734,0.3369404,0.7861857,0.8051523,0.7955202,0.2707331,0.2432514,0.3503708,-0.03607726,0.9942701,0.2239952,0.256912,3.892383,0.8549348,-0.3929647,-1.258649,9.026107
0.735,0.3347507,0.7855396,0.8046918,0.7954756,0.2698576,0.2423237,0.3503609,-0.03613094,0.9942635,0.2229054,0.2564715,3.899069,0.8545414,-0.3937578,-1.262587,9.080257
0.736,0.3325561,0.7848924,0.8042322,0.7954305,0.2689805,0.2413971,0.350351,-0.03618451,0.9942571,0.2218148,0.2560309,3.905778,0.8541472,-0.3945485,-1.266523,9.134902
0.737,0.3303567,0.784244,0.8037737,0.7953848,0.2681017,0.2404715,0.3503409,-0.03623797,0.9942509,0.2207234,0.2555903,3.912511,0.8537523,-0.3953368,-1.270456,9.190048
0.738,0.3281531,0.7835945,0.803316,0.7953382,0.2672214,0.2395469,0.3503307,-0.03629132,0.9942446,0.2196313,0.2551497,3.919267,0.8533566,-0.3961226,-1.274387,9.245701
0.739,0.3259455,0.7829438,0.8028593,0.7952906,0.2663393,0.2386233,0.3503202,-0.03634455,0.9942382,0.2185386,0.2547091,3.926047,0.8529601,-0.3969058,-1.278314,9.301865
0.74,0.3237345,0.782292,0.8024034,0.7952418,0.2654556,0.2377008,0.3503094,-0.03639767,0.9942317,0.2174455,0.2542685,3.93285,0.8525628,-0.3976863,-1.282237,9.358547
0.741,0.3215202,0.7816391,0.8019483,0.7951917,0.2645701,0.2367793,0.3502984,-0.03645068,0.9942252,0.2163521,0.253828,3.939676,0.8521647,-0.3984641,-1.286149,9.415753
