r,dnnbi(m^-3),dne(m^-3),dni(m^-3),tbn(keV),ti(keV),te(keV),vzt_eq(m/s),vth_eq(m/s),vthermalep(m/s),etann(MKS)
0.808,3.249565e+17,2.410603e+19,2.036785e+19,57169.68,405.9685,299.5816,0.002504234,0.0,2340432.0,14.8939
0.809,3.206266e+17,2.408204e+19,2.035682e+19,57182.8,404.1206,298.1361,0.00250056,0.0,2340700.0,15.00917
0.81,3.16294e+17,2.4058e+19,2.03458e+19,57197.6,402.274,296.692,0.002496894,0.0,2341003.0,15.1258
0.811,3.119556e+17,2.403393e+19,2.033479e+19,57214.27,400.4288,295.2493,0.002493237,0.0,2341345.0,15.24381
0.812,3.076156e+17,2.400981e+19,2.032379e+19,57232.62,398.585,293.808,0.002489587,0.0,2341720.0,15.36323
0.813,3.032802e+17,2.398566e+19,2.031279e+19,57252.34,396.7427,292.3681,0.002485945,0.0,2342123.0,15.48406
0.814,2.989555e+17,2.396147e+19,2.030179e+19,57273.12,394.902,290.9296,0.00248231,0.0,2342548.0,15.60634
0.815,2.946475e+17,2.393724e+19,2.029078e+19,57294.68,393.0629,289.4924,0.002478682,0.0,2342989.0,15.73007
0.816,2.903625e+17,2.391297e+19,2.027974e+19,57316.72,391.2256,288.0566,0.002475062,0.0,2343440.0,15.85529
0.817,2.861064e+17,2.388866e+19,2.026869e+19,57338.93,389.3901,286.6222,0.002471448,0.0,2343894.0,15.98199
0.818,2.818854e+17,2.386431e+19,2.02576e+19,57361.01,387.5564,285.1891,0.002467842,0.0,2344345.0,16.11022
0.819,2.777055e+17,2.383992e+19,2.024647e+19,57382.67,385.7247,283.7574,0.002464242,0.0,2344788.0,16.23998
0.82,2.73573e+17,2.38155e+19,2.02353e+19,57403.6,383.895,282.327,0.002460648,0.0,2345215.0,16.3713
0.821,2.694922e+17,2.379104e+19,2.022408e+19,57423.61,382.0674,280.8979,0.002457061,0.0,2345624.0,16.5042
0.822,2.654608e+17,2.376654e+19,2.021281e+19,57442.92,380.2419,279.4702,0.00245348,0.0,2346018.0,16.6387
0.823,2.61475e+17,2.3742e+19,2.02015e+19,57461.83,378.4186,278.0438,0.002449906,0.0,2346404.0,16.77485
0.824,2.575307e+17,2.371742e+19,2.019015e+19,57480.66,376.5976,276.6186,0.002446339,0.0,2346789.0,16.91266
0.825,2.536241e+17,2.36928e+19,2.017876e+19,57499.73,374.7789,275.1948,0.002442778,0.0,2347178.0,17.05217
0.826,2.497512e+17,2.366814e+19,2.016734e+19,57519.36,372.9626,273.7723,0.002439224,0.0,2347579.0,17.19342
0.827,2.459081e+17,2.364344e+19,2.015589e+19,57539.85,371.1488,272.351,0.002435677,0.0,2347997.0,17.33643
0.828,2.420908e+17,2.36187e+19,2.014441e+19,57561.53,369.3376,270.9311,0.002432138,0.0,2348439.0,17.48124
0.829,2.382954e+17,2.359392e+19,2.013292e+19,57584.71,367.529,269.5124,0.002428605,0.0,2348912.0,17.62789
0.83,2.34518e+17,2.35691e+19,2.01214e+19,57609.7,365.723,268.095,0.00242508,0.0,2349422.0,17.77641
0.831,2.30756e+17,2.354424e+19,2.010987e+19,57636.72,363.9198,266.6789,0.002421562,0.0,2349972.0,17.92683
0.832,2.270126e+17,2.351934e+19,2.009832e+19,57665.55,362.1194,265.264,0.002418052,0.0,2350560.0,18.07919
0.833,2.232921e+17,2.34944e+19,2.008675e+19,57695.88,360.3219,263.8503,0.002414549,0.0,2351178.0,18.23353
0.834,2.19599e+17,2.346942e+19,2.007515e+19,57727.39,358.5274,262.4379,0.002411052,0.0,2351820.0,18.38986
0.835,2.159378e+17,2.344439e+19,2.006351e+19,57759.76,356.7359,261.0268,0.002407562,0.0,2352479.0,18.54822
0.836,2.123129e+17,2.341933e+19,2.005184e+19,57792.69,354.9476,259.6168,0.002404079,0.0,2353150.0,18.70865
0.837,2.087288e+17,2.339423e+19,2.004013e+19,57825.86,353.1625,258.2081,0.002400602,0.0,2353825.0,18.87117
0.838,2.0519e+17,2.336909e+19,2.002837e+19,57858.94,351.3806,256.8005,0.002397131,0.0,2354498.0,19.03583
0.839,2.017009e+17,2.334392e+19,2.001656e+19,57891.63,349.6021,255.3942,0.002393666,0.0,2355163.0,19.20265
0.84,1.98266e+17,2.33187e+19,2.00047e+19,57923.6,347.827,253.989,0.002390206,0.0,2355814.0,19.37168
0.841,1.948885e+17,2.329345e+19,1.999278e+19,57954.65,346.0554,252.585,0.002386752,0.0,2356445.0,19.54294
0.842,1.915666e+17,2.326815e+19,1.99808e+19,57984.97,344.2874,251.1822,0.002383303,0.0,2357061.0,19.71649
0.843,1.882973e+17,2.324282e+19,1.996876e+19,58014.86,342.5231,249.7805,0.002379861,0.0,2357669.0,19.89237
0.844,1.850777e+17,2.321745e+19,1.995668e+19,58044.63,340.7624,248.38,0.002376424,0.0,2358274.0,20.07062
0.845,1.819046e+17,2.319204e+19,1.994454e+19,58074.58,339.0055,246.9806,0.002372992,0.0,2358882.0,20.25129
0.846,1.787751e+17,2.316659e+19,1.993236e+19,58105.0,337.2525,245.5824,0.002369567,0.0,2359500.0,20.43443
0.847,1.756862e+17,2.31411e+19,1.992013e+19,58136.21,335.5033,244.1854,0.002366148,0.0,2360133.0,20.62009
0.848,1.726349e+17,2.311557e+19,1.990786e+19,58168.49,333.7582,242.7894,0.002362736,0.0,2360788.0,20.80832
0.849,1.696182e+17,2.309001e+19,1.989555e+19,58202.15,332.017,241.3947,0.002359329,0.0,2361471.0,20.99917
0.85,1.66633e+17,2.30644e+19,1.98832e+19,58237.5,330.28,240.001,0.002355929,0.0,2362188.0,21.1927
0.851,1.636773e+17,2.303875e+19,1.987082e+19,58274.73,328.5471,238.6085,0.002352536,0.0,2362943.0,21.38897
0.852,1.607526e+17,2.301307e+19,1.98584e+19,58313.64,326.8185,237.2171,0.002349149,0.0,2363732.0,21.58801
0.853,1.578614e+17,2.298734e+19,1.984593e+19,58353.93,325.0942,235.8268,0.002345769,0.0,2364548.0,21.78989
0.854,1.550062e+17,2.296157e+19,1.983343e+19,58395.31,323.3743,234.4376,0.002342394,0.0,2365387.0,21.99466
0.855,1.521895e+17,2.293576e+19,1.982089e+19,58437.46,321.6589,233.0495,0.002339026,0.0,2366240.0,22.20238
0.856,1.494138e+17,2.290991e+19,1.980829e+19,58480.1,319.9479,231.6624,0.002335663,0.0,2367103.0,22.4131
0.857,1.466815e+17,2.288402e+19,1.979565e+19,58522.91,318.2416,230.2765,0.002332306,0.0,2367969.0,22.62689
0.858,1.439951e+17,2.285809e+19,1.978295e+19,58565.6,316.54,228.8916,0.002328954,0.0,2368833.0,22.8438
0.859,1.413571e+17,2.283212e+19,1.977021e+19,58607.86,314.8431,227.5078,0.002325608,0.0,2369687.0,23.06389
0.86,1.3877e+17,2.28061e+19,1.97574e+19,58649.4,313.151,226.125,0.002322266,0.0,2370527.0,23.28723
0.861,1.362355e+17,2.278004e+19,1.974454e+19,58690.02,311.4638,224.7433,0.00231893,0.0,2371348.0,23.51388
0.862,1.337519e+17,2.275395e+19,1.973162e+19,58729.92,309.7816,223.3626,0.002315599,0.0,2372154.0,23.74391
0.863,1.313167e+17,2.272781e+19,1.971864e+19,58769.43,308.1044,221.9829,0.002312273,0.0,2372952.0,23.9774
0.864,1.289276e+17,2.270163e+19,1.970561e+19,58808.85,306.4323,220.6042,0.002308952,0.0,2373747.0,24.21443
0.865,1.265822e+17,2.26754e+19,1.969253e+19,58848.5,304.7654,219.2265,0.002305636,0.0,2374547.0,24.45506
0.866,1.242778e+17,2.264914e+19,1.96794e+19,58888.7,303.1037,217.8499,0.002302325,0.0,2375358.0,24.69938
0.867,1.220122e+17,2.262284e+19,1.966622e+19,58929.76,301.4474,216.4742,0.00229902,0.0,2376186.0,24.94747
0.868,1.197828e+17,2.25965e+19,1.965299e+19,58971.98,299.7964,215.0995,0.00229572,0.0,2377037.0,25.19941
0.869,1.175872e+17,2.257012e+19,1.963972e+19,59015.69,298.1509,213.7258,0.002292425,0.0,2377918.0,25.45528
0.87,1.15423e+17,2.25437e+19,1.96264e+19,59061.2,296.511,212.353,0.002289136,0.0,2378835.0,25.71519
0.871,1.132884e+17,2.251724e+19,1.961304e+19,59108.72,294.8767,210.9812,0.002285852,0.0,2379791.0,25.97921
0.872,1.11184e+17,2.249074e+19,1.959964e+19,59158.02,293.248,209.6103,0.002282574,0.0,2380784.0,26.24744
0.873,1.091114e+17,2.246421e+19,1.958619e+19,59208.78,291.6251,208.2404,0.0022793,0.0,2381805.0,26.51997
0.874,1.070719e+17,2.243763e+19,1.95727e+19,59260.68,290.008,206.8715,0.002276032,0.0,2382849.0,26.7969
0.875,1.050668e+17,2.241102e+19,1.955916e+19,59313.39,288.3967,205.5034,0.002272769,0.0,2383908.0,27.07832
0.876,1.030975e+17,2.238437e+19,1.954558e+19,59366.59,286.7914,204.1363,0.00226951,0.0,2384977.0,27.36435
0.877,1.011655e+17,2.235768e+19,1.953195e+19,59419.94,285.1922,202.7701,0.002266257,0.0,2386048.0,27.65507
0.878,9.927216e+16,2.233096e+19,1.951828e+19,59473.13,283.5989,201.4048,0.002263008,0.0,2387116.0,27.9506
0.879,9.741879e+16,2.23042e+19,1.950456e+19,59525.82,282.0119,200.0405,0.002259763,0.0,2388173.0,28.25106
0.88,9.56068e+16,2.22774e+19,1.94908e+19,59577.7,280.431,198.677,0.002256523,0.0,2389214.0,28.55654
0.881,9.383702e+16,2.225057e+19,1.947699e+19,59628.55,278.8564,197.3144,0.002253286,0.0,2390233.0,28.86718
0.882,9.210792e+16,2.222369e+19,1.946313e+19,59678.61,277.2882,195.9527,0.002250055,0.0,2391236.0,29.1831
0.883,9.041742e+16,2.219677e+19,1.944922e+19,59728.26,275.7263,194.5919,0.002246827,0.0,2392231.0,29.50441
0.884,8.876342e+16,2.216981e+19,1.943526e+19,59777.84,274.171,193.232,0.002243604,0.0,2393223.0,29.83127
