r,R  4/ 2,R  5/ 2,R  6/ 2,R  7/ 2,R  8/ 2,R  9/ 2,R 10/ 2,I  4/ 2,I  5/ 2,I  6/ 2,I  7/ 2,I  8/ 2,I  9/ 2,I 10/ 2
0.033,9.71554764e-06,-3.85774141e-06,2.48075345e-06,-4.25450602e-07,2.39477701e-09,1.43098059e-10,-1.78374955e-11,1.21823351e-05,8.34310148e-06,1.71959154e-06,-3.03065818e-07,-2.78749449e-09,3.30521479e-10,-8.88777658e-12
0.034,1.09051506e-05,-4.47435335e-06,2.96030679e-06,-5.22315185e-07,3.33117382e-09,1.87933928e-10,-2.28364185e-11,1.36951064e-05,9.66313578e-06,2.06274486e-06,-3.72848527e-07,-4.00284493e-09,4.18108244e-10,-1.26352775e-11
0.035,1.21966984e-05,-5.16687332e-06,3.51427066e-06,-6.37338076e-07,4.51604668e-09,2.44185622e-10,-2.91687392e-11,1.53410684e-05,1.11429607e-05,2.46117134e-06,-4.5596845e-07,-5.53775597e-09,5.25791688e-10,-1.68699893e-11
0.036,1.35951387e-05,-5.94198277e-06,4.1515005e-06,-7.73232018e-07,5.99996355e-09,3.14316657e-10,-3.71231307e-11,1.71271657e-05,1.27961866e-05,2.9217754e-06,-5.54473115e-07,-7.45324863e-09,6.5742834e-10,-2.15919607e-11
0.037,1.51054373e-05,-6.8067217e-06,4.88159848e-06,-9.33016371e-07,7.84143411e-09,4.01221781e-10,-4.70363759e-11,1.9060422e-05,1.46370916e-05,3.45208623e-06,-6.70650302e-07,-9.81896851e-09,8.17463412e-10,-2.67910904e-11
0.038,1.67325686e-05,-7.76849466e-06,5.71495082e-06,-1.12004092e-06,1.01078319e-08,5.08283968e-10,-5.9300894e-11,2.11479299e-05,1.66806247e-05,4.06029337e-06,-8.0704777e-07,-1.27140438e-08,1.01099485e-09,-3.24444585e-11
0.039,1.84815065e-05,-8.83507635e-06,6.66276554e-06,-1.33801064e-06,1.28763885e-08,6.39435707e-10,-7.43705999e-11,2.33968403e-05,1.89424088e-05,4.75528299e-06,-9.66493875e-07,-1.6227993e-08,1.24384294e-09,-3.85154899e-11
0.04,2.03572148e-05,-1.00146168e-05,7.73711054e-06,-1.59101153e-06,1.62352667e-08,7.9922596e-10,-9.27703448e-11,2.58143515e-05,2.14387418e-05,5.54667501e-06,-1.15211911e-06,-2.04616855e-08,1.52262175e-09,-4.49506728e-11
0.041,2.23646376e-05,-1.13156461e-05,8.95095196e-06,-1.8835373e-06,2.02847161e-08,9.92890107e-10,-1.15103458e-10,2.84076985e-05,2.4186596e-05,6.44486071e-06,-1.36737851e-06,-2.55283481e-08,1.85481528e-09,-5.16787355e-11
0.042,2.45086901e-05,-1.27470786e-05,1.03181927e-05,-2.22051712e-06,2.5138315e-08,1.22642638e-09,-1.42064224e-10,3.11841414e-05,2.7203617e-05,7.46104117e-06,-1.61607499e-06,-3.15546217e-08,2.24885344e-09,-5.86068869e-11
0.043,2.67942488e-05,-1.43182166e-05,1.18537114e-05,-2.60734426e-06,3.09242794e-08,1.50667805e-09,-1.74444534e-10,3.41509544e-05,3.05081198e-05,8.60726625e-06,-1.90238352e-06,-3.86816899e-08,2.71419858e-09,-6.56201649e-11
0.044,2.92261421e-05,-1.60387543e-05,1.35734007e-05,-3.04990569e-06,3.7786854e-08,1.84142322e-09,-2.13146961e-10,3.73154146e-05,3.41190851e-05,9.89647432e-06,-2.23087631e-06,-4.70664644e-08,3.26142993e-09,-7.25766829e-11
0.045,3.18091411e-05,-1.791878e-05,1.54942068e-05,-3.55461256e-06,4.58877964e-08,2.23946616e-09,-2.59193907e-10,4.06847901e-05,3.80561524e-05,1.13425326e-05,-2.60654869e-06,-5.68828179e-08,3.90233174e-09,-7.93072725e-11
0.046,3.454795e-05,-1.99687789e-05,1.76341675e-05,-4.12843165e-06,5.54079597e-08,2.7107363e-09,-3.13744492e-10,4.4266329e-05,4.2339613e-05,1.29602777e-05,-3.03484602e-06,-6.83228771e-08,4.64998083e-09,-8.56096477e-11
0.047,3.74471968e-05,-2.21996348e-05,2.00124512e-05,-4.77891768e-06,6.65489725e-08,3.26638901e-09,-3.7810527e-10,4.80672471e-05,4.69904006e-05,1.47655574e-05,-3.52169127e-06,-8.15983725e-08,5.51883807e-09,-9.12479884e-11
0.048,4.05114242e-05,-2.46226315e-05,2.26493954e-05,-5.51424645e-06,7.95350241e-08,3.9189148e-09,-4.53750356e-10,5.20947167e-05,5.20300801e-05,1.67752719e-05,-4.07351346e-06,-9.69420545e-08,6.52483679e-09,-9.59457414e-11
0.049,4.37450804e-05,-2.7249453e-05,2.5566544e-05,-6.3432489e-06,9.46147607e-08,4.68224858e-09,-5.42333814e-10,5.63558545e-05,5.74808351e-05,1.90074162e-05,-4.69727694e-06,-1.1460917e-07,7.6854743e-09,-9.93850099e-11
0.05,4.715251e-05,-3.00921843e-05,2.87866857e-05,-7.27544585e-06,1.12063313e-07,5.57188433e-09,-6.45714378e-10,6.08577099e-05,6.33654538e-05,2.14811227e-05,-5.40051129e-06,-1.34879009e-07,9.01989672e-09,-1.01197774e-10
0.051,5.0737945e-05,-3.31633099e-05,3.23338905e-05,-8.32108368e-06,1.32184481e-07,6.60498234e-09,-7.65972011e-10,6.56072531e-05,6.97073124e-05,2.42167033e-05,-6.19134199e-06,-1.5805648e-07,1.05489836e-08,-1.00965506e-10
0.052,5.4505496e-05,-3.64757125e-05,3.62335464e-05,-9.49117073e-06,1.55313048e-07,7.80047912e-09,-9.05438615e-10,7.06113627e-05,7.65303568e-05,2.72356923e-05,-7.07852171e-06,-1.84473724e-07,1.22954117e-08,-9.8208973e-11
0.053,5.84591433e-05,-4.0042671e-05,4.0512395e-05,-1.07975144e-05,1.81817109e-07,9.17921371e-09,-1.06670968e-09,7.58768139e-05,8.3859083e-05,3.056089e-05,-8.07146238e-06,-2.14491848e-07,1.42837454e-08,-9.23828748e-11
0.054,6.26027291e-05,-4.38778582e-05,4.51985666e-05,-1.22527588e-05,2.12100534e-07,1.07640633e-08,-1.25266965e-09,8.14102674e-05,9.1718516e-05,3.4216406e-05,-9.18026793e-06,-2.48502728e-07,1.65405095e-08,-8.28611407e-11
0.055,6.69399486e-05,-4.79953373e-05,5.03216143e-05,-1.38704233e-05,2.46605568e-07,1.25800708e-08,-1.46650969e-09,8.7218257e-05,0.000100134186,3.8227703e-05,-1.04157674e-05,-2.86930841e-07,1.90942569e-08,-6.89319935e-11
0.056,7.14743425e-05,-5.24095583e-05,5.59125467e-05,-1.56649413e-05,2.85815607e-07,1.46545767e-08,-1.71175809e-09,9.33071784e-05,0.000109132104,4.26216414e-05,-1.17895489e-05,-3.30235187e-07,2.19756219e-08,-4.97800942e-11
0.057,7.62092889e-05,-5.71353529e-05,6.20038598e-05,-1.76517003e-05,3.30258109e-07,1.70173449e-08,-1.9923014e-09,9.9683277e-05,0.000118738735,4.74265222e-05,-1.33139932e-05,-3.78911259e-07,2.52173682e-08,-2.4479612e-11
0.058,8.11479956e-05,-6.21879291e-05,6.86295674e-05,-1.98470817e-05,3.80507681e-07,1.97006942e-08,-2.31241602e-09,0.000106352637,0.000128980965,5.26721318e-05,-1.5002309e-05,-4.33493107e-07,2.88544182e-08,8.02751734e-12
0.059,8.62934927e-05,-6.75828651e-05,7.58252309e-05,-2.22685015e-05,4.37189329e-07,2.27396195e-08,-2.6767931e-09,0.000113321169,0.000139886077,5.83897856e-05,-1.68685671e-05,-4.94555456e-07,3.29238719e-08,4.89407739e-11
0.06,9.16486256e-05,-7.33361021e-05,8.36279858e-05,-2.49344515e-05,5.0098194e-07,2.61719136e-08,-3.09057173e-09,0.0001205946,0.000151481711,6.46123716e-05,-1.89277361e-05,-5.62715897e-07,3.74650036e-08,9.96286977e-11
