       r	   dnnbi(m^-3)	    dne(m^-3)	    dni(m^-3)	     tbn(keV)	     ti(keV)	     te(keV)	   vzt_eq(m/s)	   vth_eq(m/s)	  vthermalep(m/s)	       etann(MKS)
  0.2190000E+00	  0.1950410E+19	  0.3225553E+20	  0.2633593E+20	  0.1224979E+06	  0.1666271E+04	  0.1435062E+04	  0.7306536E-02	  0.0000000E+00	  0.3425921E+07	  0.1372778E+01
  0.2200000E+00	  0.1950270E+19	  0.3225050E+20	  0.2633550E+20	  0.1224880E+06	  0.1663690E+04	  0.1433060E+04	  0.7291660E-02	  0.0000000E+00	  0.3425783E+07	  0.1375848E+01
  0.2210000E+00	  0.1950119E+19	  0.3224545E+20	  0.2633500E+20	  0.1224781E+06	  0.1661104E+04	  0.1431053E+04	  0.7276814E-02	  0.0000000E+00	  0.3425645E+07	  0.1378933E+01
  0.2220000E+00	  0.1949958E+19	  0.3224037E+20	  0.2633444E+20	  0.1224682E+06	  0.1658512E+04	  0.1429042E+04	  0.7261998E-02	  0.0000000E+00	  0.3425507E+07	  0.1382033E+01
  0.2230000E+00	  0.1949787E+19	  0.3223526E+20	  0.2633381E+20	  0.1224583E+06	  0.1655915E+04	  0.1427026E+04	  0.7247213E-02	  0.0000000E+00	  0.3425368E+07	  0.1385149E+01
  0.2240000E+00	  0.1949606E+19	  0.3223014E+20	  0.2633311E+20	  0.1224483E+06	  0.1653312E+04	  0.1425006E+04	  0.7232457E-02	  0.0000000E+00	  0.3425229E+07	  0.1388280E+01
  0.2250000E+00	  0.1949415E+19	  0.3222498E+20	  0.2633234E+20	  0.1224384E+06	  0.1650704E+04	  0.1422981E+04	  0.7217732E-02	  0.0000000E+00	  0.3425089E+07	  0.1391426E+01
  0.2260000E+00	  0.1949214E+19	  0.3221980E+20	  0.2633150E+20	  0.1224284E+06	  0.1648091E+04	  0.1420951E+04	  0.7203037E-02	  0.0000000E+00	  0.3424949E+07	  0.1394588E+01
  0.2270000E+00	  0.1949003E+19	  0.3221459E+20	  0.2633060E+20	  0.1224183E+06	  0.1645473E+04	  0.1418917E+04	  0.7188372E-02	  0.0000000E+00	  0.3424809E+07	  0.1397766E+01
  0.2280000E+00	  0.1948782E+19	  0.3220936E+20	  0.2632963E+20	  0.1224082E+06	  0.1642850E+04	  0.1416879E+04	  0.7173737E-02	  0.0000000E+00	  0.3424668E+07	  0.1400959E+01
  0.2290000E+00	  0.1948551E+19	  0.3220409E+20	  0.2632860E+20	  0.1223981E+06	  0.1640222E+04	  0.1414837E+04	  0.7159133E-02	  0.0000000E+00	  0.3424527E+07	  0.1404168E+01
  0.2300000E+00	  0.1948310E+19	  0.3219880E+20	  0.2632750E+20	  0.1223880E+06	  0.1637590E+04	  0.1412790E+04	  0.7144559E-02	  0.0000000E+00	  0.3424385E+07	  0.1407393E+01
  0.2310000E+00	  0.1948059E+19	  0.3219348E+20	  0.2632634E+20	  0.1223778E+06	  0.1634953E+04	  0.1410739E+04	  0.7130016E-02	  0.0000000E+00	  0.3424242E+07	  0.1410634E+01
  0.2320000E+00	  0.1947797E+19	  0.3218813E+20	  0.2632511E+20	  0.1223676E+06	  0.1632312E+04	  0.1408684E+04	  0.7115503E-02	  0.0000000E+00	  0.3424099E+07	  0.1413890E+01
  0.2330000E+00	  0.1947524E+19	  0.3218276E+20	  0.2632381E+20	  0.1223574E+06	  0.1629666E+04	  0.1406625E+04	  0.7101020E-02	  0.0000000E+00	  0.3423956E+07	  0.1417163E+01
  0.2340000E+00	  0.1947237E+19	  0.3217736E+20	  0.2632246E+20	  0.1223471E+06	  0.1627015E+04	  0.1404562E+04	  0.7086567E-02	  0.0000000E+00	  0.3423813E+07	  0.1420452E+01
  0.2350000E+00	  0.1946937E+19	  0.3217193E+20	  0.2632104E+20	  0.1223369E+06	  0.1624360E+04	  0.1402495E+04	  0.7072144E-02	  0.0000000E+00	  0.3423670E+07	  0.1423758E+01
  0.2360000E+00	  0.1946621E+19	  0.3216647E+20	  0.2631957E+20	  0.1223267E+06	  0.1621701E+04	  0.1400423E+04	  0.7057751E-02	  0.0000000E+00	  0.3423526E+07	  0.1427079E+01
  0.2370000E+00	  0.1946290E+19	  0.3216099E+20	  0.2631804E+20	  0.1223164E+06	  0.1619037E+04	  0.1398348E+04	  0.7043388E-02	  0.0000000E+00	  0.3423383E+07	  0.1430417E+01
  0.2380000E+00	  0.1945941E+19	  0.3215549E+20	  0.2631645E+20	  0.1223062E+06	  0.1616369E+04	  0.1396269E+04	  0.7029055E-02	  0.0000000E+00	  0.3423241E+07	  0.1433772E+01
  0.2390000E+00	  0.1945575E+19	  0.3214996E+20	  0.2631480E+20	  0.1222961E+06	  0.1613697E+04	  0.1394187E+04	  0.7014752E-02	  0.0000000E+00	  0.3423099E+07	  0.1437144E+01
  0.2400000E+00	  0.1945190E+19	  0.3214440E+20	  0.2631310E+20	  0.1222860E+06	  0.1611020E+04	  0.1392100E+04	  0.7000478E-02	  0.0000000E+00	  0.3422957E+07	  0.1440532E+01
  0.2410000E+00	  0.1944785E+19	  0.3213882E+20	  0.2631135E+20	  0.1222760E+06	  0.1608339E+04	  0.1390010E+04	  0.6986234E-02	  0.0000000E+00	  0.3422817E+07	  0.1443937E+01
  0.2420000E+00	  0.1944363E+19	  0.3213322E+20	  0.2630954E+20	  0.1222659E+06	  0.1605654E+04	  0.1387915E+04	  0.6972020E-02	  0.0000000E+00	  0.3422677E+07	  0.1447359E+01
  0.2430000E+00	  0.1943926E+19	  0.3212759E+20	  0.2630767E+20	  0.1222559E+06	  0.1602964E+04	  0.1385818E+04	  0.6957835E-02	  0.0000000E+00	  0.3422537E+07	  0.1450798E+01
  0.2440000E+00	  0.1943476E+19	  0.3212194E+20	  0.2630574E+20	  0.1222459E+06	  0.1600270E+04	  0.1383716E+04	  0.6943680E-02	  0.0000000E+00	  0.3422396E+07	  0.1454254E+01
  0.2450000E+00	  0.1943015E+19	  0.3211627E+20	  0.2630375E+20	  0.1222358E+06	  0.1597573E+04	  0.1381611E+04	  0.6929554E-02	  0.0000000E+00	  0.3422255E+07	  0.1457726E+01
  0.2460000E+00	  0.1942546E+19	  0.3211056E+20	  0.2630170E+20	  0.1222257E+06	  0.1594872E+04	  0.1379502E+04	  0.6915458E-02	  0.0000000E+00	  0.3422114E+07	  0.1461216E+01
  0.2470000E+00	  0.1942072E+19	  0.3210484E+20	  0.2629958E+20	  0.1222155E+06	  0.1592167E+04	  0.1377389E+04	  0.6901391E-02	  0.0000000E+00	  0.3421970E+07	  0.1464722E+01
  0.2480000E+00	  0.1941595E+19	  0.3209908E+20	  0.2629739E+20	  0.1222051E+06	  0.1589458E+04	  0.1375273E+04	  0.6887354E-02	  0.0000000E+00	  0.3421826E+07	  0.1468245E+01
  0.2490000E+00	  0.1941117E+19	  0.3209331E+20	  0.2629513E+20	  0.1221947E+06	  0.1586746E+04	  0.1373153E+04	  0.6873346E-02	  0.0000000E+00	  0.3421679E+07	  0.1471784E+01
  0.2500000E+00	  0.1940640E+19	  0.3208750E+20	  0.2629280E+20	  0.1221840E+06	  0.1584030E+04	  0.1371030E+04	  0.6859368E-02	  0.0000000E+00	  0.3421530E+07	  0.1475341E+01
  0.2510000E+00	  0.1940166E+19	  0.3208167E+20	  0.2629039E+20	  0.1221732E+06	  0.1581311E+04	  0.1368903E+04	  0.6845419E-02	  0.0000000E+00	  0.3421378E+07	  0.1478914E+01
  0.2520000E+00	  0.1939693E+19	  0.3207581E+20	  0.2628791E+20	  0.1221622E+06	  0.1578588E+04	  0.1366773E+04	  0.6831500E-02	  0.0000000E+00	  0.3421224E+07	  0.1482504E+01
  0.2530000E+00	  0.1939218E+19	  0.3206993E+20	  0.2628537E+20	  0.1221510E+06	  0.1575863E+04	  0.1364639E+04	  0.6817610E-02	  0.0000000E+00	  0.3421068E+07	  0.1486112E+01
  0.2540000E+00	  0.1938737E+19	  0.3206401E+20	  0.2628275E+20	  0.1221398E+06	  0.1573134E+04	  0.1362501E+04	  0.6803749E-02	  0.0000000E+00	  0.3420911E+07	  0.1489736E+01
  0.2550000E+00	  0.1938246E+19	  0.3205808E+20	  0.2628008E+20	  0.1221285E+06	  0.1570401E+04	  0.1360361E+04	  0.6789918E-02	  0.0000000E+00	  0.3420753E+07	  0.1493379E+01
  0.2560000E+00	  0.1937743E+19	  0.3205211E+20	  0.2627735E+20	  0.1221172E+06	  0.1567666E+04	  0.1358217E+04	  0.6776115E-02	  0.0000000E+00	  0.3420594E+07	  0.1497039E+01
  0.2570000E+00	  0.1937224E+19	  0.3204612E+20	  0.2627456E+20	  0.1221058E+06	  0.1564927E+04	  0.1356070E+04	  0.6762342E-02	  0.0000000E+00	  0.3420435E+07	  0.1500717E+01
  0.2580000E+00	  0.1936686E+19	  0.3204011E+20	  0.2627172E+20	  0.1220945E+06	  0.1562184E+04	  0.1353920E+04	  0.6748598E-02	  0.0000000E+00	  0.3420276E+07	  0.1504413E+01
  0.2590000E+00	  0.1936126E+19	  0.3203407E+20	  0.2626883E+20	  0.1220832E+06	  0.1559439E+04	  0.1351766E+04	  0.6734882E-02	  0.0000000E+00	  0.3420118E+07	  0.1508128E+01
  0.2600000E+00	  0.1935540E+19	  0.3202800E+20	  0.2626590E+20	  0.1220720E+06	  0.1556690E+04	  0.1349610E+04	  0.6721196E-02	  0.0000000E+00	  0.3419961E+07	  0.1511861E+01
  0.2610000E+00	  0.1934927E+19	  0.3202191E+20	  0.2626293E+20	  0.1220609E+06	  0.1553938E+04	  0.1347451E+04	  0.6707539E-02	  0.0000000E+00	  0.3419806E+07	  0.1515613E+01
  0.2620000E+00	  0.1934289E+19	  0.3201579E+20	  0.2625990E+20	  0.1220499E+06	  0.1551183E+04	  0.1345289E+04	  0.6693910E-02	  0.0000000E+00	  0.3419651E+07	  0.1519384E+01
  0.2630000E+00	  0.1933631E+19	  0.3200965E+20	  0.2625683E+20	  0.1220389E+06	  0.1548425E+04	  0.1343123E+04	  0.6680310E-02	  0.0000000E+00	  0.3419497E+07	  0.1523174E+01
  0.2640000E+00	  0.1932957E+19	  0.3200348E+20	  0.2625371E+20	  0.1220278E+06	  0.1545664E+04	  0.1340956E+04	  0.6666739E-02	  0.0000000E+00	  0.3419342E+07	  0.1526982E+01
  0.2650000E+00	  0.1932272E+19	  0.3199728E+20	  0.2625053E+20	  0.1220168E+06	  0.1542900E+04	  0.1338785E+04	  0.6653196E-02	  0.0000000E+00	  0.3419187E+07	  0.1530808E+01
  0.2660000E+00	  0.1931580E+19	  0.3199106E+20	  0.2624728E+20	  0.1220056E+06	  0.1540133E+04	  0.1336611E+04	  0.6639682E-02	  0.0000000E+00	  0.3419031E+07	  0.1534652E+01
  0.2670000E+00	  0.1930885E+19	  0.3198481E+20	  0.2624397E+20	  0.1219943E+06	  0.1537363E+04	  0.1334435E+04	  0.6626197E-02	  0.0000000E+00	  0.3418872E+07	  0.1538514E+01
  0.2680000E+00	  0.1930192E+19	  0.3197853E+20	  0.2624059E+20	  0.1219828E+06	  0.1534591E+04	  0.1332256E+04	  0.6612741E-02	  0.0000000E+00	  0.3418711E+07	  0.1542394E+01
  0.2690000E+00	  0.1929506E+19	  0.3197223E+20	  0.2623714E+20	  0.1219710E+06	  0.1531817E+04	  0.1330074E+04	  0.6599313E-02	  0.0000000E+00	  0.3418546E+07	  0.1546292E+01
  0.2700000E+00	  0.1928830E+19	  0.3196590E+20	  0.2623360E+20	  0.1219590E+06	  0.1529040E+04	  0.1327890E+04	  0.6585914E-02	  0.0000000E+00	  0.3418378E+07	  0.1550207E+01
  0.2710000E+00	  0.1928168E+19	  0.3195954E+20	  0.2622998E+20	  0.1219467E+06	  0.1526261E+04	  0.1325703E+04	  0.6572544E-02	  0.0000000E+00	  0.3418205E+07	  0.1554139E+01
  0.2720000E+00	  0.1927516E+19	  0.3195316E+20	  0.2622629E+20	  0.1219341E+06	  0.1523479E+04	  0.1323514E+04	  0.6559202E-02	  0.0000000E+00	  0.3418029E+07	  0.1558089E+01
  0.2730000E+00	  0.1926869E+19	  0.3194675E+20	  0.2622252E+20	  0.1219213E+06	  0.1520696E+04	  0.1321322E+04	  0.6545888E-02	  0.0000000E+00	  0.3417849E+07	  0.1562057E+01
  0.2740000E+00	  0.1926224E+19	  0.3194031E+20	  0.2621869E+20	  0.1219083E+06	  0.1517910E+04	  0.1319127E+04	  0.6532603E-02	  0.0000000E+00	  0.3417667E+07	  0.1566043E+01
  0.2750000E+00	  0.1925574E+19	  0.3193384E+20	  0.2621479E+20	  0.1218952E+06	  0.1515122E+04	  0.1316930E+04	  0.6519347E-02	  0.0000000E+00	  0.3417483E+07	  0.1570048E+01
