        r	      denseq	       teeq	       nfeq	     dnfeqdr	      vfova	      cureq	       feq	    pressure	       iota	        1/D	    curvature	      shear	     eta
  0.7500000E-01	  0.9919253E+00	  0.9930569E+00	  0.9738196E+00	 -0.5487848E+00	  0.6800000E+00	  0.4902106E-05	  0.1000751E+01	  0.9991304E+00	 -0.4754405E+00	  0.1000345E+01	 -0.1158490E-01	  0.2974214E-02	  0.1010506E+01
  0.7600000E-01	  0.9917215E+00	  0.9928753E+00	  0.9732673E+00	 -0.5558775E+00	  0.6800000E+00	  0.5033319E-05	  0.1000751E+01	  0.9991072E+00	 -0.4754595E+00	  0.1000334E+01	 -0.1173875E-01	  0.3063050E-02	  0.1010783E+01
  0.7700000E-01	  0.9915157E+00	  0.9926916E+00	  0.9727078E+00	 -0.5630531E+00	  0.6800000E+00	  0.5166250E-05	  0.1000752E+01	  0.9990836E+00	 -0.4754788E+00	  0.1000322E+01	 -0.1189256E-01	  0.3153574E-02	  0.1011064E+01
  0.7800000E-01	  0.9913079E+00	  0.9925057E+00	  0.9721412E+00	 -0.5703123E+00	  0.6800000E+00	  0.5300898E-05	  0.1000752E+01	  0.9990597E+00	 -0.4754984E+00	  0.1000310E+01	 -0.1204633E-01	  0.3245809E-02	  0.1011348E+01
  0.7900000E-01	  0.9910980E+00	  0.9923177E+00	  0.9715672E+00	 -0.5776557E+00	  0.6800000E+00	  0.5437261E-05	  0.1000752E+01	  0.9990354E+00	 -0.4755184E+00	  0.1000298E+01	 -0.1220005E-01	  0.3339777E-02	  0.1011635E+01
  0.8000000E-01	  0.9908862E+00	  0.9921276E+00	  0.9709858E+00	 -0.5850842E+00	  0.6800000E+00	  0.5575340E-05	  0.1000753E+01	  0.9990109E+00	 -0.4755386E+00	  0.1000285E+01	 -0.1235373E-01	  0.3435503E-02	  0.1011926E+01
  0.8100000E-01	  0.9906724E+00	  0.9919354E+00	  0.9703970E+00	 -0.5925985E+00	  0.6800000E+00	  0.5715133E-05	  0.1000753E+01	  0.9989861E+00	 -0.4755592E+00	  0.1000273E+01	 -0.1250736E-01	  0.3533011E-02	  0.1012220E+01
  0.8200000E-01	  0.9904566E+00	  0.9917410E+00	  0.9698006E+00	 -0.6001993E+00	  0.6800000E+00	  0.5856640E-05	  0.1000754E+01	  0.9989610E+00	 -0.4755801E+00	  0.1000260E+01	 -0.1266094E-01	  0.3632324E-02	  0.1012518E+01
  0.8300000E-01	  0.9902390E+00	  0.9915445E+00	  0.9691966E+00	 -0.6078873E+00	  0.6800000E+00	  0.5999859E-05	  0.1000754E+01	  0.9989356E+00	 -0.4756013E+00	  0.1000248E+01	 -0.1281446E-01	  0.3733469E-02	  0.1012819E+01
  0.8400000E-01	  0.9900194E+00	  0.9913460E+00	  0.9685849E+00	 -0.6156633E+00	  0.6800000E+00	  0.6144790E-05	  0.1000755E+01	  0.9989098E+00	 -0.4756229E+00	  0.1000235E+01	 -0.1296794E-01	  0.3836471E-02	  0.1013123E+01
