r,R  6/ 3,R  7/ 3,R  8/ 3,R  9/ 3,R 10/ 3,R 11/ 3,R 12/ 3,R 13/ 3,R 14/ 3,R 15/ 3,I  6/ 3,I  7/ 3,I  8/ 3,I  9/ 3,I 10/ 3,I 11/ 3,I 12/ 3,I 13/ 3,I 14/ 3,I 15/ 3
0.833,0.00117008294,0.00559314758,0.0190462342,0.058087672,0.166990183,0.460156638,0.949794835,-3.89584237,-57.3313413,8.52070701,0.000435775125,0.00210825107,0.00657878698,0.0173330492,0.0411390878,0.082781403,-0.0573369941,-3.84066332,-16.7530272,5.92639148
0.834,0.00185880236,0.00651871126,0.0205687076,0.0631755335,0.193000585,0.598962813,1.84366115,2.92486802,-59.976804,1.01134353,0.000774220317,0.00301165438,0.00940248222,0.0267660888,0.0742367703,0.206256564,0.492105928,-0.930967501,-21.9937911,3.6497106
0.835,0.00216244038,0.00608495847,0.0178248657,0.0550297041,0.176917093,0.597289378,2.22873178,8.06766568,-51.9893956,-7.33713193,0.000928023737,0.0031545366,0.00975776464,0.0289452374,0.0866040002,0.26976008,0.881589218,1.99213584,-22.3804028,0.0414646033
0.836,0.00210514988,0.00466235545,0.0121995389,0.0376971043,0.129083922,0.4779864,2.09531216,10.5404121,-36.0782751,-14.3640623,0.000889738118,0.00259623862,0.00783382713,0.0240906137,0.0771495934,0.262723835,1.02174753,4.10048367,-17.869502,-3.89988404
0.837,0.00177326759,0.00277966845,0.00555036463,0.0168831113,0.0663504251,0.290484969,1.5719175,10.2690975,-16.8121867,-18.3230614,0.000697604397,0.00157695528,0.0044365984,0.0144051038,0.0512275156,0.196338541,0.907341185,4.92201488,-9.93769089,-7.01455769
0.838,0.00128610915,0.000955602372,-0.000387628843,-0.00193523282,0.00613593876,0.0919376719,0.862305883,7.93643139,0.982387532,-18.4109906,0.000418698611,0.000422278965,0.00066356975,0.0031380445,0.0181177414,0.0970917717,0.607298841,4.4445717,-0.982239065,-8.38858168
0.839,0.000764723838,-0.000432276849,-0.00444557169,-0.0149613735,-0.0385142354,-0.0701559151,0.172709734,4.61195032,13.6748852,-14.9450083,0.000127202576,-0.000563790193,-0.00246631821,-0.00654810637,-0.0123962214,-0.00366588271,0.231842637,3.0411565,6.55427775,-7.66525534
0.84,0.000305735726,-0.00121163468,-0.00620850289,-0.0207405619,-0.0615032277,-0.168720799,-0.3453405,1.34902657,19.6547766,-9.15782969,-0.000115933793,-0.00118238416,-0.00430027722,-0.0125046368,-0.033035295,-0.0799667911,-0.108043107,1.27796348,10.9726105,-5.14395515
0.841,-3.41622366e-05,-0.00141009457,-0.00595215834,-0.0200191664,-0.0637123282,-0.199540107,-0.622812976,-1.10778725,19.3718603,-2.73065663,-0.000276378844,-0.00137818283,-0.00468024068,-0.0140588977,-0.0407409679,-0.117964764,-0.333974412,-0.301314257,11.7433813,-1.64445385
0.842,-0.000238345129,-0.00119170478,-0.00439081526,-0.014995546,-0.0510488913,-0.176608757,-0.670857568,-2.44432447,14.7464455,2.75016085,-0.000348231729,-0.00122420803,-0.00388982335,-0.0119245787,-0.0367669239,-0.117624221,-0.417128109,-1.33715884,9.47704277,1.79843726
0.843,-0.000319528694,-0.00076727034,-0.0023493242,-0.0083007194,-0.0314394928,-0.123260293,-0.555558735,-2.73726795,8.26559761,6.23138465,-0.000346118503,-0.000866350394,-0.00246289165,-0.00766486141,-0.0253278211,-0.0895872354,-0.375799253,-1.7198018,5.51509697,4.29006433
0.844,-0.000306974065,-0.000319487685,-0.000494964567,-0.00212558091,-0.0119913264,-0.0628640416,-0.362758618,-2.3072475,2.12841314,7.39093951,-0.00029443379,-0.000458939327,-0.000955357902,-0.00299746897,-0.0115550692,-0.0492249401,-0.257805865,-1.55561282,1.35294581,5.34220925
0.845,-0.000235521827,3.65080454e-05,0.000795841862,0.00224490499,0.00272594096,-0.0123460485,-0.167621073,-1.54394391,-2.28324085,6.5681527,-0.000218344043,-0.000117132973,0.000227320901,0.000764484256,0.000310913847,-0.0106968495,-0.117762075,-1.07069927,-1.85882692,4.96017585
0.846,-0.000137557171,0.00025811761,0.00143854193,0.00447294556,0.0110613469,0.0202328049,-0.0175871006,-0.770943717,-4.5242607,4.50715909,-0.000138209781,0.000103261056,0.000903956698,0.00298201753,0.00791809083,0.0169079476,0.00129636159,-0.504241058,-3.57294187,3.5479809
0.847,-3.85608186e-05,0.00035610668,0.00155182799,0.00490836936,0.0136526,0.0345913655,0.070370337,-0.180570209,-4.8829549,2.04307938,-6.77281513e-05,0.000199895515,0.00109533999,0.0036587847,0.0108835595,0.0306060545,0.0769143493,-0.0320645008,-3.8340199,1.70022764
0.848,4.46658574e-05,0.000367321633,0.00134056296,0.00421552684,0.0123408632,0.0351934099,0.102290285,0.165901534,-4.0268049,-0.150712828,-1.42923033e-05,0.000203214522,0.000944277098,0.00321149188,0.0102138504,0.0322333995,0.106602308,0.262711195,-3.07684472,-0.0204078843
0.849,0.000103931118,0.000332324353,0.0010019425,0.0030574889,0.00916218602,0.0280278404,0.0958388696,0.298224756,-2.66745991,-1.68894018,1.98301506e-05,0.000154295352,0.000627704441,0.00219441849,0.00749691184,0.0261103951,0.10107857,0.378197504,-1.86467587,-1.23752321
0.85,0.000138099051,0.000282613244,0.000675184879,0.00191711065,0.00571115228,0.0183351583,0.0703783154,0.287513877,-1.34622215,-2.47598233,3.60054343e-05,8.88891495e-05,0.000293147708,0.00108900937,0.00422483701,0.016857007,0.0760313694,0.361285753,-0.678169921,-1.81409278
0.851,0.000150734406,0.000236609977,0.000430401035,0.00104891422,0.0029125448,0.00955534881,0.04099469,0.207252439,-0.358524983,-2.62589514,3.77672076e-05,2.99175689e-05,2.95332225e-05,0.000199031179,0.00141505286,0.00798886821,0.0456971873,0.273687841,0.192953635,-1.81740659
0.852,0.000147736614,0.000201508464,0.000282508692,0.000517853886,0.00108900266,0.00326106595,0.0165025784,0.112164027,0.217763029,-2.35441608,2.96037127e-05,-1.27958897e-05,-0.000132338969,-0.000358681149,-0.000470767115,0.00141378098,0.0195402007,0.168105312,0.65838768,-1.43472638
0.853,0.000135395283,0.000177484276,0.000214332239,0.000273342731,0.000166286407,-0.000352982046,0.000164408221,0.0328695481,0.444218974,-1.88546638,1.60303229e-05,-3.87260179e-05,-0.000202301011,-0.000604623753,-0.00141030613,-0.00238596631,0.00175228244,0.0776943453,0.771997741,-0.882615462
0.854,0.000119118368,0.000161743635,0.000197577139,0.000220086566,-0.000111104173,-0.0018352548,-0.00839653361,-0.0198844839,0.440197541,-1.39342182,9.47391357e-07,-5.18537198e-05,-0.000209072256,-0.000628646001,-0.00162895827,-0.00383916998,-0.0075009103,0.016108388,0.656354926,-0.340133638
0.855,0.00010282371,0.000151195777,0.000206314355,0.000266042103,-2.16506491e-05,-0.00195717853,-0.0112371816,-0.0475991096,0.323669926,-0.982488653,-1.27398844e-05,-5.69691636e-05,-0.000183095294,-0.000532739122,-0.00142351912,-0.0037463987,-0.0102452833,-0.0168346675,0.439217408,0.082777845
0.856,8.88412355e-05,0.000143613167,0.000222696767,0.000344717253,0.000216857275,-0.00140174916,-0.0106848931,-0.0570363048,0.181222864,-0.692946858,-2.32811567e-05,-5.77582956e-05,-0.000147233675,-0.000397638635,-0.00104833971,-0.00289083882,-0.00910234715,-0.0282675857,0.21650992,0.345778116
0.857,7.81443546e-05,0.000137744615,0.000237175894,0.000418294543,0.00046973479,-0.000641300807,-0.00860537964,-0.0555891894,0.0616224362,-0.520593909,-3.00261462e-05,-5.64070245e-05,-0.00011449016,-0.000272108928,-0.000669449371,-0.00184346361,-0.00630701478,-0.0268607983,0.0413208048,0.45976977
0.858,7.07385023e-05,0.000132997482,0.000246239408,0.000471172638,0.000672783056,6.20674003e-05,-0.00619672892,-0.0490693673,-0.017144389,-0.438086728,-3.31846211e-05,-5.39468031e-05,-8.97832074e-05,-0.000176783892,-0.000367123008,-0.00092465934,-0.00332924256,-0.0197673294,-0.0698108031,0.462795176
0.859,6.6067527e-05,0.000129074466,0.0002497273,0.000501114957,0.000807978983,0.000601249761,-0.00407544256,-0.0411876778,-0.0563475324,-0.411731451,-3.34972956e-05,-5.08116031e-05,-7.31431935e-05,-0.000113856701,-0.000160780927,-0.000254743673,-0.000901934378,-0.0116066621,-0.123446302,0.399445803
0.86,6.33526275e-05,0.000125752325,0.000248824795,0.000512000674,0.000881220938,0.000960545243,-0.00246337612,-0.0338933279,-0.0661014627,-0.411684972,-3.18984091e-05,-4.72239586e-05,-6.25299151e-05,-7.6690953e-05,-3.715309e-05,0.0001678834,0.000766471245,-0.00469351272,-0.136133809,0.307902688
0.861,6.18183004e-05,0.000122787726,0.000244884252,0.000509236203,0.000907069767,0.00116652045,-0.00136447267,-0.0279614168,-0.0582915153,-0.416367582,-2.92791585e-05,-4.34056344e-05,-5.56519304e-05,-5.65227868e-05,2.82632389e-05,0.000399130446,0.00175537009,0.00024462398,-0.125269643,0.214554254
0.862,6.08165821e-05,0.000119909311,0.000238925147,0.000497498169,0.000900238156,0.00125744854,-0.000690522729,-0.0235145705,-0.0428626448,-0.412938285,-2.63357812e-05,-3.96053835e-05,-5.08019254e-05,-4.6005196e-05,5.85578146e-05,0.000504880815,0.00225069923,0.00334016372,-0.104450422,0.133953916
0.863,5.98747392e-05,0.000116867631,0.000231580655,0.000480129576,0.000872355343,0.00126841768,-0.000334150964,-0.0203848654,-0.0265911179,-0.395710083,-2.35274621e-05,-3.60574506e-05,-4.69908391e-05,-4.02768299e-05,7.03732315e-05,0.000538949355,0.00243724403,0.00504934087,-0.0822543889,0.0715664227
0.864,5.86941454e-05,0.00011347798,0.000223235947,0.000459364027,0.00083169961,0.00122690166,-0.000200509979,-0.0183178874,-0.0132706212,-0.363984463,-2.10834221e-05,-3.2924877e-05,-4.37725018e-05,-3.66721887e-05,7.36800657e-05,0.000537206499,0.00245423583,0.00584651028,-0.0629793492,0.0272303973
0.865,5.71237898e-05,0.000109642295,0.000214142365,0.000436672757,0.000783917146,0.00115292184,-0.000215396425,-0.0170615953,-0.00444314455,-0.320059027,-1.90729107e-05,-3.02814496e-05,-4.09884822e-05,-3.39790687e-05,7.35439787e-05,0.000520145861,0.00239011431,0.00610147456,-0.0480456137,-0.00193711646
0.866,5.51239796e-05,0.000105340615,0.00020450463,0.0004130745,0.000732857436,0.00106078346,-0.000323292805,-0.0163967423,-0.000200059218,-0.267664422,-1.74622779e-05,-2.81256688e-05,-3.86080055e-05,-3.1771823e-05,7.20976999e-05,0.000497849327,0.00229379716,0.00606091674,-0.0373033402,-0.0196020465
0.867,5.27321887e-05,0.000100621526,0.000194526927,0.000389359093,0.000681282915,0.000960807294,-0.000483102435,-0.0161399822,0.000153508117,-0.21088253,-1.61715901e-05,-2.63940373e-05,-3.66062279e-05,-2.9946865e-05,7.0024682e-05,0.00047443418,0.00218869307,0.00587163895,-0.0299535438,-0.0291654683
0.868,5.0027654e-05,9.55915994e-05,0.00018444168,0.000366219286,0.000631360913,0.000860752549,-0.00066401138,-0.0161398629,-0.00235870862,-0.153533464,-1.51166691e-05,-2.50031074e-05,-3.49402054e-05,-2.84850056e-05,6.75196953e-05,0.000451277791,0.00208436499,0.00561381693,-0.0250813336,-0.0333523645
0.869,4.71217185e-05,9.03813779e-05,0.000174494993,0.000344236088,0.000584734112,0.000766302689,-0.000843407127,-0.0162734743,-0.00665924426,-0.0988293046,-1.42275216e-05,-2.38563274e-05,-3.35585703e-05,-2.7346369e-05,6.46414052e-05,0.000428761984,0.00198433549,0.00532998132,-0.0218960909,-0.0341666625
0.87,4.4129456e-05,8.51416674e-05,0.000164906904,0.000323841616,0.000542519404,0.000681315099,-0.00100555079,-0.0164458884,-0.0117828389,-0.0491671019,-1.34527154e-05,-2.2867037e-05,-3.24004471e-05,-2.64731319e-05,6.14756437e-05,0.000407007441,0.00188966333,0.00504305735,-0.0197985188,-0.0329955316
0.871,4.11582204e-05,8.00190275e-05,0.000155850995,0.000305329773,0.000505323553,0.000607969428,-0.00114075957,-0.0165896905,-0.0169699048,-0.00607307233,-1.27523189e-05,-2.19802003e-05,-3.14049534e-05,-2.58321053e-05,5.80906477e-05,0.000386029951,0.0018004714,0.00476499873,-0.0183710425,-0.0307503646
0.872,3.8294213e-05,7.51287271e-05,0.000147447731,0.000288818149,0.000473307935,0.00054697048,-0.00124480556,-0.0166626136,-0.0216897937,0.0297143471,-1.21103831e-05,-2.11562068e-05,-3.05194377e-05,-2.53632937e-05,5.46157429e-05,0.000365926921,0.00171656427,0.0045012608,-0.0173387868,-0.0280073309
0.873,3.56080348e-05,7.0573085e-05,0.000139799625,0.000274351226,0.000446361819,0.000498021802,-0.00131778056,-0.0166462206,-0.0256327764,0.0581182215,-1.15190973e-05,-2.03750111e-05,-2.97137112e-05,-2.50305863e-05,5.11455991e-05,0.00034684344,0.00163801232,0.00425488683,-0.0165324974,-0.0251184885
0.874,3.31420013e-05,6.64075845e-05,0.000132942553,0.000261867927,0.000424181518,0.000460406979,-0.00136147223,-0.0165371561,-0.0286781644,0.0795608696,-1.09786728e-05,-1.96343281e-05,-2.89690163e-05,-2.48051797e-05,4.77424127e-05,0.000328892657,0.00156490956,0.00402778201,-0.015852385,-0.0222847493
0.875,3.09048532e-05,6.26477158e-05,0.00012686168,0.000251213344,0.000406318182,0.000433094414,-0.00137813713,-0.0163383571,-0.0308368022,0.0947630595,-1.04840324e-05,-1.89276186e-05,-2.82708965e-05,-2.46662523e-05,4.44264373e-05,0.00031205129,0.00149707007,0.00382007016,-0.0152420081,-0.0196072016
0.876,2.88897333e-05,5.92744439e-05,0.000121488347,0.000242152292,0.000392170366,0.000414667619,-0.00137078645,-0.0160559729,-0.0321866653,0.104577341,-1.00310379e-05,-1.82540413e-05,-2.75990465e-05,-2.45692195e-05,4.12494183e-05,0.000296306102,0.00143395909,0.00363000185,-0.0146682742,-0.017133804
0.877,2.70823397e-05,5.62638121e-05,0.000116760106,0.00023446751,0.00038116627,0.00040367418,-0.00134296372,-0.0157002937,-0.032841586,0.109907653,-9.61273772e-06,-1.76105371e-05,-2.6943164e-05,-2.44863492e-05,3.82370463e-05,0.00028162413,0.00137520373,0.00345590201,-0.0141132372,-0.0148874425
