r,dnnbi(m^-3),dne(m^-3),dni(m^-3),tbn(keV),ti(keV),te(keV),vzt_eq(m/s),vth_eq(m/s),vthermalep(m/s),etann(MKS)
0.638,1.00388e+18,2.763825e+19,2.248063e+19,37204.2,700.0098,569.6595,0.003270015,0.0,1888031.0,5.468106
0.639,1.000852e+18,2.762054e+19,2.246657e+19,37202.83,698.3993,567.9214,0.003264502,0.0,1887996.0,5.49331
0.64,9.97827e+17,2.76028e+19,2.24525e+19,37201.3,696.789,566.185,0.003259003,0.0,1887957.0,5.518688
0.641,9.948095e+17,2.758502e+19,2.243842e+19,37199.55,695.1789,564.4505,0.003253518,0.0,1887913.0,5.544241
0.642,9.91797e+17,2.75672e+19,2.242434e+19,37197.62,693.5691,562.7177,0.003248046,0.0,1887864.0,5.569971
0.643,9.887859e+17,2.754935e+19,2.241025e+19,37195.55,691.9593,560.9868,0.003242588,0.0,1887811.0,5.595879
0.644,9.857725e+17,2.753146e+19,2.239617e+19,37193.39,690.3496,559.2577,0.003237144,0.0,1887757.0,5.621969
0.645,9.827531e+17,2.751354e+19,2.238209e+19,37191.22,688.74,557.5304,0.003231714,0.0,1887702.0,5.648242
0.646,9.79724e+17,2.749558e+19,2.236802e+19,37189.07,687.1304,555.8049,0.003226297,0.0,1887647.0,5.674702
0.647,9.766817e+17,2.747758e+19,2.235396e+19,37187.01,685.5207,554.0812,0.003220894,0.0,1887595.0,5.701351
0.648,9.736223e+17,2.745955e+19,2.233992e+19,37185.09,683.9109,552.3593,0.003215506,0.0,1887546.0,5.728191
0.649,9.705423e+17,2.744149e+19,2.23259e+19,37183.37,682.3011,550.6392,0.003210131,0.0,1887502.0,5.755225
0.65,9.67438e+17,2.74234e+19,2.23119e+19,37181.9,680.691,548.921,0.003204771,0.0,1887465.0,5.782456
0.651,9.643066e+17,2.740528e+19,2.229793e+19,37180.72,679.0807,547.2046,0.003199425,0.0,1887435.0,5.809886
0.652,9.611491e+17,2.738712e+19,2.228398e+19,37179.81,677.4702,545.49,0.003194093,0.0,1887412.0,5.837518
0.653,9.579672e+17,2.736893e+19,2.227006e+19,37179.14,675.8595,543.7772,0.003188776,0.0,1887395.0,5.865352
0.654,9.547629e+17,2.73507e+19,2.225617e+19,37178.67,674.2484,542.0662,0.003183472,0.0,1887383.0,5.893391
0.655,9.51538e+17,2.733244e+19,2.224229e+19,37178.38,672.637,540.357,0.003178181,0.0,1887376.0,5.921637
0.656,9.482943e+17,2.731415e+19,2.222844e+19,37178.21,671.0253,538.6496,0.003172904,0.0,1887371.0,5.950091
0.657,9.450337e+17,2.729582e+19,2.22146e+19,37178.14,669.4131,536.944,0.00316764,0.0,1887370.0,5.978755
0.658,9.417581e+17,2.727745e+19,2.220079e+19,37178.14,667.8005,535.2402,0.00316239,0.0,1887370.0,6.007632
0.659,9.384692e+17,2.725904e+19,2.218699e+19,37178.17,666.1875,533.5382,0.003157152,0.0,1887370.0,6.036723
0.66,9.35169e+17,2.72406e+19,2.21732e+19,37178.2,664.574,531.838,0.003151927,0.0,1887371.0,6.066029
0.661,9.31859e+17,2.722212e+19,2.215943e+19,37178.19,662.96,530.1395,0.003146715,0.0,1887371.0,6.095554
0.662,9.285399e+17,2.72036e+19,2.214567e+19,37178.13,661.3454,528.4429,0.003141516,0.0,1887369.0,6.125299
0.663,9.252119e+17,2.718504e+19,2.213192e+19,37178.01,659.7303,526.748,0.003136329,0.0,1887366.0,6.155265
0.664,9.218753e+17,2.716644e+19,2.211819e+19,37177.82,658.1145,525.0549,0.003131156,0.0,1887362.0,6.185454
0.665,9.185306e+17,2.714781e+19,2.210446e+19,37177.54,656.4981,523.3636,0.003125995,0.0,1887354.0,6.215869
0.666,9.151779e+17,2.712913e+19,2.209075e+19,37177.17,654.881,521.6741,0.003120847,0.0,1887345.0,6.246511
0.667,9.118177e+17,2.711043e+19,2.207705e+19,37176.69,653.2632,519.9863,0.003115713,0.0,1887333.0,6.277383
0.668,9.084503e+17,2.709169e+19,2.206336e+19,37176.09,651.6446,518.3004,0.003110592,0.0,1887318.0,6.308485
0.669,9.050759e+17,2.707291e+19,2.204967e+19,37175.37,650.0252,516.6163,0.003105485,0.0,1887299.0,6.33982
0.67,9.01695e+17,2.70541e+19,2.2036e+19,37174.5,648.405,514.934,0.003100391,0.0,1887277.0,6.37139
0.671,8.983075e+17,2.703526e+19,2.202234e+19,37173.49,646.7839,513.2535,0.003095311,0.0,1887251.0,6.403197
0.672,8.949123e+17,2.701638e+19,2.200868e+19,37172.35,645.1619,511.5748,0.003090245,0.0,1887223.0,6.435244
0.673,8.915076e+17,2.699747e+19,2.199504e+19,37171.1,643.539,509.8979,0.003085192,0.0,1887191.0,6.467534
0.674,8.880921e+17,2.697852e+19,2.198141e+19,37169.79,641.9151,508.2229,0.003080152,0.0,1887158.0,6.50007
0.675,8.846642e+17,2.695954e+19,2.19678e+19,37168.43,640.2902,506.5496,0.003075125,0.0,1887123.0,6.532856
0.676,8.812223e+17,2.694052e+19,2.195422e+19,37167.04,638.6642,504.8781,0.003070111,0.0,1887088.0,6.565896
0.677,8.777649e+17,2.692147e+19,2.194065e+19,37165.66,637.0372,503.2084,0.00306511,0.0,1887053.0,6.599191
0.678,8.742904e+17,2.690238e+19,2.192711e+19,37164.31,635.409,501.5405,0.003060121,0.0,1887019.0,6.632747
0.679,8.707973e+17,2.688326e+19,2.191359e+19,37163.01,633.7796,499.8744,0.003055144,0.0,1886986.0,6.666565
0.68,8.67284e+17,2.68641e+19,2.19001e+19,37161.8,632.149,498.21,0.003050179,0.0,1886955.0,6.700651
0.681,8.637497e+17,2.68449e+19,2.188664e+19,37160.68,630.5172,496.5474,0.003045227,0.0,1886927.0,6.735007
0.682,8.601955e+17,2.682567e+19,2.187321e+19,37159.64,628.8841,494.8866,0.003040286,0.0,1886900.0,6.769635
0.683,8.566235e+17,2.68064e+19,2.185981e+19,37158.62,627.2497,493.2276,0.003035358,0.0,1886874.0,6.804538
0.684,8.530356e+17,2.678709e+19,2.184643e+19,37157.59,625.6139,491.5704,0.003030441,0.0,1886848.0,6.839718
0.685,8.494338e+17,2.676775e+19,2.183307e+19,37156.51,623.9767,489.9149,0.003025537,0.0,1886821.0,6.875176
0.686,8.458198e+17,2.674837e+19,2.181973e+19,37155.35,622.3382,488.2612,0.003020644,0.0,1886791.0,6.910915
0.687,8.421957e+17,2.672896e+19,2.18064e+19,37154.05,620.6981,486.6092,0.003015763,0.0,1886758.0,6.946937
0.688,8.385635e+17,2.670951e+19,2.179309e+19,37152.59,619.0566,484.9591,0.003010895,0.0,1886721.0,6.983244
0.689,8.349249e+17,2.669002e+19,2.177979e+19,37150.92,617.4136,483.3106,0.003006039,0.0,1886679.0,7.019838
0.69,8.31282e+17,2.66705e+19,2.17665e+19,37149.0,615.769,481.664,0.003001194,0.0,1886630.0,7.056722
0.691,8.276361e+17,2.665094e+19,2.175322e+19,37146.81,614.1228,480.0191,0.002996362,0.0,1886574.0,7.093898
0.692,8.239857e+17,2.663135e+19,2.173994e+19,37144.37,612.475,478.376,0.002991542,0.0,1886512.0,7.131369
0.693,8.203289e+17,2.661172e+19,2.172668e+19,37141.72,610.8255,476.7347,0.002986735,0.0,1886445.0,7.16914
0.694,8.166638e+17,2.659206e+19,2.171343e+19,37138.91,609.1744,475.0951,0.002981939,0.0,1886373.0,7.207215
0.695,8.129884e+17,2.657236e+19,2.170019e+19,37135.96,607.5215,473.4573,0.002977155,0.0,1886299.0,7.245598
0.696,8.093007e+17,2.655262e+19,2.168698e+19,37132.92,605.8669,471.8213,0.002972384,0.0,1886221.0,7.284293
0.697,8.055986e+17,2.653284e+19,2.167379e+19,37129.82,604.2104,470.187,0.002967625,0.0,1886143.0,7.323304
0.698,8.018803e+17,2.651303e+19,2.166063e+19,37126.71,602.5522,468.5546,0.002962878,0.0,1886064.0,7.362636
0.699,7.981438e+17,2.649319e+19,2.16475e+19,37123.62,600.892,466.9239,0.002958143,0.0,1885985.0,7.402294
0.7,7.94387e+17,2.64733e+19,2.16344e+19,37120.6,599.23,465.295,0.00295342,0.0,1885909.0,7.442281
0.701,7.906086e+17,2.645338e+19,2.162133e+19,37117.67,597.566,463.6679,0.00294871,0.0,1885834.0,7.482602
0.702,7.86809e+17,2.643342e+19,2.16083e+19,37114.81,595.9001,462.0426,0.002944011,0.0,1885762.0,7.523261
0.703,7.829895e+17,2.641342e+19,2.15953e+19,37112.02,594.2322,460.4191,0.002939325,0.0,1885691.0,7.564261
0.704,7.791512e+17,2.639339e+19,2.158233e+19,37109.26,592.5623,458.7973,0.00293465,0.0,1885621.0,7.605605
0.705,7.75295e+17,2.637332e+19,2.156939e+19,37106.52,590.8903,457.1774,0.002929987,0.0,1885551.0,7.647297
0.706,7.714223e+17,2.635321e+19,2.155648e+19,37103.77,589.2161,455.5592,0.002925335,0.0,1885481.0,7.68934
0.707,7.67534e+17,2.633306e+19,2.15436e+19,37101.0,587.5399,453.9427,0.002920695,0.0,1885411.0,7.731739
0.708,7.636312e+17,2.631288e+19,2.153074e+19,37098.18,585.8615,452.3281,0.002916066,0.0,1885339.0,7.774495
0.709,7.597152e+17,2.629266e+19,2.151791e+19,37095.28,584.1809,450.7152,0.002911448,0.0,1885265.0,7.817613
0.71,7.55787e+17,2.62724e+19,2.15051e+19,37092.3,582.498,449.104,0.002906841,0.0,1885190.0,7.861098
0.711,7.518475e+17,2.62521e+19,2.149231e+19,37089.21,580.8129,447.4946,0.002902245,0.0,1885111.0,7.904951
0.712,7.478963e+17,2.623177e+19,2.147955e+19,37086.02,579.1254,445.887,0.00289766,0.0,1885030.0,7.949178
0.713,7.439331e+17,2.62114e+19,2.146681e+19,37082.74,577.4357,444.2811,0.002893085,0.0,1884947.0,7.993783
0.714,7.399573e+17,2.6191e+19,2.145409e+19,37079.39,575.7435,442.6769,0.002888522,0.0,1884862.0,8.03877
0.715,7.359685e+17,2.617055e+19,2.144139e+19,37075.99,574.0489,441.0745,0.002883969,0.0,1884775.0,8.084143
0.716,7.319661e+17,2.615007e+19,2.142872e+19,37072.53,572.3518,439.4739,0.002879428,0.0,1884687.0,8.129908
0.717,7.279497e+17,2.612956e+19,2.141608e+19,37069.04,570.6522,437.875,0.002874898,0.0,1884598.0,8.176067
0.718,7.239187e+17,2.610901e+19,2.140346e+19,37065.53,568.9501,436.2779,0.002870379,0.0,1884509.0,8.222627
0.719,7.198726e+17,2.608842e+19,2.139087e+19,37062.01,567.2454,434.6826,0.002865872,0.0,1884420.0,8.269592
0.72,7.15811e+17,2.60678e+19,2.13783e+19,37058.5,565.538,433.089,0.002861376,0.0,1884330.0,8.316966
0.721,7.117335e+17,2.604714e+19,2.136576e+19,37055.0,563.828,431.4972,0.002856891,0.0,1884242.0,8.364754
0.722,7.076402e+17,2.602645e+19,2.135325e+19,37051.53,562.1153,429.9071,0.002852418,0.0,1884153.0,8.412961
