r,R  6/ 3,R  7/ 3,R  8/ 3,R  9/ 3,R 10/ 3,R 11/ 3,R 12/ 3,R 13/ 3,R 14/ 3,R 15/ 3,I  6/ 3,I  7/ 3,I  8/ 3,I  9/ 3,I 10/ 3,I 11/ 3,I 12/ 3,I 13/ 3,I 14/ 3,I 15/ 3
0.501,0.000146204141,0.000223811701,0.00045793406,-0.000838712338,-0.00029728854,-9.98574065e-05,-3.28100126e-05,-6.9984805e-06,-1.247098e-06,-3.2274025e-07,3.04705614e-05,3.26637085e-05,-7.93891082e-05,-3.12375986e-05,-0.000212421833,-3.90544522e-05,-9.65764041e-06,-9.7537073e-07,4.09516271e-07,7.79146678e-07
0.502,0.000146487934,0.000225561264,0.000469754845,-0.000836140101,-0.000305779233,-0.000103133561,-3.36905715e-05,-7.00407101e-06,-1.17123606e-06,-2.69989524e-07,3.00540678e-05,3.16823551e-05,-7.00550459e-05,-4.85794739e-05,-0.000216527082,-3.8596394e-05,-9.18046054e-06,-8.50687629e-07,3.8671644e-07,7.57700376e-07
0.503,0.000146711916,0.000227271168,0.000481376839,-0.000833233464,-0.000314602126,-0.000106529614,-3.45992581e-05,-7.02346784e-06,-1.09903203e-06,-2.13648849e-07,2.9611859e-05,3.07546441e-05,-6.01872484e-05,-6.6209283e-05,-0.000220768711,-3.80867119e-05,-8.67703941e-06,-7.30979832e-07,3.71735748e-07,7.43682907e-07
0.504,0.000146882659,0.000228947513,0.000492766084,-0.000829975554,-0.000323804558,-0.000110040235,-3.55323193e-05,-7.06370346e-06,-1.03601581e-06,-1.53532601e-07,2.91462925e-05,2.98838731e-05,-4.9786893e-05,-8.40239767e-05,-0.000225140295,-3.75328913e-05,-8.15587548e-06,-6.18654072e-07,3.65306638e-07,7.37376373e-07
0.505,0.000147009158,0.000230603131,0.00050391468,-0.000826355714,-0.000333358606,-0.000113656697,-3.64875805e-05,-7.13042875e-06,-9.86405468e-07,-9.13556155e-08,2.86637774e-05,2.90800413e-05,-3.88645778e-05,-0.000101915512,-0.000229645801,-3.69366936e-05,-7.6321194e-06,-5.17460622e-07,3.66425245e-07,7.39116909e-07
0.506,0.000147097254,0.000232252613,0.000514786995,-0.00082234459,-0.000343310454,-0.000117365487,-3.74643737e-05,-7.2307206e-06,-9.52694039e-07,-2.8921446e-08,2.81580424e-05,2.83433378e-05,-2.74351448e-05,-0.000119742805,-0.000234279626,-3.63050347e-05,-7.11979688e-06,-4.31525913e-07,3.69704683e-07,7.4745072e-07
0.507,0.000147151115,0.000233912342,0.000525363548,-0.000817915467,-0.000353636908,-0.000121150648,-3.84612826e-05,-7.36517882e-06,-9.38647033e-07,3.08989697e-08,2.76324756e-05,2.7685185e-05,-1.55237424e-05,-0.000137359335,-0.000239040623,-3.56431338e-05,-6.63879824e-06,-3.60983327e-07,3.73485137e-07,7.60471665e-07
0.508,0.000147170056,0.000235607056,0.000535602305,-0.000813020237,-0.000364383507,-0.000124988514,-3.94812032e-05,-7.53844542e-06,-9.41056987e-07,8.98056062e-08,2.70816805e-05,2.71007109e-05,-3.15153692e-06,-0.000154592835,-0.000243911372,-3.49592274e-05,-6.19574965e-06,-3.13110007e-07,3.73488632e-07,7.78874266e-07
0.509,0.000147157911,0.000237353991,0.000545477508,-0.000807609006,-0.000375527003,-0.000128862929,-4.0519492e-05,-7.74901274e-06,-9.64055526e-07,1.43918409e-07,2.65183149e-05,2.66010903e-05,9.65127233e-06,-0.000171270324,-0.000248873608,-3.42634677e-05,-5.80292072e-06,-2.85561668e-07,3.75779159e-07,8.00202004e-07
0.51,0.000147119415,0.000239183607,0.000554953709,-0.000801609325,-0.000387099043,-0.000132748932,-4.15751032e-05,-7.99930004e-06,-9.98886e-07,2.03338202e-07,2.59386537e-05,2.61747589e-05,2.28583452e-05,-0.000187202247,-0.000253898926,-3.35650524e-05,-5.459569e-06,-2.88885877e-07,3.78222799e-07,8.26359215e-07
0.511,0.000147062123,0.000241110274,0.000564001902,-0.000794957132,-0.000399069134,-0.0001366356,-4.26383449e-05,-8.28573063e-06,-1.05194693e-06,2.67333416e-07,2.53698484e-05,2.58313369e-05,3.64380783e-05,-0.000202199284,-0.000258948179,-3.28799159e-05,-5.16473891e-06,-3.18608647e-07,3.96260521e-07,8.55866796e-07
0.512,0.000147001176,0.000243167367,0.000572601881,-0.000787590324,-0.00041144099,-0.000140509856,-4.37022074e-05,-8.61519291e-06,-1.11167524e-06,3.41790797e-07,2.48164152e-05,2.55489545e-05,5.03583229e-05,-0.000216068651,-0.000263975693,-3.22151513e-05,-4.91241926e-06,-3.8328127e-07,4.28168765e-07,8.94837263e-07
0.513,0.000146954651,0.000245362334,0.000580731688,-0.000779462327,-0.000424171413,-0.00014437146,-4.47527756e-05,-8.98766102e-06,-1.18363764e-06,4.20558428e-07,2.42980109e-05,2.53410972e-05,6.45603099e-05,-0.000228622803,-0.000268939429,-3.15859621e-05,-4.7112883e-06,-4.6828725e-07,4.75736903e-07,9.43779376e-07
0.514,0.000146925239,0.000247730863,0.00058836811,-0.000770516685,-0.00043726225,-0.000148206214,-4.580474e-05,-9.40081951e-06,-1.26963354e-06,4.96237333e-07,2.38004287e-05,2.518658e-05,7.89848896e-05,-0.000239695163,-0.000273798782,-3.09923188e-05,-4.56812799e-06,-5.77495695e-07,5.29755532e-07,9.98594875e-07
0.515,0.00014693521,0.000250271343,0.000595491934,-0.000760705635,-0.000450664369,-0.000152015366,-4.6842269e-05,-9.85667574e-06,-1.36294441e-06,5.59021954e-07,2.33315556e-05,2.51032184e-05,9.35534667e-05,-0.000249148265,-0.000278506411,-3.04569211e-05,-4.4922523e-06,-6.90641963e-07,5.74570458e-07,1.07109942e-06
0.516,0.000146958309,0.000253015787,0.000602059014,-0.000749967094,-0.000464394196,-0.0001557817,-4.79149925e-05,-1.03415714e-05,-1.48822329e-06,5.83080559e-07,2.28464859e-05,2.50769578e-05,0.000108170274,-0.000256878907,-0.000283042548,-2.99675663e-05,-4.51397732e-06,-8.04546334e-07,5.91773312e-07,1.13662865e-06
0.517,0.000147017307,0.000255952486,0.00060804425,-0.000738241347,-0.000478400981,-0.000159491653,-4.90053984e-05,-1.08455686e-05,-1.6206629e-06,5.76250401e-07,2.23383448e-05,2.51331294e-05,0.000122749517,-0.000262839804,-0.000287349567,-2.95639958e-05,-4.62150102e-06,-9.17592827e-07,5.69328764e-07,1.2050409e-06
0.518,0.000147097231,0.000259089588,0.000613412861,-0.000725476029,-0.000492681161,-0.000163141767,-5.01480347e-05,-1.13521258e-05,-1.78280241e-06,5.3470237e-07,2.17758374e-05,2.52535982e-05,0.000137201995,-0.000267025556,-0.000291400485,-2.92291752e-05,-4.83160182e-06,-1.02198052e-06,5.04072751e-07,1.25489526e-06
0.519,0.000147234485,0.000262416082,0.00061815262,-0.000711612606,-0.000507165511,-0.000166700993,-5.13280229e-05,-1.18181847e-05,-1.95543896e-06,5.11932539e-07,2.1124209e-05,2.54574526e-05,0.000151426911,-0.000269505148,-0.000295145519,-2.90301171e-05,-5.1156247e-06,-1.17626758e-06,4.14428336e-07,1.23183465e-06
0.52,0.000147483779,0.000265913982,0.000622288277,-0.000696628777,-0.00052178531,-0.000170200926,-5.24953138e-05,-1.22666378e-05,-2.09963764e-06,5.19927255e-07,2.04434635e-05,2.57201816e-05,0.000165393295,-0.000270364171,-0.000298509409,-2.89350598e-05,-5.42754228e-06,-1.34903472e-06,3.35073108e-07,1.18788695e-06
0.521,0.00014780497,0.00026955553,0.000625779691,-0.000680511569,-0.000536499072,-0.000173657283,-5.36718187e-05,-1.27082426e-05,-2.22130222e-06,5.30455572e-07,1.97595629e-05,2.60603739e-05,0.000179044992,-0.000269763234,-0.000301426141,-2.89638833e-05,-5.75281191e-06,-1.5180045e-06,2.54765949e-07,1.15899456e-06
0.522,0.000148237621,0.00027331134,0.00062866791,-0.000663239899,-0.000551235411,-0.000177116497,-5.48298009e-05,-1.31550255e-05,-2.31067326e-06,5.63458897e-07,1.90964861e-05,2.64439628e-05,0.000192329791,-0.000267905756,-0.000303866303,-2.90999569e-05,-6.07570422e-06,-1.67694302e-06,1.92307248e-07,1.1476876e-06
0.523,0.000148754255,0.000277153388,0.000630937001,-0.000644796031,-0.000565936768,-0.000180596747,-5.59928539e-05,-1.36112377e-05,-2.38579113e-06,6.02517076e-07,1.84575044e-05,2.68904406e-05,0.000205176251,-0.000265029468,-0.0003058146,-2.93499176e-05,-6.41508306e-06,-1.81272451e-06,1.37990902e-07,1.15525059e-06
0.524,0.000149358267,0.00028105202,0.000632613302,-0.000625172928,-0.000580551382,-0.000184131733,-5.71711823e-05,-1.40772072e-05,-2.45735207e-06,6.46898153e-07,1.78436243e-05,2.73778003e-05,0.000217527237,-0.000261395908,-0.000307275767,-2.96980155e-05,-6.77248117e-06,-1.92628729e-06,9.27014528e-08,1.1704768e-06
0.525,0.000150034404,0.000284978426,0.000633692103,-0.00060437691,-0.000595014211,-0.000187735344,-5.83790667e-05,-1.45590128e-05,-2.53372694e-06,6.88067038e-07,1.72539721e-05,2.79248109e-05,0.000229321437,-0.000257273594,-0.000308262859,-3.01447104e-05,-7.1744453e-06,-2.01283977e-06,5.43068337e-08,1.18540014e-06
0.526,0.000150776666,0.000288900318,0.000634203173,-0.000582448109,-0.00060927552,-0.000191424048,-5.96350367e-05,-1.50485073e-05,-2.62347866e-06,7.20165936e-07,1.66778305e-05,2.85260134e-05,0.000240507259,-0.000252922466,-0.000308805269,-3.06707515e-05,-7.62858599e-06,-2.0735122e-06,1.10018165e-08,1.19419136e-06
0.527,0.000151567174,0.00029279087,0.000634128551,-0.000559442899,-0.000623287252,-0.000195193949,-6.09530426e-05,-1.55451968e-05,-2.72950712e-06,7.47382891e-07,1.61171619e-05,2.91974475e-05,0.00025104305,-0.000248592433,-0.000308927658,-3.12745878e-05,-8.151982e-06,-2.11083896e-06,-3.02196425e-08,1.19444564e-06
0.528,0.000152391969,0.000296620032,0.000633504374,-0.000535439203,-0.000637007577,-0.000199049685,-6.23501036e-05,-1.60410331e-05,-2.85534202e-06,7.66068232e-07,1.55745343e-05,2.99389194e-05,0.000260903639,-0.000244511576,-0.000308658208,-3.19411229e-05,-8.73444247e-06,-2.13399789e-06,-7.27084418e-08,1.18761638e-06
0.529,0.00015323204,0.000300365614,0.000632312697,-0.000510503016,-0.000650404846,-0.000202983777,-6.38365799e-05,-1.65401574e-05,-2.99970363e-06,7.81449687e-07,1.50631754e-05,3.07539711e-05,0.000270073306,-0.000240892867,-0.000308026519,-3.26751246e-05,-9.38259106e-06,-2.15151367e-06,-1.06402455e-07,1.17870203e-06
0.53,0.000154070301,0.000304003788,0.000630598364,-0.000484724999,-0.000663441483,-0.00020699537,-6.54230111e-05,-1.70401644e-05,-3.16272093e-06,7.94310597e-07,1.45960886e-05,3.16440538e-05,0.000278546637,-0.00023790558,-0.000307065068,-3.34658441e-05,-1.00784168e-05,-2.17658568e-06,-1.29443946e-07,1.1708393e-06
