bet0_f,Bdens,Adens,Beam Ion Effective Temp(keV),n,gam,om_r,gam_var,om_r_var,tipo_inestabilidad,modo_m,pos_radial,diff_m
0.001,0.7,2.0,0,1,0.00626314,1.670162417898,7.38486e-09,4.25206e-10,BAE,4,0.752,0
0.001,0.7,2.0,20,1,0.00625954,1.656732595872,8.01017e-09,6.31446e-10,BAE,4,0.752,0
0.001,0.7,2.0,40,1,0.00625134,1.656780580944,7.29198e-09,2.93319e-09,BAE,4,0.752,0
0.001,0.7,4.0,0,1,0.00625466,1.67084020704,8.11494e-09,7.39352e-10,BAE,4,0.752,0
0.001,0.7,4.0,20,1,0.00614085,1.566124783668,1.74071e-08,1.9015e-08,BAE,4,0.752,1
0.001,0.7,4.0,40,1,0.0062473,1.658292110712,7.55668e-09,4.27498e-09,BAE,4,0.752,0
0.001,0.7,6.0,0,1,0.00625017,1.674193163946,7.85413e-09,7.81793e-10,BAE,4,0.752,0
0.001,0.7,6.0,20,1,0.00623485,1.658028192816,8.50904e-09,4.26721e-09,BAE,4,0.752,0
0.001,0.7,6.0,40,1,0.00622779,1.636518884292,1.02537e-08,4.20765e-09,BAE,4,0.752,0
0.001,0.7,8.0,0,1,0.00624974,1.680719133738,8.45731e-09,9.18233e-10,BAE,4,0.752,0
0.001,0.7,8.0,20,1,0.006252,1.6639903380119998,9.02348e-09,4.90971e-10,BAE,4,0.752,0
0.001,0.7,8.0,40,1,0.006202,1.617198894678,1.26019e-08,8.8362e-09,BAE,4,0.752,0
0.001,0.7,10.0,0,1,0.00623213,1.672915561404,8.30722e-09,4.67701e-09,BAE,4,0.752,0
0.001,0.7,10.0,20,1,0.00624481,1.674343117296,9.42424e-09,4.93013e-09,BAE,4,0.752,0
0.001,0.7,10.0,40,1,0.00624766,1.657476364488,9.74893e-09,7.28281e-10,BAE,4,0.752,0
0.001,0.8,0.5,0,1,0.00626056,1.659089862534,6.68521e-09,4.08181e-09,BAE,4,0.752,0
0.001,0.8,0.5,20,1,0.00611623,1.542384169296,1.061e-08,2.27849e-08,Estable/Ruido,5,0.865,1
0.001,0.8,0.5,40,1,0.00624672,1.632224220348,9.76812e-09,5.96465e-09,BAE,4,0.752,0
0.001,0.8,2.0,0,1,0.00622011,1.633945684806,1.089e-08,1.12034e-08,BAE,4,0.752,0
0.001,0.8,2.0,20,1,0.0062627,1.659641690862,7.79626e-09,4.21787e-10,BAE,4,0.752,0
0.001,0.8,2.0,40,1,0.00626208,1.656972521232,7.68663e-09,6.75377e-10,BAE,4,0.752,0
0.001,0.8,4.0,0,1,0.00613898,1.665975720366,2.363e-08,1.7917e-07,BAE,4,0.752,0
0.001,0.8,4.0,20,1,0.00623815,1.649954704452,8.75459e-09,3.79681e-09,BAE,4,0.752,0
0.001,0.8,4.0,40,1,0.00625962,1.6580701797539998,8.03706e-09,5.04387e-10,BAE,4,0.752,0
0.001,0.8,6.0,0,1,0.00621065,1.652767829298,1.14538e-08,9.80375e-09,BAE,4,0.752,0
0.001,0.8,6.0,20,1,0.00623642,1.654501290024,9.62565e-09,5.62948e-09,BAE,4,0.752,0
0.001,0.8,6.0,40,1,0.00623257,1.635493203378,1.09124e-08,4.11516e-09,BAE,4,0.752,0
