r,R  2/ 1,R  3/ 1,R  4/ 1,R  5/ 1,I  2/ 1,I  3/ 1,I  4/ 1,I  5/ 1
0.469,1.8765577e-05,-8.99582779e-06,0.000150526102,0.000116354646,1.22461743e-05,7.74746811e-06,-3.61568365e-05,1.74503614e-05
0.47,1.85510872e-05,-8.81358912e-06,0.000149581433,0.00011549058,1.21265983e-05,7.65976144e-06,-3.55869005e-05,1.73091882e-05
0.471,1.8337067e-05,-8.63016296e-06,0.000148646377,0.000114635736,1.2006897e-05,7.56910989e-06,-3.50208344e-05,1.71714722e-05
0.472,1.81235276e-05,-8.44561577e-06,0.000147720786,0.00011379,1.18870659e-05,7.47550781e-06,-3.44585726e-05,1.70371619e-05
0.473,1.79104781e-05,-8.2600171e-06,0.000146804511,0.00011295326,1.17671001e-05,7.37895349e-06,-3.39000515e-05,1.69062067e-05
0.474,1.76979263e-05,-8.07343982e-06,0.00014589741,0.000112125405,1.16469941e-05,7.2794466e-06,-3.33452084e-05,1.6778557e-05
0.475,1.74858798e-05,-7.88595991e-06,0.000144999341,0.000111306325,1.15267416e-05,7.17698683e-06,-3.2793982e-05,1.66541647e-05
0.476,1.72743486e-05,-7.69765578e-06,0.000144110167,0.000110495907,1.14063354e-05,7.07157399e-06,-3.2246314e-05,1.65329826e-05
0.477,1.7063347e-05,-7.50860769e-06,0.000143229749,0.000109694039,1.12857667e-05,6.96320856e-06,-3.17021496e-05,1.64149636e-05
0.478,1.68528926e-05,-7.31889811e-06,0.000142357951,0.000108900609,1.11650258e-05,6.85189229e-06,-3.11614357e-05,1.63000612e-05
0.479,1.66430054e-05,-7.12861202e-06,0.000141494636,0.000108115509,1.10441023e-05,6.73762944e-06,-3.06241203e-05,1.61882291e-05
0.48,1.6433707e-05,-6.93783673e-06,0.000140639666,0.000107338635,1.09229862e-05,6.62042887e-06,-3.00901515e-05,1.60794201e-05
0.481,1.62250175e-05,-6.74666106e-06,0.0001397929,0.000106569885,1.08016691e-05,6.50030682e-06,-2.95594765e-05,1.5973586e-05
0.482,1.60169539e-05,-6.55517417e-06,0.000138954195,0.000105809163,1.06801444e-05,6.37728905e-06,-2.90320432e-05,1.58706765e-05
0.483,1.58095299e-05,-6.36346603e-06,0.000138123409,0.000105056371,1.0558407e-05,6.25140764e-06,-2.85077989e-05,1.57706412e-05
0.484,1.56027571e-05,-6.17162677e-06,0.000137300403,0.000104311416,1.04364524e-05,6.12269798e-06,-2.79866908e-05,1.56734308e-05
0.485,1.53966444e-05,-5.97974555e-06,0.000136485045,0.0001035742,1.03142767e-05,5.99119638e-06,-2.74686664e-05,1.55789964e-05
0.486,1.51911984e-05,-5.78790947e-06,0.000135677205,0.000102844633,1.01918762e-05,5.85693831e-06,-2.69536727e-05,1.54872911e-05
0.487,1.49864257e-05,-5.59620306e-06,0.000134876757,0.000102122626,1.00692475e-05,5.71995723e-06,-2.64416564e-05,1.53982689e-05
0.488,1.47823357e-05,-5.40470734e-06,0.00013408357,0.000101408099,9.94638795e-06,5.58028333e-06,-2.59325659e-05,1.53118842e-05
0.489,1.45789409e-05,-5.21349879e-06,0.000133297512,0.000100700976,9.82329565e-06,5.43794082e-06,-2.54263521e-05,1.52280921e-05
0.49,1.43762574e-05,-5.02264965e-06,0.000132518448,0.000100001185,9.699969e-06,5.29294431e-06,-2.49229688e-05,1.51468491e-05
0.491,1.41743033e-05,-4.83222845e-06,0.000131746248,9.93086552e-05,9.57640557e-06,5.14529317e-06,-2.44223714e-05,1.50681157e-05
0.492,1.39730915e-05,-4.64229699e-06,0.000130980801,9.8623305e-05,9.4526007e-06,4.99496542e-06,-2.39245119e-05,1.49918598e-05
0.493,1.37726224e-05,-4.45290373e-06,0.000130222017,9.79450359e-05,9.32854767e-06,4.84192359e-06,-2.34293403e-05,1.49180563e-05
0.494,1.35728817e-05,-4.26408222e-06,0.000129469826,9.72737323e-05,9.20423812e-06,4.68612161e-06,-2.29368038e-05,1.4846685e-05
0.495,1.3373842e-05,-4.07585123e-06,0.000128724174,9.66092623e-05,9.07966219e-06,4.52750833e-06,-2.24468468e-05,1.47777293e-05
0.496,1.31754685e-05,-3.88821834e-06,0.000127985016,9.59514822e-05,8.95480911e-06,4.36602873e-06,-2.19594128e-05,1.47111752e-05
0.497,1.2977736e-05,-3.70119561e-06,0.000127252294,9.53002584e-05,8.82966893e-06,4.20162741e-06,-2.14744498e-05,1.4647005e-05
0.498,1.27806432e-05,-3.51481516e-06,0.000126525917,9.46554901e-05,8.70423378e-06,4.03425112e-06,-2.09919129e-05,1.45851955e-05
0.499,1.25842153e-05,-3.32913287e-06,0.000125805762,9.40171135e-05,8.57849854e-06,3.8638501e-06,-2.05117648e-05,1.45257174e-05
0.5,1.23885023e-05,-3.14422946e-06,0.000125091671,9.33851011e-05,8.45246165e-06,3.69038294e-06,-2.00339749e-05,1.44685348e-05
0.501,1.21935704e-05,-2.96020693e-06,0.000124383461,9.27594578e-05,8.3261256e-06,3.513825e-06,-1.95585182e-05,1.44136056e-05
0.502,1.19994822e-05,-2.7771681e-06,0.000123680947,9.21401924e-05,8.19949582e-06,3.33417326e-06,-1.90853711e-05,1.43608846e-05
0.503,1.18062805e-05,-2.59520105e-06,0.000122983968,9.15272876e-05,8.0725777e-06,3.15144096e-06,-1.86145052e-05,1.43103291e-05
0.504,1.16139864e-05,-2.41437891e-06,0.000122292401,9.09206939e-05,7.94537471e-06,2.96565419e-06,-1.81458857e-05,1.42619007e-05
0.505,1.14226005e-05,-2.23476052e-06,0.000121606157,9.03203296e-05,7.81788759e-06,2.77684831e-06,-1.76794722e-05,1.4215565e-05
0.506,1.12321064e-05,-2.05639215e-06,0.000120925176,8.97260868e-05,7.69011445e-06,2.58506343e-06,-1.72152199e-05,1.41712914e-05
0.507,1.10424814e-05,-1.87932009e-06,0.000120249411,8.91378524e-05,7.56205181e-06,2.39034131e-06,-1.67530821e-05,1.4129051e-05
0.508,1.08537056e-05,-1.7036015e-06,0.00011957881,8.8555527e-05,7.43369633e-06,2.1927224e-06,-1.62930149e-05,1.40888139e-05
0.509,1.06657645e-05,-1.52930316e-06,0.000118913309,8.79790274e-05,7.30504518e-06,1.99224152e-06,-1.58349777e-05,1.40505494e-05
0.51,1.04786493e-05,-1.35649902e-06,0.000118252832,8.74082847e-05,7.17609498e-06,1.78892459e-06,-1.53789346e-05,1.40142269e-05
0.511,1.02923595e-05,-1.1852682e-06,0.000117597298,8.6843239e-05,7.0468402e-06,1.58278671e-06,-1.49248556e-05,1.39798168e-05
