r,R  2/ 1,R  3/ 1,R  4/ 1,R  5/ 1,I  2/ 1,I  3/ 1,I  4/ 1,I  5/ 1
0.733,-3.08133435e-05,-0.000342113319,-0.000725859593,-0.000402973199,1.16036928e-05,-0.000157876752,-0.000707801841,7.01449139e-05
0.734,-3.02632502e-05,-0.000337042405,-0.000718316216,-0.000405061728,1.1337783e-05,-0.000153281065,-0.000699177738,7.10991874e-05
0.735,-2.97215906e-05,-0.000331993488,-0.00071095007,-0.000407257848,1.10539849e-05,-0.000148812932,-0.000690550893,7.20008582e-05
0.736,-2.91904308e-05,-0.00032696836,-0.000703757087,-0.000409558056,1.07474788e-05,-0.000144458078,-0.000681928104,7.2861935e-05
0.737,-2.86728771e-05,-0.000321971481,-0.000696732826,-0.00041196774,1.04380183e-05,-0.000140220715,-0.000673300195,7.36721507e-05
0.738,-2.81675905e-05,-0.00031700084,-0.000689873272,-0.000414480191,1.01372413e-05,-0.000136101568,-0.000664661162,7.4419723e-05
0.739,-2.76741431e-05,-0.000312061645,-0.000683172751,-0.000417099555,9.86045168e-06,-0.000132108231,-0.000656002129,7.50884383e-05
0.74,-2.71930759e-05,-0.000307148427,-0.000676629133,-0.000419813964,9.59433935e-06,-0.000128234567,-0.000647329244,7.56757125e-05
0.741,-2.6725102e-05,-0.000302267914,-0.000670237369,-0.000422627798,9.32897476e-06,-0.000124470328,-0.000638650052,7.61922104e-05
0.742,-2.62757175e-05,-0.000297414127,-0.000663996896,-0.000425530859,9.04881342e-06,-0.000120802633,-0.000629974069,7.66477605e-05
0.743,-2.58431486e-05,-0.000292595834,-0.000657901697,-0.000428529365,8.75989266e-06,-0.000117221589,-0.000621301724,7.70522222e-05
0.744,-2.54323448e-05,-0.000287809161,-0.000651949347,-0.000431616274,8.47751061e-06,-0.000113730978,-0.000612624245,7.73918996e-05
0.745,-2.503551e-05,-0.000283061171,-0.00064613274,-0.000434793534,8.21651691e-06,-0.000110331209,-0.000603933696,7.76566177e-05
0.746,-2.46574675e-05,-0.000278349321,-0.000640448561,-0.000438054833,7.98521169e-06,-0.000107029571,-0.000595223484,7.78274672e-05
0.747,-2.42920141e-05,-0.000273675421,-0.00063489296,-0.000441394942,7.76501874e-06,-0.00010381447,-0.00058650264,7.7908444e-05
0.748,-2.39471119e-05,-0.000269040907,-0.000629463156,-0.00044481078,7.54669898e-06,-0.000100678229,-0.00057777821,7.7907016e-05
0.749,-2.36215712e-05,-0.000264444828,-0.000624158274,-0.000448296482,7.30830475e-06,-9.76054883e-05,-0.00056906146,7.78334917e-05
0.75,-2.33177292e-05,-0.000259893724,-0.000618972879,-0.000451855017,7.06584073e-06,-9.45938684e-05,-0.000560347607,7.76911964e-05
0.751,-2.30368363e-05,-0.000255386148,-0.000613906559,-0.000455485928,6.8181133e-06,-9.16489573e-05,-0.000551631975,7.74587426e-05
0.752,-2.27588466e-05,-0.000250920881,-0.000608947439,-0.00045917558,6.5850354e-06,-8.87752538e-05,-0.000542903495,7.7127926e-05
0.753,-2.24777115e-05,-0.000246493741,-0.000604092332,-0.000462917459,6.35816372e-06,-8.59722146e-05,-0.000534165416,7.66858088e-05
0.754,-2.21849823e-05,-0.00024210953,-0.000599335356,-0.000466705303,6.12896575e-06,-8.32314585e-05,-0.000525423237,7.61455599e-05
0.755,-2.18779361e-05,-0.000237765368,-0.000594672763,-0.000470533537,5.88237475e-06,-8.05391317e-05,-0.000516689182,7.55177758e-05
0.756,-2.15549644e-05,-0.000233470575,-0.000590100669,-0.000474404239,5.61918561e-06,-7.78872641e-05,-0.000507965784,7.48185547e-05
0.757,-2.12130678e-05,-0.000229226038,-0.000585612119,-0.000478316276,5.3558659e-06,-7.52745509e-05,-0.000499247634,7.40428052e-05
0.758,-2.08507911e-05,-0.000225041838,-0.000581202414,-0.000482273903,5.11184861e-06,-7.27107472e-05,-0.000490523152,7.31794615e-05
0.759,-2.04660965e-05,-0.000220917478,-0.000576864391,-0.000486274107,4.90142947e-06,-7.02026427e-05,-0.000481783516,7.22113676e-05
0.76,-2.00617746e-05,-0.000216856973,-0.00057259676,-0.00049031641,4.71766571e-06,-6.77547271e-05,-0.000473029553,7.11337686e-05
0.761,-1.96416244e-05,-0.000212856493,-0.000568396069,-0.000494394517,4.54905003e-06,-6.53600571e-05,-0.000464267235,6.99528441e-05
0.762,-1.92121478e-05,-0.000208916978,-0.000564263366,-0.000498505999,4.38199386e-06,-6.30140601e-05,-0.000455503567,6.86790788e-05
0.763,-1.87765189e-05,-0.000205035684,-0.000560194891,-0.000502646137,4.22205451e-06,-6.07128565e-05,-0.000446736128,6.73176809e-05
0.764,-1.83368664e-05,-0.000201212651,-0.000556189518,-0.000506813823,4.08107325e-06,-5.84647626e-05,-0.000437956542,6.58589946e-05
0.765,-1.7891833e-05,-0.00019744436,-0.000552242343,-0.000511003297,3.97472558e-06,-5.62772504e-05,-0.000429153553,6.4290207e-05
0.766,-1.74426566e-05,-0.000193728121,-0.000548352745,-0.000515208571,3.90151295e-06,-5.41582928e-05,-0.000420323982,6.25986499e-05
0.767,-1.69906483e-05,-0.000190059059,-0.000544518538,-0.000519417622,3.84942668e-06,-5.21026903e-05,-0.000411472888,6.07895837e-05
0.768,-1.65405424e-05,-0.00018643458,-0.000540740712,-0.000523621492,3.79969493e-06,-5.01032268e-05,-0.000402610292,5.88731798e-05
0.769,-1.60939722e-05,-0.000182852061,-0.000537017021,-0.000527809198,3.74660296e-06,-4.81490825e-05,-0.000393741751,5.68651088e-05
0.77,-1.56523014e-05,-0.000179312586,-0.000533345202,-0.000531975653,3.69634556e-06,-4.62405878e-05,-0.000384864573,5.47654526e-05
0.771,-1.52127402e-05,-0.000175815975,-0.000529719958,-0.000536111782,3.66443827e-06,-4.43804539e-05,-0.000375970773,5.25694499e-05
0.772,-1.47741854e-05,-0.000172363394,-0.00052613707,-0.000540211839,3.65700106e-06,-4.25762113e-05,-0.000367054641,5.02657429e-05
0.773,-1.43355765e-05,-0.000168951954,-0.000522592444,-0.000544264155,3.66884492e-06,-4.08257878e-05,-0.000358118395,4.78566518e-05
0.774,-1.3898807e-05,-0.000165580718,-0.000519083407,-0.000548261148,3.68306758e-06,-3.9124183e-05,-0.000349170619,4.53520799e-05
0.775,-1.34655898e-05,-0.0001622476,-0.000515606478,-0.00055219233,3.68894268e-06,-3.74606872e-05,-0.000340219558,4.2770535e-05
0.776,-1.30363399e-05,-0.000158954829,-0.000512156684,-0.000556053407,3.68587773e-06,-3.58325881e-05,-0.000331266519,4.01216692e-05
0.777,-1.26097228e-05,-0.000155703273,-0.00050872742,-0.000559838383,3.68676436e-06,-3.42411145e-05,-0.000322305293,3.74062821e-05
0.778,-1.21826198e-05,-0.000152495294,-0.000505311467,-0.00056354365,3.70147098e-06,-3.26937656e-05,-0.000313328564,3.46167625e-05
0.779,-1.17545561e-05,-0.000149330823,-0.000501902612,-0.00056716111,3.73146142e-06,-3.11922964e-05,-0.000304334211,3.17499202e-05
0.78,-1.13257934e-05,-0.00014621083,-0.00049849564,-0.000570681805,3.76406556e-06,-2.97333244e-05,-0.0002953286,2.88123684e-05
0.781,-1.09001829e-05,-0.000143136224,-0.000495085977,-0.000574095859,3.78700964e-06,-2.83067477e-05,-0.000286320442,2.58186369e-05
0.782,-1.04788144e-05,-0.000140108766,-0.000491668256,-0.000577394895,3.79450078e-06,-2.69047506e-05,-0.000277315941,2.27827574e-05
0.783,-1.00633166e-05,-0.000137131289,-0.00048823589,-0.000580572584,3.79424578e-06,-2.55236723e-05,-0.000268314166,1.97104577e-05
0.784,-9.65207496e-06,-0.000134205327,-0.000484781546,-0.000583621424,3.79648515e-06,-2.41653127e-05,-0.000259312064,1.66009829e-05
0.785,-9.2456733e-06,-0.000131332417,-0.000481298031,-0.00058653373,3.80828359e-06,-2.28312759e-05,-0.000250308217,1.345268e-05
0.786,-8.84371779e-06,-0.000128510727,-0.000477778861,-0.000589299522,3.82898845e-06,-2.152216e-05,-0.000241306155,1.02682329e-05
0.787,-8.44712264e-06,-0.000125738874,-0.000474217969,-0.000591910074,3.85477249e-06,-2.02359e-05,-0.000232312145,7.05409442e-06
0.788,-8.05497265e-06,-0.000123013626,-0.00047060922,-0.000594356113,3.88276376e-06,-1.89705495e-05,-0.000223332785,3.81729469e-06
0.789,-7.66606958e-06,-0.000120333923,-0.000466946584,-0.000596629275,3.91100912e-06,-1.77231197e-05,-0.000214374904,5.64229664e-07
0.79,-7.27916961e-06,-0.000117698705,-0.000463224007,-0.00059872053,3.93853946e-06,-1.64909195e-05,-0.000205445674,-2.69847901e-06
0.791,-6.89377406e-06,-0.000115109759,-0.000459436318,-0.000600620806,3.96490253e-06,-1.52713022e-05,-0.000196553236,-5.96408e-06
0.792,-6.5107276e-06,-0.000112569569,-0.000455578207,-0.000602321462,3.99134125e-06,-1.40633856e-05,-0.000187705015,-9.22663893e-06
0.793,-6.13055384e-06,-0.000110081492,-0.000451645363,-0.000603814459,4.02058861e-06,-1.28667986e-05,-0.000178907727,-1.24828938e-05
0.794,-5.75416735e-06,-0.000107647315,-0.000447632899,-0.000605093803,4.05463153e-06,-1.16826439e-05,-0.000170167496,-1.5731213e-05
0.795,-5.382033e-06,-0.000105267258,-0.000443537623,-0.000606154325,4.0919713e-06,-1.0510082e-05,-0.000161492777,-1.89686097e-05
0.796,-5.01629191e-06,-0.000102940675,-0.000439356081,-0.000606992319,4.12718747e-06,-9.34807108e-06,-0.0001528944,-2.21873522e-05
0.797,-4.65920186e-06,-0.000100666644,-0.000435086963,-0.000607603584,4.15477365e-06,-8.19297011e-06,-0.000144384585,-2.53767466e-05
0.798,-4.31298864e-06,-9.8445542e-05,-0.000430727561,-0.000607985552,4.17535569e-06,-7.04453087e-06,-0.000135972287,-2.85273225e-05
0.799,-3.97744882e-06,-9.62770581e-05,-0.000426276721,-0.000608136179,4.1981201e-06,-5.90590681e-06,-0.000127660788,-3.16389068e-05
0.8,-3.65086598e-06,-9.41609703e-05,-0.000421732264,-0.000608053019,4.23261415e-06,-4.78468598e-06,-0.000119451949,-3.47159305e-05
0.801,-3.33155094e-06,-9.20952e-05,-0.000417095522,-0.000607731718,4.28022242e-06,-3.6848104e-06,-0.000111351315,-3.77626742e-05
0.802,-3.0190462e-06,-9.00777653e-05,-0.000412368024,-0.000607165181,4.3293775e-06,-2.60396406e-06,-0.000103373773,-4.07710792e-05
0.803,-2.71445238e-06,-8.81069635e-05,-0.000407553908,-0.000606348854,4.366471e-06,-1.53328449e-06,-9.55369664e-05,-4.3726091e-05
0.804,-2.4181871e-06,-8.61831144e-05,-0.000402655277,-0.000605279931,4.3860265e-06,-4.65897163e-07,-8.78565689e-05,-4.66106551e-05
0.805,-2.12971469e-06,-8.43078091e-05,-0.0003976749,-0.000603961149,4.3967723e-06,5.99279943e-07,-8.03384362e-05,-4.94187255e-05
0.806,-1.8469366e-06,-8.24827285e-05,-0.000392614113,-0.000602393312,4.4121794e-06,1.65643053e-06,-7.29856855e-05,-5.21513846e-05
0.807,-1.56857364e-06,-8.07078974e-05,-0.000387476638,-0.000600579267,4.43950428e-06,2.69994956e-06,-6.580149e-05,-5.48121411e-05
0.808,-1.2947064e-06,-7.89811284e-05,-0.000382266744,-0.000598517597,4.47323459e-06,3.72852217e-06,-5.87983859e-05,-5.73948208e-05
0.809,-1.02723046e-06,-7.72997662e-05,-0.000376990374,-0.000596211921,4.5023186e-06,4.74610792e-06,-5.19904838e-05,-5.98856402e-05
0.81,-7.68225223e-07,-7.56620035e-05,-0.00037165245,-0.000593664953,4.52096527e-06,5.75596776e-06,-4.53921087e-05,-6.22687379e-05
0.811,-5.18303929e-07,-7.40673715e-05,-0.000366257388,-0.000590886894,4.53522926e-06,6.75597988e-06,-3.90068926e-05,-6.45365582e-05
0.812,-2.76899985e-07,-7.25153854e-05,-0.000360809234,-0.000587885108,4.55725049e-06,7.73779869e-06,-3.28356248e-05,-6.66910257e-05
0.813,-4.29908439e-08,-7.10042684e-05,-0.000355313139,-0.000584670068,4.59440813e-06,8.69245976e-06,-2.68761599e-05,-6.87365923e-05
0.814,1.82633027e-07,-6.95312425e-05,-0.000349776583,-0.000581245321,4.6427847e-06,9.61578489e-06,-2.11352921e-05,-7.06728837e-05
0.815,3.98095348e-07,-6.80933534e-05,-0.000344207502,-0.00057761854,4.69117411e-06,1.05095047e-05,-1.56207376e-05,-7.24900251e-05
0.816,6.0092266e-07,-6.66887883e-05,-0.000338614643,-0.000573794663,4.73169188e-06,1.13768228e-05,-1.0341974e-05,-7.41777091e-05
0.817,7.90956535e-07,-6.53163689e-05,-0.000333003781,-0.0005697864,4.76589757e-06,1.22170685e-05,-5.29840914e-06,-7.572857e-05
0.818,9.69365738e-07,-6.39757707e-05,-0.000327381362,-0.000565603315,4.80240429e-06,1.30249678e-05,-4.86847818e-07,-7.71464351e-05
0.819,1.13867973e-06,-6.2665472e-05,-0.00032175129,-0.000561258877,4.84668069e-06,1.37939488e-05,4.09959026e-06,-7.843426e-05
0.82,1.299829e-06,-6.13836653e-05,-0.000316120761,-0.000556760862,4.8958425e-06,1.45215173e-05,8.46045024e-06,-7.95948018e-05
0.821,1.45296597e-06,-6.01273232e-05,-0.00031049392,-0.000552121081,4.93968591e-06,1.52094856e-05,1.25940452e-05,-8.0618527e-05
0.822,1.59737553e-06,-5.88950803e-05,-0.000304878054,-0.000547348567,4.9707713e-06,1.58620649e-05,1.64967492e-05,-8.1498722e-05
0.823,1.73404531e-06,-5.76860913e-05,-0.000299274903,-0.000542457977,4.98904945e-06,1.64799283e-05,2.01721742e-05,-8.2226651e-05
0.824,1.86480255e-06,-5.65012972e-05,-0.000293689933,-0.000537461951,5.00205564e-06,1.70606539e-05,2.36272131e-05,-8.28076778e-05
0.825,1.99218384e-06,-5.53401205e-05,-0.000288123435,-0.000532375113,5.01532825e-06,1.75993399e-05,2.68709199e-05,-8.32430626e-05
0.826,2.11681779e-06,-5.42022128e-05,-0.00028258241,-0.000527208291,5.02867845e-06,1.80949492e-05,2.99081078e-05,-8.35393492e-05
0.827,2.23757958e-06,-5.30857702e-05,-0.000277068723,-0.000521972243,5.03496712e-06,1.85489475e-05,3.27402493e-05,-8.36888842e-05
0.828,2.35231691e-06,-5.19901526e-05,-0.000271590657,-0.000516677566,5.02944016e-06,1.89655416e-05,3.5369538e-05,-8.36909931e-05
0.829,2.4599994e-06,-5.09141599e-05,-0.000266148281,-0.000511336131,5.01233439e-06,1.93446433e-05,3.78012305e-05,-8.35389625e-05
0.83,2.56121895e-06,-4.98573601e-05,-0.000260747569,-0.000505962259,4.99070744e-06,1.96842221e-05,4.00467944e-05,-8.32421706e-05
0.831,2.65705014e-06,-4.88182205e-05,-0.000255386687,-0.000500567266,4.9692529e-06,1.99789099e-05,4.21156552e-05,-8.28028287e-05
0.832,2.74767989e-06,-4.77950037e-05,-0.000250072111,-0.000495164448,4.94849384e-06,2.02274114e-05,4.401809e-05,-8.22315651e-05
0.833,2.8314661e-06,-4.67851128e-05,-0.000244803345,-0.000489760572,4.92217808e-06,2.0429388e-05,4.57565967e-05,-8.15239643e-05
0.834,2.90709458e-06,-4.57862764e-05,-0.000239587698,-0.00048436799,4.88607029e-06,2.05882588e-05,4.73391255e-05,-8.06842468e-05
