r,R  2/ 1,R  3/ 1,R  4/ 1,R  5/ 1,I  2/ 1,I  3/ 1,I  4/ 1,I  5/ 1
0.427,-9.72735588e-06,-0.00013053226,8.33223847e-05,3.012481e-05,-1.06036782e-05,3.55439957e-05,-2.77508962e-06,1.43298169e-05
0.428,-9.65032255e-06,-0.00012944179,8.2623933e-05,2.98680458e-05,-1.05291248e-05,3.57413012e-05,-2.63183341e-06,1.41818963e-05
0.429,-9.57305986e-06,-0.000128360552,8.19358925e-05,2.96145728e-05,-1.04544442e-05,3.59359057e-05,-2.48969336e-06,1.40364636e-05
0.43,-9.49557842e-06,-0.000127288427,8.12580766e-05,2.93643408e-05,-1.03796394e-05,3.6127884e-05,-2.34864295e-06,1.3893475e-05
0.431,-9.41788678e-06,-0.0001262253,8.05903041e-05,2.91173003e-05,-1.03047122e-05,3.63173079e-05,-2.20865604e-06,1.37528882e-05
0.432,-9.33999357e-06,-0.000125171058,7.9932397e-05,2.88734024e-05,-1.02296625e-05,3.65042443e-05,-2.06970343e-06,1.36146634e-05
0.433,-9.26190843e-06,-0.00012412559,7.9284181e-05,2.86326e-05,-1.01544901e-05,3.6688759e-05,-1.93175683e-06,1.34787617e-05
0.434,-9.18364275e-06,-0.000123088785,7.86454854e-05,2.8394848e-05,-1.00791957e-05,3.68709192e-05,-1.79478989e-06,1.33451442e-05
0.435,-9.10521028e-06,-0.000122060537,7.80161418e-05,2.81601023e-05,-1.00037811e-05,3.70507923e-05,-1.65877705e-06,1.32137723e-05
0.436,-9.02662709e-06,-0.000121040734,7.7395983e-05,2.79283199e-05,-9.92824908e-06,3.72284459e-05,-1.52369186e-06,1.30846086e-05
0.437,-8.94791017e-06,-0.000120029269,7.67848424e-05,2.76994583e-05,-9.85260372e-06,3.74039484e-05,-1.38950926e-06,1.29576159e-05
0.438,-8.86907484e-06,-0.000119026035,7.61825574e-05,2.74734769e-05,-9.77684878e-06,3.75773721e-05,-1.25621235e-06,1.28327557e-05
0.439,-8.79013444e-06,-0.000118030925,7.5588967e-05,2.7250334e-05,-9.70098787e-06,3.77487868e-05,-1.12378324e-06,1.2709991e-05
0.44,-8.71109958e-06,-0.000117043835,7.50039153e-05,2.70299879e-05,-9.62502439e-06,3.7918258e-05,-9.92202438e-07,1.2589286e-05
0.441,-8.63197768e-06,-0.00011606467,7.44272576e-05,2.68123982e-05,-9.54896072e-06,3.80858459e-05,-8.6144816e-07,1.24706065e-05
0.442,-8.55277347e-06,-0.000115093341,7.38588651e-05,2.65975271e-05,-9.47279721e-06,3.82516009e-05,-7.31492317e-07,1.23539225e-05
0.443,-8.47348982e-06,-0.000114129766,7.32986175e-05,2.63853384e-05,-9.39653274e-06,3.84155685e-05,-6.02305993e-07,1.22392058e-05
0.444,-8.39412954e-06,-0.000113173865,7.27463976e-05,2.61757967e-05,-9.32016621e-06,3.85777928e-05,-4.7386185e-07,1.21264287e-05
0.445,-8.31469672e-06,-0.000112225557,7.22020896e-05,2.59688676e-05,-9.24369756e-06,3.87383182e-05,-3.46134217e-07,1.20155638e-05
0.446,-8.2351972e-06,-0.000111284765,7.16655782e-05,2.57645178e-05,-9.1671278e-06,3.88971901e-05,-2.19099277e-07,1.19065836e-05
0.447,-8.15563851e-06,-0.000110351408,7.11367498e-05,2.55627148e-05,-9.09045855e-06,3.90544559e-05,-9.27363115e-08,1.17994609e-05
0.448,-8.0760294e-06,-0.000109425412,7.06154953e-05,2.53634286e-05,-9.01369184e-06,3.92101647e-05,3.2972826e-08,1.16941678e-05
0.449,-7.99637994e-06,-0.0001085067,7.01017061e-05,2.51666282e-05,-8.93682993e-06,3.93643613e-05,1.58054096e-07,1.15906788e-05
0.45,-7.91670024e-06,-0.000107595198,6.95952752e-05,2.49722833e-05,-8.85987448e-06,3.95170887e-05,2.8253652e-07,1.14889695e-05
0.451,-7.83699992e-06,-0.000106690829,6.90960899e-05,2.47803623e-05,-8.78282712e-06,3.96683929e-05,4.06445698e-07,1.13890144e-05
0.452,-7.75728796e-06,-0.000105793509,6.86040237e-05,2.45908306e-05,-8.70569021e-06,3.98183272e-05,5.29798493e-07,1.12907841e-05
0.453,-7.67757364e-06,-0.000104903152,6.81189435e-05,2.44036519e-05,-8.62846562e-06,3.99669464e-05,6.52610325e-07,1.11942492e-05
0.454,-7.59786746e-06,-0.000104019672,6.7640717e-05,2.421879e-05,-8.5511551e-06,4.01143042e-05,7.74898493e-07,1.1099381e-05
0.455,-7.51818175e-06,-0.000103142984,6.71692155e-05,2.40362093e-05,-8.47376136e-06,4.02604538e-05,8.96681295e-07,1.10061506e-05
0.456,-7.43853098e-06,-0.000102273006,6.67043129e-05,2.38558754e-05,-8.39628714e-06,4.04054487e-05,1.01797648e-06,1.09145295e-05
0.457,-7.35893127e-06,-0.000101409655,6.62458852e-05,2.36777544e-05,-8.3187348e-06,4.05493423e-05,1.13880077e-06,1.08244901e-05
0.458,-7.27940011e-06,-0.000100552847,6.57938093e-05,2.35018134e-05,-8.24110744e-06,4.06921871e-05,1.25917164e-06,1.07360053e-05
0.459,-7.19995533e-06,-9.97024977e-05,6.53479622e-05,2.33280191e-05,-8.16340921e-06,4.08340351e-05,1.37910704e-06,1.06490491e-05
0.46,-7.12061259e-06,-9.88585256e-05,6.49082254e-05,2.31563403e-05,-8.0856437e-06,4.09749412e-05,1.49861641e-06,1.05635941e-05
0.461,-7.04138475e-06,-9.80208543e-05,6.44744886e-05,2.29867473e-05,-8.00781346e-06,4.11149567e-05,1.61770843e-06,1.04796148e-05
0.462,-6.96228259e-06,-9.71894159e-05,6.40466558e-05,2.28192127e-05,-7.92992034e-06,4.12541226e-05,1.73640163e-06,1.039709e-05
0.463,-6.88331453e-06,-9.63641483e-05,6.36246412e-05,2.26537104e-05,-7.85196665e-06,4.13924747e-05,1.85471763e-06,1.03159999e-05
0.464,-6.80448631e-06,-9.55449934e-05,6.32083645e-05,2.24902153e-05,-7.7739553e-06,4.15300467e-05,1.97267734e-06,1.02363241e-05
0.465,-6.72580165e-06,-9.47318942e-05,6.27977459e-05,2.23287026e-05,-7.69588768e-06,4.1666869e-05,2.09030178e-06,1.0158044e-05
0.466,-6.64726343e-06,-9.39247931e-05,6.23927042e-05,2.21691475e-05,-7.61776334e-06,4.18029682e-05,2.20761359e-06,1.00811431e-05
0.467,-6.5688746e-06,-9.31236336e-05,6.19931598e-05,2.20115266e-05,-7.5395824e-06,4.19383715e-05,2.32463407e-06,1.00056047e-05
0.468,-6.49063896e-06,-9.23283598e-05,6.15990347e-05,2.18558172e-05,-7.46134622e-06,4.20731078e-05,2.44138318e-06,9.93141115e-06
0.469,-6.41256155e-06,-9.15389159e-05,6.12102521e-05,2.17019971e-05,-7.38305598e-06,4.22072078e-05,2.55787762e-06,9.85854522e-06
0.47,-6.3346491e-06,-9.07552469e-05,6.08267386e-05,2.15500452e-05,-7.30471333e-06,4.23407031e-05,2.67413314e-06,9.78698921e-06
0.471,-6.25691e-06,-8.99772954e-05,6.0448419e-05,2.13999388e-05,-7.22632186e-06,4.24736225e-05,2.7901724e-06,9.71672629e-06
0.472,-6.17935249e-06,-8.92050028e-05,6.00752172e-05,2.12516546e-05,-7.14788536e-06,4.2605996e-05,2.90601574e-06,9.64773855e-06
0.473,-6.10198353e-06,-8.84383113e-05,5.97070561e-05,2.11051695e-05,-7.069406e-06,4.27378533e-05,3.02168089e-06,9.58000836e-06
0.474,-6.02480901e-06,-8.76771634e-05,5.9343858e-05,2.09604603e-05,-6.99088348e-06,4.28692216e-05,3.13718489e-06,9.5135196e-06
0.475,-5.94783517e-06,-8.69215016e-05,5.89855444e-05,2.08175035e-05,-6.91231664e-06,4.30001258e-05,3.25254571e-06,9.44825752e-06
0.476,-5.87107013e-06,-8.61712706e-05,5.86320422e-05,2.06762757e-05,-6.83370709e-06,4.31305929e-05,3.36777966e-06,9.38420509e-06
0.477,-5.79452481e-06,-8.54264164e-05,5.82832815e-05,2.05367541e-05,-6.75505859e-06,4.32606517e-05,3.48290197e-06,9.32134397e-06
0.478,-5.71821259e-06,-8.46868841e-05,5.79391928e-05,2.03989157e-05,-6.67637419e-06,4.33903307e-05,3.59792761e-06,9.25965717e-06
0.479,-5.64214849e-06,-8.39526193e-05,5.75997079e-05,2.02627381e-05,-6.59765777e-06,4.35196576e-05,3.71287336e-06,9.19912785e-06
0.48,-5.56634782e-06,-8.32235668e-05,5.72647569e-05,2.01281994e-05,-6.51891509e-06,4.36486605e-05,3.82775955e-06,9.1397388e-06
0.481,-5.49082351e-06,-8.24996697e-05,5.69342642e-05,1.99952782e-05,-6.44014941e-06,4.37773691e-05,3.94260142e-06,9.08147363e-06
0.482,-5.41558503e-06,-8.1780868e-05,5.66081452e-05,1.98639528e-05,-6.3613607e-06,4.39058166e-05,4.05740508e-06,9.02431591e-06
0.483,-5.34064036e-06,-8.10670997e-05,5.62863118e-05,1.97342008e-05,-6.2825503e-06,4.40340353e-05,4.1721788e-06,8.96824884e-06
0.484,-5.26599739e-06,-8.03583035e-05,5.59686784e-05,1.96059995e-05,-6.20372212e-06,4.41620568e-05,4.28693446e-06,8.9132548e-06
0.485,-5.1916637e-06,-7.96544202e-05,5.5655164e-05,1.94793272e-05,-6.1248805e-06,4.42899115e-05,4.40168394e-06,8.85931571e-06
0.486,-5.11764628e-06,-7.89553912e-05,5.53456888e-05,1.93541623e-05,-6.04602835e-06,4.44176265e-05,4.51644029e-06,8.80641473e-06
0.487,-5.0439519e-06,-7.82611568e-05,5.50401705e-05,1.92304835e-05,-5.96716772e-06,4.45452237e-05,4.6312207e-06,8.75453785e-06
0.488,-4.97058713e-06,-7.75716587e-05,5.47385276e-05,1.91082714e-05,-5.88830162e-06,4.46727252e-05,4.74603981e-06,8.70367075e-06
0.489,-4.89755856e-06,-7.688684e-05,5.4440679e-05,1.8987508e-05,-5.80943407e-06,4.48001545e-05,4.86090778e-06,8.65379911e-06
0.49,-4.82487247e-06,-7.62066458e-05,5.41465465e-05,1.8868177e-05,-5.73056874e-06,4.49275358e-05,4.97582857e-06,8.60490985e-06
0.491,-4.75253524e-06,-7.55310288e-05,5.38560646e-05,1.87502638e-05,-5.65171187e-06,4.50548913e-05,5.09080944e-06,8.55699038e-06
0.492,-4.68055403e-06,-7.48599502e-05,5.35691908e-05,1.86337545e-05,-5.57287196e-06,4.51822332e-05,5.20587465e-06,8.51003027e-06
0.493,-4.6089331e-06,-7.41933769e-05,5.32858993e-05,1.85186331e-05,-5.49405266e-06,4.53095685e-05,5.32105255e-06,8.46402027e-06
0.494,-4.53767011e-06,-7.35312769e-05,5.30061715e-05,1.84048803e-05,-5.41524987e-06,4.54369003e-05,5.43637092e-06,8.41895239e-06
0.495,-4.46675782e-06,-7.28736162e-05,5.27299914e-05,1.8292473e-05,-5.33645259e-06,4.55642272e-05,5.55185969e-06,8.37481955e-06
0.496,-4.39618965e-06,-7.22203569e-05,5.24573435e-05,1.81813845e-05,-5.25764498e-06,4.56915453e-05,5.66754859e-06,8.33161506e-06
0.497,-4.32596238e-06,-7.15714632e-05,5.2188212e-05,1.80715919e-05,-5.17881398e-06,4.58188569e-05,5.78345905e-06,8.2893297e-06
0.498,-4.25607952e-06,-7.09269011e-05,5.19225706e-05,1.79630792e-05,-5.09995564e-06,4.59461677e-05,5.89960911e-06,8.24795458e-06
0.499,-4.18655581e-06,-7.0286637e-05,5.16603822e-05,1.78558373e-05,-5.0210758e-06,4.60734874e-05,6.01601393e-06,8.20748178e-06
0.5,-4.11741575e-06,-6.96506383e-05,5.14015988e-05,1.7749865e-05,-4.9421928e-06,4.62008296e-05,6.13268875e-06,8.16790247e-06
0.501,-4.04868475e-06,-6.90188715e-05,5.11461541e-05,1.76451667e-05,-4.86333298e-06,4.63282134e-05,6.24964419e-06,8.12920744e-06
0.502,-3.98038322e-06,-6.83912929e-05,5.08939616e-05,1.75417439e-05,-4.78451676e-06,4.64556622e-05,6.36687689e-06,8.09138835e-06
0.503,-3.91252662e-06,-6.77678498e-05,5.06449329e-05,1.74395908e-05,-4.70575549e-06,4.65831969e-05,6.48438328e-06,8.05443651e-06
0.504,-3.8451238e-06,-6.71484859e-05,5.03989901e-05,1.73386944e-05,-4.627056e-06,4.67108345e-05,6.60216934e-06,8.01834079e-06
0.505,-3.77817707e-06,-6.65331442e-05,5.01560691e-05,1.72390354e-05,-4.54841882e-06,4.68385883e-05,6.72024643e-06,7.9830887e-06
0.506,-3.71168505e-06,-6.59217666e-05,4.99161187e-05,1.71405892e-05,-4.46983803e-06,4.69664675e-05,6.83862964e-06,7.94866733e-06
0.507,-3.64564411e-06,-6.53142944e-05,4.96790899e-05,1.70433285e-05,-4.39130778e-06,4.70944752e-05,6.95734311e-06,7.91506483e-06
0.508,-3.58004822e-06,-6.47106748e-05,4.94449339e-05,1.69472301e-05,-4.31282614e-06,4.72226141e-05,7.07641129e-06,7.88226931e-06
0.509,-3.51489051e-06,-6.41108592e-05,4.92135977e-05,1.68522745e-05,-4.23439175e-06,4.73508863e-05,7.19585273e-06,7.85027025e-06
0.51,-3.45016496e-06,-6.35148009e-05,4.89850238e-05,1.6758445e-05,-4.15600103e-06,4.74792932e-05,7.31567804e-06,7.81906013e-06
0.511,-3.38587101e-06,-6.29224575e-05,4.87591594e-05,1.66657277e-05,-4.07765371e-06,4.76078354e-05,7.43589795e-06,7.78863134e-06
0.512,-3.32201738e-06,-6.23337917e-05,4.85359658e-05,1.65741109e-05,-3.99935665e-06,4.77365134e-05,7.55653083e-06,7.75897327e-06
0.513,-3.25861858e-06,-6.17487661e-05,4.8315412e-05,1.64835831e-05,-3.92111625e-06,4.78653283e-05,7.67759424e-06,7.73007567e-06
0.514,-3.19569059e-06,-6.11673409e-05,4.80974667e-05,1.6394132e-05,-3.8429361e-06,4.79942819e-05,7.7991022e-06,7.70192999e-06
0.515,-3.13324883e-06,-6.0589474e-05,4.78820967e-05,1.6305745e-05,-3.76482153e-06,4.81233767e-05,7.92107111e-06,7.67452738e-06
0.516,-3.07130514e-06,-6.0015122e-05,4.76692651e-05,1.62184097e-05,-3.68677688e-06,4.82526165e-05,8.04351466e-06,7.64785966e-06
0.517,-3.0098654e-06,-5.94442427e-05,4.74589332e-05,1.61321146e-05,-3.60880219e-06,4.83820058e-05,8.16643813e-06,7.62192012e-06
0.518,-2.94893312e-06,-5.88767942e-05,4.72510613e-05,1.60468474e-05,-3.53089769e-06,4.85115458e-05,8.28984975e-06,7.59670244e-06
0.519,-2.88851151e-06,-5.83127374e-05,4.70456144e-05,1.59625958e-05,-3.45306792e-06,4.86412346e-05,8.41376506e-06,7.57219856e-06
0.52,-2.82860263e-06,-5.7752037e-05,4.68425622e-05,1.58793484e-05,-3.37531913e-06,4.87710674e-05,8.53820399e-06,7.54839924e-06
0.521,-2.76920493e-06,-5.71946576e-05,4.66418706e-05,1.57970943e-05,-3.29765345e-06,4.89010334e-05,8.66318721e-06,7.52529833e-06
