bet0_f,maxstp,EP_dens_on,Bdens,Adens,Beam Ion Effective Temp(keV),n,gam,om_r,gam_var,om_r_var,tipo_inestabilidad,modo_m,pos_radial,diff_m
0.0049,2500,1,0.8,4,60,3,0.0157803,11.00159743878,2.05698e-07,0.00024702,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.8,6,60,3,0.0263401,255.619477611,2.40731e-23,6.83489e-23,NAE,13,0.794,4
0.0049,2500,1,0.8,8,60,3,0.0420029,254.3832621936,1.82574e-23,2.022e-23,NAE,13,0.795,3
0.0049,2500,1,0.8,10,60,3,0.0552703,253.01808689519999,2.75389e-23,2.92982e-23,NAE,13,0.796,3
0.008799999999999999,2500,1,0.1,0.5,60,3,0.0160876,4.479898318188,2.63294e-09,1.69437e-09,Estable/Ruido,14,0.834,0
0.008799999999999999,2500,1,0.1,2,60,3,0.0160933,4.394298947874,2.30139e-09,2.06587e-09,Estable/Ruido,14,0.834,0
0.008799999999999999,2500,1,0.1,4,60,3,0.0186844,148.70033980739998,1.21014e-07,0.00106303,Estable/Ruido,10,0.291,1
0.008799999999999999,2500,1,0.1,6,60,3,0.0320598,273.59168651519997,3.17497e-24,1.27196e-24,EAE,11,0.201,2
0.008799999999999999,2500,1,0.1,8,60,3,0.0386106,274.849495215,9.13517e-24,1.00713e-23,EAE,11,0.195,2
0.008799999999999999,2500,1,0.1,10,60,3,0.0414739,276.0623179098,1.73916e-23,6.99342e-24,EAE,9,0.142,2
0.008799999999999999,2500,1,0.2,0.5,60,3,0.0160901,4.487042095782,2.50155e-09,1.86702e-09,Estable/Ruido,14,0.834,0
0.008799999999999999,2500,1,0.2,2,60,3,0.0160878,4.394778798594,3.11876e-09,1.75525e-09,Estable/Ruido,14,0.834,0
0.008799999999999999,2500,1,0.2,4,60,3,0.0237457,154.4645465814,5.12256e-26,7.28632e-26,TAE,10,0.284,1
0.008799999999999999,2500,1,0.2,6,60,3,0.0361696,157.1139223692,3.20069e-26,2.85853e-26,TAE,10,0.28,1
0.008799999999999999,2500,1,0.2,8,60,3,0.0447812,159.1436909148,9.99604e-26,1.28748e-25,TAE,10,0.275,1
0.008799999999999999,2500,1,0.2,10,60,3,0.0512827,161.1872551686,1.45972e-10,8.40919e-11,TAE,9,0.233,1
0.008799999999999999,2500,1,0.3,0.5,60,3,0.0160895,4.4950556028060005,2.41593e-09,1.87212e-09,Estable/Ruido,14,0.834,0
0.008799999999999999,2500,1,0.3,2,60,3,0.0160887,4.419833004312,2.5196e-09,2.0771e-09,Estable/Ruido,14,0.834,0
0.008799999999999999,2500,1,0.3,4,60,3,0.0188656,152.2350401736,2.1995e-08,0.000176833,Estable/Ruido,10,0.291,0
0.008799999999999999,2500,1,0.3,6,60,3,0.0345585,157.7485249464,1.89295e-26,1.41334e-26,TAE,10,0.288,1
0.008799999999999999,2500,1,0.3,8,60,3,0.048518,160.8771516408,2.58204e-26,3.23695e-26,TAE,10,0.288,1
0.008799999999999999,2500,1,0.3,10,60,3,0.0610739,163.32199105919997,8.21147e-27,1.89026e-26,TAE,10,0.288,1
0.008799999999999999,2500,1,0.4,0.5,60,3,0.0160891,4.486172366352,2.50492e-09,2.12458e-09,Estable/Ruido,14,0.834,0
0.008799999999999999,2500,1,0.4,2,60,3,0.0160859,4.42056477666,2.92412e-09,1.73211e-09,Estable/Ruido,14,0.834,0
0.008799999999999999,2500,1,0.4,4,60,3,0.0187684,78.69731752019999,1.78563e-09,1.95846e-09,RSAE,9,0.414,0
0.008799999999999999,2500,1,0.4,6,60,3,0.0312441,84.2929767288,3.23504e-26,5.0703e-26,RSAE,9,0.409,0
0.008799999999999999,2500,1,0.4,8,60,3,0.0423909,89.225242317,2.67692e-26,1.13023e-25,RSAE,9,0.405,0
0.008799999999999999,2500,1,0.4,10,60,3,0.0523209,93.6776571852,1.97356e-25,1.82007e-26,RSAE,9,0.403,0
0.008799999999999999,2500,1,0.6,0.5,60,3,0.0160897,4.4822075997779995,2.72239e-09,1.50554e-09,Estable/Ruido,14,0.834,0
0.008799999999999999,2500,1,0.6,2,60,3,0.016076,4.42665288267,2.91144e-09,1.56888e-09,Estable/Ruido,14,0.834,0
0.008799999999999999,2500,1,0.6,4,60,3,0.0218275,241.84536269339998,5.67117e-13,1.56554e-12,EAE,11,0.696,4
0.008799999999999999,2500,1,0.6,6,60,3,0.0414,234.66979498919997,6.81249e-23,3.19686e-23,EAE,11,0.646,3
0.008799999999999999,2500,1,0.6,8,60,3,0.056756,227.91589610519998,8.58331e-24,7.65013e-24,TAE,11,0.646,1
0.008799999999999999,2500,1,0.6,10,60,3,0.0681961,222.2200680588,6.11934e-23,9.78349e-24,TAE,11,0.645,1
0.008799999999999999,2500,1,0.7,0.5,60,3,0.0160891,4.686857933724,1.81857e-08,3.83723e-06,Estable/Ruido,14,0.834,0
0.008799999999999999,2500,1,0.7,2,60,3,0.0160747,4.508215508802,2.06337e-09,1.70911e-07,Estable/Ruido,14,0.835,0
