        r	      dnnbi	       dne	       dni	      tbn	        ti	        te	      vfova	      cureq	       feq	     pressure	       iota	        q	       1/D	    curvature	      shear	        eta
  0.7980000E+00	  0.1892040E+00	  0.7425255E+00	  0.7775219E+00	  0.8407584E+00	  0.2123005E+00	  0.1859274E+00	  0.4073664E+00	 -0.3929296E-01	  0.9939397E+00	  0.1544752E+00	  0.2289844E+00	  0.4367110E+01	  0.8283131E+00	 -0.4356585E+00	 -0.1491483E+01	  0.1381073E+02
  0.7990000E+00	  0.1868704E+00	  0.7418056E+00	  0.7771087E+00	  0.8408820E+00	  0.2113718E+00	  0.1850631E+00	  0.4073964E+00	 -0.3933976E-01	  0.9939361E+00	  0.1534236E+00	  0.2285566E+00	  0.4375284E+01	  0.8278772E+00	 -0.4361409E+00	 -0.1494700E+01	  0.1391370E+02
  0.8000000E+00	  0.1845543E+00	  0.7410844E+00	  0.7766944E+00	  0.8409987E+00	  0.2104434E+00	  0.1841997E+00	  0.4074246E+00	 -0.3938647E-01	  0.9939323E+00	  0.1523746E+00	  0.2281292E+00	  0.4383480E+01	  0.8274408E+00	 -0.4366162E+00	 -0.1497888E+01	  0.1401780E+02
  0.8010000E+00	  0.1822580E+00	  0.7403620E+00	  0.7762790E+00	  0.8411067E+00	  0.2095153E+00	  0.1833372E+00	  0.4074508E+00	 -0.3943307E-01	  0.9939282E+00	  0.1513284E+00	  0.2277023E+00	  0.4391699E+01	  0.8270040E+00	 -0.4370843E+00	 -0.1501073E+01	  0.1412305E+02
  0.8020000E+00	  0.1799799E+00	  0.7396384E+00	  0.7758626E+00	  0.8412082E+00	  0.2085876E+00	  0.1824755E+00	  0.4074754E+00	 -0.3947957E-01	  0.9939240E+00	  0.1502851E+00	  0.2272758E+00	  0.4399940E+01	  0.8265667E+00	 -0.4375454E+00	 -0.1504279E+01	  0.1422948E+02
  0.8030000E+00	  0.1777176E+00	  0.7389137E+00	  0.7754452E+00	  0.8413063E+00	  0.2076603E+00	  0.1816148E+00	  0.4074991E+00	 -0.3952597E-01	  0.9939199E+00	  0.1492444E+00	  0.2268497E+00	  0.4408204E+01	  0.8261289E+00	 -0.4379993E+00	 -0.1507511E+01	  0.1433710E+02
  0.8040000E+00	  0.1754686E+00	  0.7381877E+00	  0.7750271E+00	  0.8414041E+00	  0.2067334E+00	  0.1807549E+00	  0.4075228E+00	 -0.3957226E-01	  0.9939162E+00	  0.1482064E+00	  0.2264241E+00	  0.4416492E+01	  0.8256907E+00	 -0.4384460E+00	 -0.1510769E+01	  0.1444593E+02
  0.8050000E+00	  0.1732305E+00	  0.7374605E+00	  0.7746085E+00	  0.8415048E+00	  0.2058070E+00	  0.1798958E+00	  0.4075472E+00	 -0.3961845E-01	  0.9939126E+00	  0.1471709E+00	  0.2259988E+00	  0.4424802E+01	  0.8252520E+00	 -0.4388855E+00	 -0.1514052E+01	  0.1455601E+02
  0.8060000E+00	  0.1710008E+00	  0.7367321E+00	  0.7741896E+00	  0.8416114E+00	  0.2048811E+00	  0.1790377E+00	  0.4075730E+00	 -0.3966454E-01	  0.9939090E+00	  0.1461377E+00	  0.2255739E+00	  0.4433136E+01	  0.8248129E+00	 -0.4393179E+00	 -0.1517360E+01	  0.1466735E+02
  0.8070000E+00	  0.1687771E+00	  0.7360026E+00	  0.7737705E+00	  0.8417270E+00	  0.2039558E+00	  0.1781804E+00	  0.4076010E+00	 -0.3971052E-01	  0.9939052E+00	  0.1451068E+00	  0.2251495E+00	  0.4441494E+01	  0.8243734E+00	 -0.4397430E+00	 -0.1520694E+01	  0.1477997E+02
  0.8080000E+00	  0.1665568E+00	  0.7352718E+00	  0.7733514E+00	  0.8418548E+00	  0.2030310E+00	  0.1773239E+00	  0.4076320E+00	 -0.3975640E-01	  0.9939012E+00	  0.1440782E+00	  0.2247254E+00	  0.4449875E+01	  0.8239334E+00	 -0.4401609E+00	 -0.1524053E+01	  0.1489390E+02
  0.8090000E+00	  0.1643376E+00	  0.7345399E+00	  0.7729325E+00	  0.8419979E+00	  0.2021068E+00	  0.1764683E+00	  0.4076666E+00	 -0.3980217E-01	  0.9938972E+00	  0.1430523E+00	  0.2243017E+00	  0.4458280E+01	  0.8234930E+00	 -0.4405716E+00	 -0.1527437E+01	  0.1500917E+02
  0.8100000E+00	  0.1621169E+00	  0.7338067E+00	  0.7725140E+00	  0.8421594E+00	  0.2011833E+00	  0.1756135E+00	  0.4077057E+00	 -0.3984784E-01	  0.9938935E+00	  0.1420293E+00	  0.2238784E+00	  0.4466710E+01	  0.8230523E+00	 -0.4409750E+00	 -0.1530845E+01	  0.1512580E+02
  0.8110000E+00	  0.1598932E+00	  0.7330724E+00	  0.7720960E+00	  0.8423413E+00	  0.2002604E+00	  0.1747596E+00	  0.4077497E+00	 -0.3989340E-01	  0.9938901E+00	  0.1410095E+00	  0.2234555E+00	  0.4475164E+01	  0.8226111E+00	 -0.4413713E+00	 -0.1534272E+01	  0.1524381E+02
  0.8120000E+00	  0.1576687E+00	  0.7323369E+00	  0.7716784E+00	  0.8425414E+00	  0.1993383E+00	  0.1739065E+00	  0.4077982E+00	 -0.3993885E-01	  0.9938866E+00	  0.1399931E+00	  0.2230329E+00	  0.4483642E+01	  0.8221695E+00	 -0.4417603E+00	 -0.1537715E+01	  0.1536323E+02
  0.8130000E+00	  0.1554466E+00	  0.7316002E+00	  0.7712608E+00	  0.8427565E+00	  0.1984170E+00	  0.1730542E+00	  0.4078502E+00	 -0.3998420E-01	  0.9938830E+00	  0.1389804E+00	  0.2226108E+00	  0.4492146E+01	  0.8217276E+00	 -0.4421421E+00	 -0.1541171E+01	  0.1548406E+02
  0.8140000E+00	  0.1532300E+00	  0.7308623E+00	  0.7708430E+00	  0.8429833E+00	  0.1974964E+00	  0.1722027E+00	  0.4079051E+00	 -0.4002945E-01	  0.9938791E+00	  0.1379713E+00	  0.2221890E+00	  0.4500674E+01	  0.8212852E+00	 -0.4425167E+00	 -0.1544640E+01	  0.1560634E+02
  0.8150000E+00	  0.1510219E+00	  0.7301232E+00	  0.7704248E+00	  0.8432185E+00	  0.1965767E+00	  0.1713520E+00	  0.4079620E+00	 -0.4007458E-01	  0.9938752E+00	  0.1369655E+00	  0.2217675E+00	  0.4509227E+01	  0.8208425E+00	 -0.4428841E+00	 -0.1548123E+01	  0.1573007E+02
  0.8160000E+00	  0.1488256E+00	  0.7293829E+00	  0.7700059E+00	  0.8434589E+00	  0.1956578E+00	  0.1705022E+00	  0.4080201E+00	 -0.4011961E-01	  0.9938716E+00	  0.1359630E+00	  0.2213464E+00	  0.4517805E+01	  0.8203995E+00	 -0.4432444E+00	 -0.1551620E+01	  0.1585529E+02
