,0,1,2,3,4,5,6
203,0.11171929108260578,0.08570896,0.0,0.0,0.0,0.0,0.0
204,0.11171929108260578,0.0,0.0,0.06151152,0.0,0.0,0.0
205,0.11171929108260578,0.0,0.0,0.0,0.004093707,0.004093707,0.0
288,0.12232093034309378,0.0,0.0,485.0676,0.0,0.0,0.0
289,0.12232093034309378,378.4827,0.0,0.0,0.0,0.0,0.0
290,0.12232093034309378,0.0,0.0,0.0,437.9029,437.9029,0.0
291,0.12232093034309378,0.0,0.0,0.0,418.5632,418.5632,0.0
292,0.12232093034309378,280.704,0.0,0.0,0.0,0.0,0.0
293,0.12232093034309378,0.0,0.0,372.0411,0.0,0.0,0.0
294,0.12232093034309378,0.0,330.5531,0.0,0.0,0.0,0.0
295,0.12232093034309378,0.0,323.1409,0.0,0.0,0.0,0.0
296,0.12232093034309378,155.4863,0.0,0.0,0.0,0.0,0.0
297,0.12232093034309378,0.0,0.0,284.4421,0.0,0.0,0.0
298,0.12232093034309378,0.0,0.0,0.0,254.8845,254.8845,0.0
299,0.12232093034309378,0.0,0.0,0.0,178.901,178.901,0.0
300,0.12232093034309378,63.8633,0.0,0.0,0.0,0.0,0.0
301,0.12232093034309378,0.0,0.0,150.3095,0.0,0.0,0.0
302,0.12232093034309378,0.0,117.8896,0.0,0.0,0.0,0.0
303,0.12232093034309378,0.0,100.3958,0.0,0.0,0.0,0.0
304,0.12232093034309378,0.0,0.0,68.6676,0.0,0.0,0.0
305,0.12232093034309378,0.0,0.0,0.0,42.57738,42.57738,0.0
306,0.12232093034309378,0.08467832,0.0,0.0,0.0,0.0,0.0
307,0.12232093034309378,0.0,0.0,0.0613652,0.0,0.0,0.0
390,0.13207425941492157,381.6229,0.0,0.0,0.0,0.0,0.0
391,0.13207425941492157,0.0,0.0,492.6865,0.0,0.0,0.0
392,0.13207425941492157,0.0,0.0,0.0,445.7857,445.7857,0.0
393,0.13207425941492157,279.8322,0.0,0.0,0.0,0.0,0.0
394,0.13207425941492157,0.0,0.0,0.0,413.2371,413.2371,0.0
395,0.13207425941492157,0.0,0.0,367.1132,0.0,0.0,0.0
396,0.13207425941492157,0.0,335.0756,0.0,0.0,0.0,0.0
397,0.13207425941492157,0.0,320.5225,0.0,0.0,0.0,0.0
398,0.13207425941492157,0.0,0.0,290.4496,0.0,0.0,0.0
399,0.13207425941492157,157.7494,0.0,0.0,0.0,0.0,0.0
400,0.13207425941492157,0.0,0.0,0.0,257.6756,257.6756,0.0
401,0.13207425941492157,62.21885,0.0,0.0,0.0,0.0,0.0
402,0.13207425941492157,0.0,0.0,0.0,177.5237,177.5237,0.0
403,0.13207425941492157,0.0,0.0,146.0301,0.0,0.0,0.0
404,0.13207425941492157,0.0,120.6813,0.0,0.0,0.0,0.0
405,0.13207425941492157,0.0,98.1736,0.0,0.0,0.0,0.0
406,0.13207425941492157,0.0,0.0,73.30658,0.0,0.0,0.0
407,0.13207425941492157,0.0,0.0,0.0,44.12746,44.12746,0.0
408,0.13207425941492157,0.08318892,0.0,0.0,0.0,0.0,0.0
409,0.13207425941492157,0.0,0.0,0.06022111,0.0,0.0,0.0
492,0.14115526911879697,384.6358,0.0,0.0,0.0,0.0,0.0
494,0.14115526911879697,0.0,0.0,0.0,454.3446,454.3446,0.0
495,0.14115526911879697,279.0023,0.0,0.0,0.0,0.0,0.0
496,0.14115526911879697,0.0,0.0,0.0,407.177,407.177,0.0
497,0.14115526911879697,0.0,0.0,362.424,0.0,0.0,0.0
498,0.14115526911879697,0.0,339.6339,0.0,0.0,0.0,0.0
499,0.14115526911879697,0.0,317.8312,0.0,0.0,0.0,0.0
500,0.14115526911879697,159.8684,0.0,0.0,0.0,0.0,0.0
501,0.14115526911879697,0.0,0.0,296.3338,0.0,0.0,0.0
502,0.14115526911879697,0.0,0.0,0.0,261.7288,261.7288,0.0
503,0.14115526911879697,60.75935,0.0,0.0,0.0,0.0,0.0
504,0.14115526911879697,0.0,0.0,0.0,174.8619,174.8619,0.0
