       r	   dnnbi(m^-3)	    dne(m^-3)	    dni(m^-3)	     tbn(keV)	     ti(keV)	     te(keV)	   vzt_eq(m/s)	   vth_eq(m/s)	  vthermalep(m/s)	       etann(MKS)
  0.1170000E+00	  0.1912857E+19	  0.3263934E+20	  0.2599301E+20	  0.1036440E+06	  0.1890877E+04	  0.1607409E+04	  0.8991471E-02	  0.0000000E+00	  0.3151267E+07	  0.1129503E+01
  0.1180000E+00	  0.1913234E+19	  0.3263679E+20	  0.2600090E+20	  0.1036342E+06	  0.1889146E+04	  0.1606095E+04	  0.8973274E-02	  0.0000000E+00	  0.3151119E+07	  0.1131321E+01
  0.1190000E+00	  0.1913604E+19	  0.3263420E+20	  0.2600869E+20	  0.1036245E+06	  0.1887404E+04	  0.1604772E+04	  0.8955111E-02	  0.0000000E+00	  0.3150971E+07	  0.1133150E+01
  0.1200000E+00	  0.1913960E+19	  0.3263160E+20	  0.2601640E+20	  0.1036150E+06	  0.1885650E+04	  0.1603440E+04	  0.8936984E-02	  0.0000000E+00	  0.3150826E+07	  0.1134989E+01
  0.1210000E+00	  0.1914298E+19	  0.3262897E+20	  0.2602403E+20	  0.1036057E+06	  0.1883885E+04	  0.1602099E+04	  0.8918891E-02	  0.0000000E+00	  0.3150684E+07	  0.1136839E+01
  0.1220000E+00	  0.1914621E+19	  0.3262632E+20	  0.2603159E+20	  0.1035965E+06	  0.1882109E+04	  0.1600750E+04	  0.8900833E-02	  0.0000000E+00	  0.3150545E+07	  0.1138699E+01
  0.1230000E+00	  0.1914935E+19	  0.3262365E+20	  0.2603906E+20	  0.1035874E+06	  0.1880322E+04	  0.1599393E+04	  0.8882810E-02	  0.0000000E+00	  0.3150407E+07	  0.1140570E+01
  0.1240000E+00	  0.1915248E+19	  0.3262095E+20	  0.2604643E+20	  0.1035784E+06	  0.1878524E+04	  0.1598026E+04	  0.8864822E-02	  0.0000000E+00	  0.3150269E+07	  0.1142451E+01
  0.1250000E+00	  0.1915564E+19	  0.3261824E+20	  0.2605371E+20	  0.1035693E+06	  0.1876715E+04	  0.1596651E+04	  0.8846868E-02	  0.0000000E+00	  0.3150131E+07	  0.1144342E+01
  0.1260000E+00	  0.1915890E+19	  0.3261549E+20	  0.2606088E+20	  0.1035601E+06	  0.1874896E+04	  0.1595268E+04	  0.8828948E-02	  0.0000000E+00	  0.3149992E+07	  0.1146243E+01
