r,R  6/ 3,R  7/ 3,R  8/ 3,R  9/ 3,R 10/ 3,R 11/ 3,R 12/ 3,R 13/ 3,R 14/ 3,R 15/ 3,I  6/ 3,I  7/ 3,I  8/ 3,I  9/ 3,I 10/ 3,I 11/ 3,I 12/ 3,I 13/ 3,I 14/ 3,I 15/ 3
0.025,1.19675763e-07,4.4649578e-08,8.92961567e-09,1.7541438e-09,-1.91172613e-09,-1.09593474e-10,3.83272979e-12,8.76364781e-13,1.52179177e-13,3.09245092e-14,3.11649323e-09,-5.71456769e-09,-1.01461847e-08,-4.25610818e-09,-3.77592991e-09,-1.65286948e-10,-8.51006408e-12,-4.80413975e-15,-1.42425e-13,-9.23266415e-15
0.026,1.50465722e-07,5.85676949e-08,1.23167976e-08,2.59745316e-09,-2.66448095e-09,-1.73007905e-10,4.4439995e-12,1.1128027e-12,1.86764077e-13,3.9711178e-14,4.80974248e-09,-7.15990598e-09,-1.37241756e-08,-6.02867425e-09,-5.62222847e-09,-2.47475195e-10,-1.14972443e-11,4.51647782e-14,-1.87375212e-13,-1.11388392e-14
0.027,1.87452122e-07,7.60214456e-08,1.67734877e-08,3.77480089e-09,-3.67732544e-09,-2.66608122e-10,5.03625655e-12,1.39514922e-12,2.2801975e-13,5.07296883e-14,7.14560924e-09,-8.84135495e-09,-1.83374946e-08,-8.42330711e-09,-8.23979797e-09,-3.66874145e-10,-1.54099813e-11,1.2703882e-13,-2.437474e-13,-1.3209616e-14
0.028,2.31548048e-07,9.77180888e-08,2.25769492e-08,5.3964231e-09,-5.02520714e-09,-4.022541e-10,5.54494704e-12,1.72523569e-12,2.76990179e-13,6.44843407e-14,1.03047363e-08,-1.07625952e-08,-2.42229663e-08,-1.1620518e-08,-1.19012337e-08,-5.38346573e-10,-2.0508345e-11,2.53371962e-13,-3.13732499e-13,-1.53816929e-14
0.029,2.83750702e-07,1.24469783e-07,3.00620593e-08,7.60283912e-09,-6.79954086e-09,-5.95601061e-10,5.87299e-12,2.10134553e-12,3.3478893e-13,8.15775765e-14,1.45049166e-08,-1.29156596e-08,-3.16572011e-08,-1.58428387e-08,-1.69595478e-08,-7.81868901e-10,-2.71216059e-11,4.40164022e-13,-3.99785134e-13,-1.75565985e-14
0.03,3.45143267e-07,1.57203637e-07,3.96305037e-08,1.05717059e-08,-9.11031602e-09,-8.67054999e-10,5.87957356e-12,2.51616374e-12,4.02552962e-13,1.02721483e-13,2.0006271e-08,-1.52769516e-08,-4.0960569e-08,-2.13622431e-08,-2.38675611e-08,-1.12401257e-09,-3.56662562e-11,7.07451066e-13,-5.04624279e-13,-1.95948095e-14
0.031,4.16896166e-07,1.96972075e-07,5.1760996e-08,1.45259221e-08,-1.20880414e-08,-1.24290231e-09,5.36613023e-12,2.95398833e-12,4.81364696e-13,1.28753959e-13,2.71167917e-08,-1.78025427e-08,-5.25011262e-08,-2.85084365e-08,-3.3200983e-08,-1.59977636e-09,-4.66685275e-11,1.07990105e-12,-6.31229525e-13,-2.13046843e-14
0.032,5.00267664e-07,2.44963438e-07,6.70205783e-08,1.97431561e-08,-1.58853577e-08,-1.75663153e-09,4.05899713e-12,3.38702585e-12,5.7213381e-13,1.60651417e-13,3.61982349e-08,-2.0422681e-08,-6.66984075e-08,-3.76780409e-08,-4.56856922e-08,-2.25483448e-09,-6.07924293e-11,1.58736999e-12,-7.8282785e-13,-2.24380139e-14
0.033,5.96603737e-07,3.02512783e-07,8.60770587e-08,2.6566991e-08,-2.06780954e-08,-2.45046263e-09,1.58833695e-12,3.77052519e-12,6.75420311e-13,1.99543441e-13,4.76723413e-08,-2.30354424e-08,-8.40269864e-08,-4.93446984e-08,-6.22297827e-08,-3.14827343e-09,-7.8874426e-11,2.26536695e-12,-9.62878299e-13,-2.26773299e-14
0.034,7.07337148e-07,3.71112755e-07,1.0971263e-07,3.54198961e-08,-2.66654991e-08,-3.37709731e-09,-2.53720515e-12,4.0365002e-12,7.91182452e-13,2.4672594e-13,6.20273528e-08,-2.54994567e-08,-1.05019687e-07,-6.40700981e-08,-8.39609751e-08,-4.35590056e-09,-1.01966132e-10,3.15535773e-12,-1.17504468e-12,-2.1637438e-14
