r,R  6/ 3,R  7/ 3,R  8/ 3,R  9/ 3,R 10/ 3,R 11/ 3,R 12/ 3,R 13/ 3,R 14/ 3,R 15/ 3,I  6/ 3,I  7/ 3,I  8/ 3,I  9/ 3,I 10/ 3,I 11/ 3,I 12/ 3,I 13/ 3,I 14/ 3,I 15/ 3
0.048,-0.000126550043,-7.36754095e-05,-1.82901229e-05,-4.18518221e-06,2.09050144e-06,-6.95483939e-07,-1.88668446e-08,-3.13559863e-09,-1.63033167e-10,8.19540858e-11,1.2319892e-05,1.94344819e-05,2.40510061e-05,1.13104533e-05,4.2395085e-06,-5.81419566e-07,-2.24356812e-08,2.11228949e-09,-1.88091703e-10,-1.58196588e-11
0.049,-0.000141518335,-8.46489026e-05,-2.17435784e-05,-5.19515483e-06,2.47859147e-06,-8.58546431e-07,-2.37013119e-08,-4.32479667e-09,-2.38127698e-10,9.3675193e-11,1.21947108e-05,2.13615714e-05,2.78132058e-05,1.34893242e-05,5.20073258e-06,-7.33542374e-07,-2.77113897e-08,2.59577645e-09,-1.97450451e-10,-1.89322608e-11
0.05,-0.000157789726,-9.69449144e-05,-2.57538952e-05,-6.41913062e-06,2.92173445e-06,-1.05419995e-06,-2.95951106e-08,-5.87329602e-09,-3.39392395e-10,1.06238311e-10,1.18006784e-05,2.33394947e-05,3.20335233e-05,1.6020772e-05,6.35132739e-06,-9.2110724e-07,-3.41639783e-08,3.16248263e-09,-2.03732422e-10,-2.31023622e-11
0.051,-0.000175427339,-0.000110682465,-3.03951639e-05,-7.89632704e-06,3.42429992e-06,-1.28777427e-06,-3.67385813e-08,-7.87167041e-09,-4.74426637e-10,1.19481942e-10,1.10871757e-05,2.53430568e-05,3.67484871e-05,1.8950346e-05,7.72297406e-06,-1.15135618e-06,-4.20368061e-08,3.8199802e-09,-2.06010493e-10,-2.8719159e-11
0.052,-0.000194492405,-0.000125986736,-3.57490431e-05,-9.67202007e-06,3.99026537e-06,-1.56524798e-06,-4.5347363e-08,-1.04297118e-08,-6.52696455e-10,1.33165852e-10,9.99875792e-06,2.73413134e-05,4.19948924e-05,2.23277268e-05,9.35167113e-06,-1.43280028e-06,-5.16180515e-08,4.57454468e-09,-2.03310861e-10,-3.62895132e-11
0.053,-0.00021504364,-0.000142988906,-4.19052327e-05,-1.17982957e-05,4.6229918e-06,-1.89328856e-06,-5.56639619e-08,-1.36798204e-08,-8.85923136e-10,1.46954451e-10,8.47505837e-06,2.92969379e-05,4.78093674e-05,2.62068497e-05,1.12781701e-05,-1.77540315e-06,-6.32476186e-08,5.43030137e-09,-1.94664293e-10,-4.64646703e-11
0.054,-0.000237136599,-0.000161825906,-4.89619393e-05,-1.43348679e-05,5.32495313e-06,-2.27928779e-06,-6.79590352e-08,-1.77808699e-08,-1.18853671e-09,1.60396277e-10,6.45073047e-06,3.11655634e-05,5.42278728e-05,3.06459922e-05,1.35484331e-05,-2.19078469e-06,-7.73248272e-08,6.38812733e-09,-1.7918099e-10,-6.00738261e-11
0.055,-0.000260822984,-0.00018264011,-5.70263267e-05,-1.73499647e-05,6.09741401e-06,-2.73139068e-06,-8.25322862e-08,-2.29225959e-08,-1.57820158e-09,1.72902387e-10,3.85543243e-06,3.2895105e-05,6.12851301e-05,3.57078154e-05,1.62141101e-05,-2.69244622e-06,-9.43169187e-08,7.44425618e-09,-1.5615726e-10,-7.81619399e-11
0.056,-0.00028614992,-0.000205578941,-6.62149448e-05,-2.09212852e-05,6.94004977e-06,-3.25851573e-06,-9.97128419e-08,-2.93305584e-08,-2.07642482e-09,1.83721017e-10,6.13860002e-07,3.4425066e-05,6.90139759e-05,4.14593509e-05,1.93330339e-05,-3.29601829e-06,-1.14768405e-07,8.58852497e-09,-1.25220496e-10,-1.02034766e-10
0.057,-0.000313159199,-0.000230794381,-7.66541291e-05,-2.51370274e-05,7.85050244e-06,-3.87036421e-06,-1.19858968e-07,-3.72717307e-08,-2.70925656e-09,1.91911268e-10,-3.35416811e-06,3.56858336e-05,7.74446389e-05,4.79719249e-05,2.29697275e-05,-4.01953234e-06,-1.39311272e-07,9.80219481e-09,-8.65235115e-11,-1.33308514e-10
