r,R  4/ 2,R  5/ 2,R  6/ 2,R  7/ 2,R  8/ 2,R  9/ 2,R 10/ 2,I  4/ 2,I  5/ 2,I  6/ 2,I  7/ 2,I  8/ 2,I  9/ 2,I 10/ 2
0.033,-5.2883148e-05,-3.6262165e-06,-3.26753351e-06,-7.7245211e-08,6.85068352e-10,8.01258337e-10,-9.03781414e-11,-1.60193891e-05,-2.09571021e-05,-7.74541541e-09,-1.04030182e-09,-5.0082006e-09,4.92861658e-10,2.87976301e-11
0.034,-5.93940923e-05,-4.18721953e-06,-3.90369324e-06,-9.5315848e-08,8.00563798e-10,1.02819133e-09,-1.15501152e-10,-1.80403354e-05,-2.42758033e-05,-1.87346753e-08,-1.42030127e-09,-7.11480974e-09,6.13523376e-10,2.96317605e-11
0.035,-6.64688921e-05,-4.81353554e-06,-4.63925404e-06,-1.16927233e-07,9.47280809e-10,1.30969568e-09,-1.45945465e-10,-2.02444362e-05,-2.79967264e-05,-3.32091488e-08,-1.90666882e-09,-9.77990876e-09,7.60273066e-10,3.19303936e-11
0.036,-7.41356894e-05,-5.51028435e-06,-5.48612335e-06,-1.42646235e-07,1.1347534e-09,1.65685874e-09,-1.8262375e-10,-2.26419211e-05,-3.21542002e-05,-5.18672393e-08,-2.52321483e-09,-1.31134281e-08,9.37728772e-10,3.63231477e-11
0.037,-8.24228131e-05,-6.28277356e-06,-6.45721651e-06,-1.73111566e-07,1.37479189e-09,2.08258888e-09,-2.26580307e-10,-2.52432065e-05,-3.67842453e-05,-7.55024323e-08,-3.29788977e-09,-1.72416565e-08,1.15113493e-09,4.35790009e-11
0.038,-9.135873e-05,-7.13649164e-06,-7.56650641e-06,-2.09040679e-07,1.68186741e-09,2.60183812e-09,-2.79007228e-10,-2.80588831e-05,-4.19245849e-05,-1.05011571e-07,-4.26332039e-09,-2.2309011e-08,1.40641839e-09,5.46273436e-11
0.039,-0.000100971995,-8.07710007e-06,-8.82907367e-06,-2.51237133e-07,2.07354205e-09,3.23184276e-09,-3.41263899e-10,-3.10997039e-05,-4.76146528e-05,-1.41403504e-07,-5.45739269e-09,-2.84799312e-08,1.71024603e-09,7.05785725e-11
0.04,-0.000111291202,-9.11042451e-06,-1.0261157e-05,-3.00598436e-07,2.57094925e-09,3.99237964e-09,-4.14897411e-10,-3.4376571e-05,-5.38955974e-05,-1.85808099e-07,-6.92388416e-09,-3.59409057e-08,2.07008214e-09,9.27498129e-11
0.041,-0.000122344932,-1.0242445e-05,-1.18802038e-05,-3.58124375e-07,3.19933491e-09,4.90603747e-09,-5.01668308e-10,-3.79005225e-05,-6.08102831e-05,-2.39485611e-07,-8.71315425e-09,-4.49026364e-08,2.49424715e-09,1.22690398e-10
0.042,-0.000134161703,-1.14792852e-05,-1.37049211e-05,-4.24925833e-07,3.98865728e-09,5.99850137e-09,-6.0357738e-10,-4.16827186e-05,-6.84032879e-05,-3.03836376e-07,-1.08829034e-08,-5.56023492e-08,2.99197595e-09,1.62214078e-10
