r,R  4/ 2,R  5/ 2,R  6/ 2,R  7/ 2,R  8/ 2,R  9/ 2,R 10/ 2,I  4/ 2,I  5/ 2,I  6/ 2,I  7/ 2,I  8/ 2,I  9/ 2,I 10/ 2
0.306,0.0116665511,0.113281972,-3.17469798,-4.37065557,0.695575191,-0.0587170138,-0.0340876492,0.0361731628,-1.33006155,8.33573092,-4.59123526,-1.65078432,-0.181888964,-0.108177354
0.307,0.0102236621,0.139064303,-3.28721267,-4.26580441,0.706533,-0.0582508388,-0.0337042371,0.0351359168,-1.32275281,8.19784035,-4.59074294,-1.634082,-0.183478509,-0.109686925
0.308,0.00881348529,0.164433927,-3.3956261,-4.16136049,0.717124626,-0.0577490297,-0.0332870813,0.0340746041,-1.31460766,8.05784384,-4.58833862,-1.61695502,-0.185027768,-0.111173105
0.309,0.00743773756,0.189368252,-3.49993995,-4.05745747,0.727352476,-0.0572134707,-0.0328368105,0.0329900207,-1.30566559,7.91602721,-4.58412603,-1.59944641,-0.186538503,-0.112636329
0.31,0.00609800894,0.213848431,-3.60018809,-3.95424038,0.737224023,-0.0566461454,-0.032354222,0.0318832008,-1.29597316,7.77270642,-4.57823205,-1.58160697,-0.188013688,-0.114077623
0.311,0.00479561347,0.237855454,-3.69636998,-3.85179092,0.746737747,-0.0560481071,-0.0318397305,0.0307549291,-1.28555987,7.62808072,-4.57071917,-1.56346532,-0.189453974,-0.115496533
0.312,0.00353170043,0.261370325,-3.7884705,-3.75016053,0.755887059,-0.0554199899,-0.0312936135,0.0296061347,-1.2744482,7.48229393,-4.5616156,-1.54503947,-0.190858946,-0.116891842
0.313,0.00230728208,0.284374913,-3.87648087,-3.64939755,0.764665764,-0.0547623959,-0.0307162493,0.0284379781,-1.26266142,7.33548699,-4.55094761,-1.52634724,-0.192228207,-0.118262312
0.314,0.00112323122,0.306852005,-3.9603981,-3.54954779,0.773068429,-0.0540759067,-0.0301081236,0.0272517503,-1.25022324,7.18779876,-4.53874168,-1.50740642,-0.193561369,-0.119606743
0.315,-1.96944054e-05,0.328785412,-4.04022451,-3.4506547,0.781090329,-0.0533611082,-0.0294698288,0.0260488244,-1.23715775,7.03936617,-4.52502509,-1.48823469,-0.19485807,-0.120923996
0.316,-0.00112082248,0.350160029,-4.11596763,-3.35275967,0.788727387,-0.0526185927,-0.0288020682,0.024830649,-1.2234894,6.89032442,-4.50982621,-1.46884968,-0.196117983,-0.122213013
0.317,-0.00217957277,0.370961966,-4.18764039,-3.25590261,0.795976195,-0.0518490074,-0.0281056446,0.0235987261,-1.20924316,6.74080764,-4.49317489,-1.44926908,-0.197340844,-0.123472906
0.318,-0.00319545846,0.391178444,-4.25526084,-3.16012157,0.802834056,-0.0510530316,-0.0273813846,0.0223546166,-1.19444438,6.59094835,-4.47510266,-1.42951046,-0.198526429,-0.124702903
0.319,-0.00416805934,0.410797658,-4.31885146,-3.06545245,0.809298847,-0.0502313064,-0.0266300915,0.0210999407,-1.17911857,6.44087607,-4.45564198,-1.40959113,-0.199674503,-0.125902193
0.32,-0.00509700918,0.429808795,-4.37843926,-2.97192934,0.815369011,-0.0493844531,-0.0258525607,0.0198363487,-1.16329143,6.2907175,-4.43482626,-1.38952819,-0.200784831,-0.127069949
0.321,-0.00598201751,0.448202074,-4.43405593,-2.87958481,0.821043507,-0.0485130793,-0.0250495856,0.0185655391,-1.14698896,6.14059656,-4.41268943,-1.36933858,-0.201857181,-0.128205343
0.322,-0.0068228913,0.465968829,-4.48573768,-2.78844994,0.826321606,-0.0476177698,-0.0242219476,0.0172892879,-1.13023754,5.99063402,-4.38926522,-1.34903906,-0.202891342,-0.12930754
0.323,-0.00761955316,0.483101434,-4.53352495,-2.69855434,0.831203129,-0.0466990833,-0.0233704156,0.0160094097,-1.11306369,5.84094755,-4.36458787,-1.32864622,-0.2038871,-0.130375713
0.324,-0.00837203044,0.499591504,-4.57744598,-2.60991694,0.835685663,-0.0457573737,-0.0224956534,0.0147276562,-1.09549,5.69163182,-4.33867734,-1.30817191,-0.2048435,-0.131408573
0.325,-0.00908028891,0.515423035,-4.61745915,-2.52251621,0.839754152,-0.0447923391,-0.0215980077,0.0134455218,-1.0775222,5.54269302,-4.31148699,-1.28760746,-0.205756268,-0.132402703
0.326,-0.00974429073,0.530578763,-4.65351804,-2.43633223,0.843392823,-0.04380387,-0.0206779655,0.0121644961,-1.05916623,5.39413957,-4.28296827,-1.26694366,-0.206620751,-0.133354504
0.327,-0.0103642234,0.545049548,-4.68564949,-2.35138626,0.846599251,-0.042792688,-0.0197364801,0.0108862897,-1.04044549,5.24606986,-4.25314125,-1.24619182,-0.207435405,-0.13426251
0.328,-0.0109404392,0.558829664,-4.71390407,-2.26770902,0.849375214,-0.0417597285,-0.01877465,0.00961265191,-1.02138798,5.09860396,-4.22204561,-1.22536865,-0.20819962,-0.13512594
0.329,-0.0114733719,0.571914658,-4.73833603,-2.1853294,0.851722955,-0.0407059697,-0.0177936204,0.00834529672,-1.00202156,4.95185898,-4.18972181,-1.20449061,-0.208912847,-0.135944118
0.33,-0.011963494,0.584301338,-4.75900311,-2.10427446,0.85364511,-0.039632459,-0.0167945824,0.00708587778,-0.98237388,4.80594921,-4.15621158,-1.18357384,-0.20957462,-0.136716486
0.331,-0.0124112686,0.595987646,-4.77596646,-2.02456928,0.855144915,-0.038540333,-0.0157787737,0.0058359267,-0.962472248,4.66098667,-4.12155916,-1.16263422,-0.210184563,-0.137442634
0.332,-0.0128171326,0.606973457,-4.7892991,-1.94624007,0.856228252,-0.0374309081,-0.0147475088,0.00459679958,-0.942345033,4.5170897,-4.08582024,-1.14168951,-0.210742737,-0.13812261
0.333,-0.0131815568,0.617261598,-4.79909092,-1.86931573,0.856903937,-0.0363056292,-0.0137021262,0.00336978095,-0.922022662,4.37438517,-4.04906367,-1.12076033,-0.211249918,-0.138757016
0.334,-0.013504995,0.626855325,-4.80542795,-1.79381913,0.857179821,-0.0351658346,-0.0126438792,0.00215612376,-0.901533579,4.23298747,-4.01135226,-1.09986505,-0.211706674,-0.139346287
0.335,-0.0137878451,0.635757286,-4.80838608,-1.71976566,0.857061737,-0.0340127163,-0.0115739456,0.000957056924,-0.88090336,4.09299409,-3.97273766,-1.07901848,-0.212113065,-0.139890447
0.336,-0.0140305049,0.64397092,-4.80804301,-1.64716839,0.856555684,-0.0328474212,-0.0104934824,-0.000226201178,-0.860157154,3.95449745,-3.93327049,-1.05823493,-0.212469155,-0.140389483
0.337,-0.0142334065,0.651500538,-4.80447912,-1.57603859,0.855668064,-0.0316710534,-0.0094036256,-0.00139244576,-0.839319857,3.8175858,-3.89300118,-1.0375284,-0.21277505,-0.140843383
0.338,-0.0143970349,0.658351271,-4.7977772,-1.50638562,0.854405681,-0.0304846821,-0.00830549372,-0.00254049464,-0.818416105,3.68234312,-3.85197974,-1.01691253,-0.21303089,-0.141252134
0.339,-0.0145219851,0.664531133,-4.78803727,-1.43822154,0.852778363,-0.0292894606,-0.0072002127,-0.00366920246,-0.797472819,3.54886012,-3.81026744,-0.996403719,-0.213237522,-0.141616162
0.34,-0.0146091998,0.670061199,-4.7754468,-1.37158047,0.850811599,-0.0280869491,-0.00608899144,-0.00477754028,-0.776530234,3.41728254,-3.76799164,-0.976035287,-0.213399678,-0.141938406
0.341,-0.0146598102,0.674966533,-4.76021034,-1.30649438,0.848534046,-0.0268785467,-0.00497295815,-0.00586458257,-0.755628915,3.28775174,-3.72528718,-0.955841969,-0.213522885,-0.142222301
0.342,-0.0146748597,0.67926192,-4.74244869,-1.24296639,0.845959139,-0.0256650306,-0.00385307213,-0.00692933598,-0.73479408,3.16033621,-3.68221702,-0.935839705,-0.213608972,-0.14246883
0.343,-0.0146554133,0.682958661,-4.72225309,-1.18098936,0.843095059,-0.0244470623,-0.00273026216,-0.00797079469,-0.714045449,3.03507779,-3.63881817,-0.916037506,-0.213658413,-0.142678136
0.344,-0.014602613,0.686068574,-4.69971486,-1.12055462,0.839950223,-0.0232253631,-0.0016054655,-0.00898801425,-0.693402043,2.91201422,-3.59512645,-0.896443678,-0.213671655,-0.142850408
0.345,-0.0145176548,0.68860399,-4.67492532,-1.06165214,0.836533273,-0.0220006988,-0.000479616041,-0.00998012132,-0.672882077,2.79117946,-3.55117694,-0.877065902,-0.213649143,-0.142985898
0.346,-0.0144017656,0.690577293,-4.64797269,-1.00426995,0.832852532,-0.020773847,0.000646360725,-0.0109463134,-0.652502468,2.67260213,-3.50700189,-0.857910735,-0.213591181,-0.143084825
0.347,-0.0142560593,0.69199435,-4.61889934,-0.948385542,0.828908287,-0.0195454383,0.00177153148,-0.0118857482,-0.63227307,2.55628233,-3.46259885,-0.838975861,-0.213495952,-0.14314606
0.348,-0.0140815695,0.692856081,-4.58771482,-0.893970864,0.824694932,-0.0183160848,0.00289490113,-0.0127975175,-0.612199467,2.44220368,-3.41794131,-0.820253089,-0.213360089,-0.143167486
0.349,-0.0138794993,0.69317013,-4.55447325,-0.841008538,0.820214805,-0.0170866176,0.00401544679,-0.0136808224,-0.592293738,2.3303764,-3.37303668,-0.801742634,-0.213182298,-0.143148383
0.35,-0.0136512053,0.692949836,-4.51926417,-0.789488142,0.815476683,-0.0158579016,0.00513217075,-0.0145349979,-0.572572434,2.2208281,-3.32791849,-0.783451095,-0.21296301,-0.143089168
0.351,-0.0133980849,0.692209018,-4.48217758,-0.739398681,0.81048955,-0.0146306791,0.00624410284,-0.0153594392,-0.553051595,2.11358368,-3.28262026,-0.765385034,-0.212702778,-0.142990341
0.352,-0.0131215638,0.690961767,-4.44330286,-0.69072836,0.805262441,-0.0134055878,0.00735029837,-0.016153608,-0.53374663,2.00866492,-3.2371748,-0.747550774,-0.212402221,-0.142852448
0.353,-0.0128230953,0.689222307,-4.40272768,-0.643464568,0.79980424,-0.0121831513,0.00844984071,-0.0169170272,-0.514672187,1.90609007,-3.19161344,-0.729954245,-0.212061969,-0.142676051
0.354,-0.0125040769,0.687000574,-4.36050987,-0.597590159,0.794118537,-0.0109637214,0.00954177473,-0.0176491674,-0.495839013,1.80586233,-3.14594561,-0.712596389,-0.211681275,-0.142460791
0.355,-0.0121658139,0.684301601,-4.31667497,-0.553084201,0.788203117,-0.00974761126,0.0106250478,-0.0183494154,-0.477254165,1.70797155,-3.10015772,-0.695472918,-0.21125781,-0.142205277
0.356,-0.0118096735,0.681134843,-4.27127629,-0.509930159,0.782060899,-0.00853534765,0.011698632,-0.0190173306,-0.458927747,1.61241957,-3.05425671,-0.67858397,-0.210790493,-0.141909016
0.357,-0.0114370931,0.677515223,-4.22439996,-0.468115248,0.775701006,-0.00732763394,0.012761589,-0.0196526992,-0.440872788,1.51921927,-3.00827332,-0.661934628,-0.210279784,-0.141572615
0.358,-0.0110494883,0.67345827,-4.17613331,-0.427625848,0.76913299,-0.00612524609,0.0138130213,-0.0202553977,-0.423101527,1.42838089,-2.96223922,-0.64552972,-0.209726198,-0.141196757
0.359,-0.010648228,0.668979808,-4.12656292,-0.388447301,0.762366423,-0.00492903969,0.0148520581,-0.0208253796,-0.405625249,1.33991134,-2.91618558,-0.629373535,-0.209130226,-0.140782133
0.36,-0.0102346308,0.66409608,-4.07577549,-0.350564003,0.75541102,-0.00373996166,0.0158778684,-0.021362672,-0.388454436,1.25381466,-2.87014383,-0.613469986,-0.208492414,-0.140329495
0.361,-0.00981001531,0.658828573,-4.02388771,-0.313961597,0.74828226,-0.00255905346,0.0168897834,-0.0218675559,-0.371601459,1.1701009,-2.82416701,-0.597827111,-0.207814915,-0.139840685
0.362,-0.00937569456,0.653204404,-3.97104851,-0.278625748,0.741002129,-0.00138733406,0.0178873798,-0.0223406101,-0.355080276,1.08878438,-2.77833132,-0.5824572,-0.207101725,-0.139318796
0.363,-0.008932885,0.647245988,-3.91737475,-0.244537448,0.733587032,-0.000225673013,0.0188702352,-0.0227823325,-0.338900538,1.00986457,-2.73269039,-0.567367349,-0.2063554,-0.138765948
0.364,-0.00848262624,0.640969937,-3.86294565,-0.211674258,0.726046466,0.000925142905,0.0198377914,-0.0231930617,-0.323067807,0.933327468,-2.68727146,-0.552559017,-0.205576715,-0.138183052
0.365,-0.00802587468,0.634392489,-3.80783673,-0.18001324,0.718389331,0.00206437251,0.0207894889,-0.0235731663,-0.307586909,0.859156326,-2.64209924,-0.538033064,-0.204766437,-0.137570971
0.366,-0.0075635909,0.627529822,-3.75212173,-0.149531155,0.710624381,0.00319132018,0.0217248164,-0.0239230517,-0.292462112,0.78733222,-2.59719723,-0.523790041,-0.203925375,-0.136930581
